,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2018-12-02,-0.44347376,0.32819188,0.77223647,-0.22988845,-0.004092031,0.5817346,0.045131866,-0.28480482,-1.2716466,-0.47326294,-0.7228665,1.0076915,-0.7218071,-0.62435323,-0.60637295,1.6216642,0.2812404,1.60514,1.1752073,0.9824012,0.14423653,0.4346182,-0.28094134,-1.2460223,0.12904692,0.6645715,1.0484482,-0.10352822,-0.23881584,-0.6445645,1.0003563,-0.38330337,-1.223405,0.06426674,0.50903565,0.5638225,-0.13240668,0.6168051,1.0032578,-0.19370876,-0.2841041,-0.33154494,0.21191365,-1.2309842,-0.22227965,-0.6923145,0.46231017,0.53621304,-0.57770574,0.2719776,0.9877885,0.37153256,0.13841103,-0.17608836,0.12301072,-0.81923056,2.2098167,-1.1503303,0.09159092,-1.7091266,-0.69240123,-0.4806274,0.26861778,0.9823421,-0.37617806,0.7986245,0.41123417,-0.55454487,0.41824394,-0.30181396,-0.13960674,1.2884,0.30759677,-1.416688,-0.85525,0.7493699,-0.59027606,-0.658411,0.22947499,0.6741802,1.2923943,-0.27492893,0.13497725,1.3415962,-1.9893793,0.15187342,1.0519491,-0.16740264,-1.0415741,0.86621964,1.0829256,0.32651013,0.21881229,0.3509779,0.48721927,0.97829187,0.43069607,1.2798468,1.4043887,-1.0389638
2018-12-03,-0.47011453,0.39808267,0.62394553,-0.19779505,0.28416508,0.428438,-0.048634082,-0.21483503,-1.2383729,-0.35041347,-0.8481289,1.1636832,-0.75072014,-0.61673045,-0.65110344,1.5234785,0.25974953,1.7300096,1.0664905,1.0523539,0.10183994,0.41340196,-0.27833724,-1.2031326,0.17447656,0.67335,0.8949587,-0.11437872,-0.22126275,-0.5458358,0.9401527,-0.3075077,-1.2711295,0.04091381,0.5895883,0.643917,-0.27287668,0.7894357,0.9046901,-0.21783014,-0.3492769,-0.3005114,0.10322978,-1.2280042,-0.120291956,-0.75583786,0.45314395,0.5347393,-0.7707617,0.2605778,1.0328426,0.29749376,0.070488945,-0.05913821,0.11155558,-0.9916878,2.150731,-0.9946622,0.3713357,-1.6398411,-0.68066496,-0.5172749,0.3634544,0.9770759,-0.39025044,0.76064885,0.4142712,-0.5463021,0.46348968,-0.39044926,-0.10027328,1.3411824,0.10190017,-1.2706368,-1.0191743,0.6903565,-0.5081621,-0.6062914,0.25442863,0.69657356,1.269361,-0.20467295,-0.017683946,1.3026599,-1.928673,-0.056962594,1.0980722,-0.17255487,-1.0753242,1.040259,1.0913002,0.25191715,0.2379765,0.2832033,0.5587391,0.90196145,0.35841146,1.0928999,1.360528,-1.0466133
2018-12-04,-0.3481099,0.3844701,0.7019995,-0.2210463,0.28482622,0.566612,0.07016647,-0.12339408,-1.1736095,-0.36505285,-0.7518074,1.1897634,-0.7116065,-0.545971,-0.62239337,1.5083623,0.2621876,1.7680146,1.1420017,1.04393,0.0797073,0.41172358,-0.1900352,-1.1849972,0.24035051,0.6672106,0.7980469,-0.089270875,-0.22881983,-0.4817219,0.969346,-0.321199,-1.3213043,0.061870314,0.576697,0.70701104,-0.28254566,0.77497214,0.9430016,-0.12032491,-0.42616403,-0.18268532,0.11100853,-1.1625936,-0.11721033,-0.88691163,0.39299378,0.63547105,-0.7882381,0.2630597,1.1200197,0.26685575,-0.010738301,-0.079182506,0.08919561,-0.981546,2.1766381,-0.9711582,0.37192273,-1.6124641,-0.62894994,-0.53439975,0.37382188,0.8825866,-0.3926208,0.78349435,0.40404248,-0.48216525,0.44694525,-0.5306767,-0.016328778,1.3901314,0.16333792,-1.2859548,-0.98460436,0.6355955,-0.54784274,-0.57939297,0.3419199,0.6306189,1.3554486,-0.17527097,0.066435054,1.3604614,-1.9091283,-0.094643705,1.0349629,-0.07400433,-1.0437644,1.0132964,1.0124618,0.25495708,0.2426241,0.3553713,0.54913807,0.993843,0.40593603,1.1911445,1.405913,-1.0290143
2018-12-06,-0.37344852,0.39015302,0.64105755,-0.26495224,0.23166467,0.3719367,-0.11801461,-0.15775678,-1.2639456,-0.42821968,-0.9024639,1.2408589,-0.7241322,-0.6166785,-0.5446753,1.4253892,0.20890321,1.677751,1.1010772,1.0247836,0.15651298,0.44548437,-0.29783297,-1.2464447,0.25625193,0.6021024,0.811222,-0.04694848,-0.14330874,-0.46120816,0.9189848,-0.30969757,-1.2923355,-0.028978037,0.6376352,0.6972839,-0.22051091,0.8595077,0.9392739,-0.23960045,-0.2695998,-0.24559283,0.07700643,-1.2835847,-0.14269806,-0.7976618,0.43463925,0.5065473,-0.700568,0.20073855,1.0738442,0.28272069,-0.002130853,0.055100523,0.081622176,-0.9486163,2.1693075,-0.9062125,0.4219775,-1.5970415,-0.62165296,-0.54055184,0.38956067,0.9260516,-0.36229435,0.9399174,0.48230863,-0.5061709,0.43456244,-0.4517705,-0.08385186,1.388709,0.059490107,-1.3474758,-1.093483,0.6713683,-0.4165017,-0.5437223,0.23534283,0.58927447,1.2919073,-0.19572785,-0.038993165,1.2859895,-1.8634479,-0.14366998,1.0954955,-0.072096944,-1.0106622,1.0985069,1.0821162,0.2479991,0.1930894,0.362964,0.5314923,0.8903724,0.42987004,1.0873885,1.335281,-0.97009104
2018-12-09,-0.5042614,0.37882173,0.59803885,-0.17455359,0.2856103,0.4084284,-0.06885395,-0.30926165,-1.2305124,-0.3663117,-0.83398604,1.1193702,-0.7440298,-0.6168519,-0.5781747,1.5031276,0.2517489,1.6841494,1.0432662,1.0349681,0.066082336,0.44546732,-0.31550843,-1.1849409,0.16635083,0.59534806,0.96879923,-0.16486515,-0.2305088,-0.6108229,0.99452156,-0.3637941,-1.2758275,0.09481963,0.620022,0.6111495,-0.20036389,0.7712573,0.89025533,-0.28398195,-0.3104932,-0.34981433,0.17210926,-1.2700886,-0.15329225,-0.74889344,0.40175375,0.49830925,-0.7279248,0.21228735,1.0101643,0.32570162,0.007951143,0.008874927,0.13865213,-0.946652,2.140505,-0.98226774,0.2361977,-1.6078593,-0.63695306,-0.57910603,0.2794615,0.9913528,-0.42843223,0.77924055,0.4637057,-0.5636967,0.48294848,-0.32693118,-0.050303143,1.2799066,0.06727861,-1.3212694,-0.9268371,0.7726998,-0.44004643,-0.5558121,0.26435807,0.7183425,1.2541163,-0.23156548,0.04638069,1.3026627,-1.9873861,0.00051705004,1.074756,-0.16998112,-1.0378877,0.9475277,1.0620428,0.20253123,0.12606426,0.32418567,0.5393843,0.84812385,0.4024847,1.0973607,1.3691092,-1.0287668
2018-12-10,-0.37094593,0.32179168,0.7469068,-0.3201133,0.088962525,0.52446645,-0.040600106,-0.18808417,-1.2088498,-0.4203431,-0.7478388,1.1677388,-0.6933328,-0.62869275,-0.60373795,1.5103003,0.24445368,1.7246662,1.1308601,0.95795023,0.15139474,0.37382606,-0.21528947,-1.1722735,0.21221027,0.62742805,0.83285797,-0.04241239,-0.22645523,-0.54583555,0.987479,-0.42504966,-1.230372,-0.018986883,0.582618,0.69366634,-0.19906604,0.77110654,0.9480265,-0.20708776,-0.31802827,-0.25279894,0.09294242,-1.1860296,-0.15622693,-0.8612309,0.4663993,0.59870464,-0.6999907,0.22670186,1.1460114,0.3058503,0.062737346,-0.098817796,0.08606709,-0.79756695,2.168395,-0.9976962,0.27914616,-1.6456202,-0.57914186,-0.5145019,0.29720816,0.89263755,-0.36513555,0.8463072,0.43921086,-0.5030387,0.38926688,-0.46948808,-0.047032416,1.3652289,0.23775463,-1.3926711,-0.94270664,0.65924835,-0.47226283,-0.56750697,0.22837101,0.64398646,1.3287228,-0.25926942,0.12750646,1.3765948,-1.8816117,-0.01369488,1.0443695,-0.0855529,-0.99367577,1.0212618,0.9734657,0.2949737,0.18676531,0.35573888,0.5376809,0.92940986,0.43534684,1.2096118,1.3788533,-0.93534875
2018-12-11,-0.44392338,0.34882268,0.6781856,-0.17669685,0.22273359,0.5100104,-0.015269331,-0.30398047,-1.2369827,-0.40064585,-0.7899923,1.0980514,-0.73516184,-0.65376085,-0.5288952,1.5167004,0.27611968,1.6475449,1.0743643,1.0324272,0.08041618,0.45436695,-0.36281943,-1.2385838,0.20811565,0.6143467,0.9722054,-0.17664276,-0.14714728,-0.59756047,0.9773455,-0.398475,-1.2826219,0.07102873,0.606069,0.57157505,-0.20236166,0.79290915,0.8815362,-0.21179625,-0.24213818,-0.31171852,0.17426793,-1.2197347,-0.17783909,-0.7734181,0.47040808,0.4527124,-0.6698321,0.22538824,0.9904789,0.33487484,0.08310805,0.03469359,0.15542066,-0.8943973,2.140287,-0.98968905,0.24517274,-1.6569082,-0.6464269,-0.55994886,0.270576,0.94374055,-0.41089267,0.7872494,0.50195,-0.5866193,0.5169553,-0.33785236,-0.1262899,1.3409811,0.07613062,-1.3902245,-0.92560697,0.76408213,-0.4494041,-0.58076376,0.27820203,0.6551267,1.1917423,-0.23946983,0.078288384,1.2644553,-1.9157491,-0.02758495,1.0205413,-0.11360421,-1.0837789,0.960486,1.0559765,0.27481854,0.19299908,0.31085622,0.56867236,0.8486643,0.40837738,1.0961456,1.4227731,-0.9946752
2018-12-12,-0.3543569,0.30857226,0.7920529,-0.36116868,0.017101504,0.5037823,-0.14562027,-0.18397859,-1.2158396,-0.52223223,-0.8620489,1.1352049,-0.6416581,-0.62324446,-0.57833487,1.5366826,0.16918872,1.717685,1.146461,0.93863934,0.19138807,0.34706643,-0.17647314,-1.1496034,0.20300162,0.68554795,0.848379,0.023993444,-0.2825745,-0.4733706,1.0262624,-0.46107107,-1.2592365,-0.010696023,0.63986725,0.7121231,-0.22269286,0.79110575,1.0089045,-0.26187932,-0.26958013,-0.33287024,0.06363629,-1.2348988,-0.18028255,-0.79923135,0.45386153,0.6259842,-0.7229925,0.19303423,1.1852841,0.25865656,-0.009380515,-0.14465705,0.032931846,-0.8534097,2.2287798,-0.9601563,0.26050106,-1.6821196,-0.5662343,-0.54215056,0.29932183,0.94043505,-0.36885315,0.87435347,0.43500605,-0.43406063,0.3726597,-0.44684765,-0.06433442,1.3396976,0.24535686,-1.3628323,-0.9548844,0.61396736,-0.44957536,-0.47211134,0.20259245,0.6402624,1.4176713,-0.2678403,0.12649073,1.3783047,-1.9231704,-0.009857302,1.0744635,-0.051767826,-0.9821801,0.98126715,1.0028257,0.26745236,0.07850185,0.39607707,0.5322504,0.91758734,0.4852509,1.2858855,1.271599,-0.9900157
2018-12-13,-0.3355076,0.2895686,0.7923641,-0.23493612,0.12521148,0.53923863,0.045661062,-0.12295747,-1.191689,-0.44642693,-0.7514603,1.1445969,-0.68478024,-0.5485407,-0.5593468,1.5044042,0.25157133,1.6604007,1.1731277,0.9656172,0.094455525,0.4282687,-0.20376201,-1.1654123,0.24315518,0.5933075,0.84506553,-0.042376332,-0.20724955,-0.5132431,0.964655,-0.33190465,-1.3003836,0.02654547,0.59685737,0.6551942,-0.20148401,0.71941,0.97192156,-0.148885,-0.37640157,-0.22175452,0.1413639,-1.2053721,-0.1436844,-0.88871044,0.36259675,0.593863,-0.7136016,0.22537263,1.106276,0.3000238,-0.054369792,-0.043856252,0.122443594,-0.86856997,2.169332,-0.983673,0.29837424,-1.6067458,-0.55959195,-0.5608742,0.34540847,0.8811724,-0.38970095,0.85603374,0.4230973,-0.4269074,0.4156127,-0.49226862,0.06415101,1.3554194,0.1864025,-1.3231369,-0.9720066,0.67709243,-0.5251415,-0.50839674,0.32703343,0.5797308,1.3549144,-0.20171323,0.07578517,1.360265,-1.8967059,-0.00075448415,1.0492039,-0.046931192,-0.95899206,0.930245,0.9756429,0.29049036,0.17486484,0.44367173,0.48386148,0.9767118,0.44092363,1.2417425,1.3691511,-0.9769563
2018-12-16,-0.37548733,0.33449885,0.7171317,-0.32551926,0.26240334,0.4276183,0.051180117,-0.12156261,-1.2401081,-0.33288178,-0.7842872,1.2109417,-0.650223,-0.5796972,-0.6357579,1.5455221,0.31861016,1.7178417,1.0886625,0.960901,0.12864576,0.34363747,-0.18914965,-1.1125445,0.20215382,0.56543064,0.8005222,-0.07923572,-0.24279627,-0.507243,0.98005027,-0.3693962,-1.22566,-0.047605567,0.6633573,0.69971126,-0.3203265,0.8016377,0.8996482,-0.27176693,-0.40645054,-0.2417835,0.09002449,-1.1999044,-0.08250935,-0.870183,0.45380667,0.59282523,-0.83450913,0.1801464,1.1175708,0.22249252,-0.07797569,-0.021724677,0.005124459,-0.77113575,2.1351523,-0.9531225,0.37722087,-1.6442432,-0.5544501,-0.5303227,0.30100542,0.8674441,-0.41602582,0.833646,0.37263802,-0.5286958,0.3648623,-0.55827534,0.059273217,1.427824,0.22024567,-1.3484164,-0.97978854,0.66858685,-0.47547033,-0.53331834,0.23434559,0.68160236,1.3604314,-0.2781652,0.047954194,1.3849055,-1.9099886,-0.033191945,1.0886735,-0.05029334,-1.0189735,1.0006276,0.9249729,0.24586241,0.15670247,0.38240308,0.51223665,0.8978301,0.43149412,1.1682212,1.364478,-0.9644028
