,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2018-12-02,-0.71158415,0.7215241,-0.46678776,0.29181603,0.72428197,0.07230056,-0.32568505,-0.111212514,0.6801807,0.38931677,-0.5728738,0.06023767,-0.8548193,-0.5744645,0.51337826,-0.7656301,0.5796299,-0.018337522,-0.9997554,0.9384533,0.036403235,1.7794989,-0.46812508,-1.1896911,0.112821504,1.2369201,1.2403022,0.8790089,-0.6826772,-0.34909353,0.80002093,-0.5101769,-1.7148379,0.6960699,0.74575806,0.4129624,-1.1034153,1.1167804,-0.26260424,-0.39008328,-0.90412533,-0.88291186,0.15953387,-0.5669176,-0.5523501,-0.15902732,-0.148752,-1.7135268,0.17666596,-0.0029444045,0.8703864,-1.2101552,-0.6794188,-0.13930073,-1.1754961,0.1462327,0.036636226,0.65501976,0.69669026,-0.8117667,0.052079123,2.1756172,-0.6792831,0.30767193,0.4086541,-0.019706005,0.28883722,0.70934445,-0.6706158,-0.907874,-1.9790992,0.7278239,-0.8479412,0.30335775,0.065176,1.0367969,0.00487165,-0.49900094,-0.36360446,2.3526235,-0.370807,-0.27294403,1.0308952,-0.89061165,-1.0159923,0.811248,-0.14613874,0.75022674,0.41809797,-0.68844974,1.0578618,0.25462684,-1.6618983,0.16927524,-0.21123356,0.9312928,-0.054881692,0.9527423,-0.6873872,0.5410136
2018-12-03,-0.8741132,0.69978213,-0.3628289,0.2149389,0.8944725,0.19133411,-0.2898996,-0.010140781,0.61736846,0.19603404,-0.66995436,0.1267801,-0.81935036,-0.5897661,0.36357984,-0.7016105,0.6990932,-0.05160906,-0.8991581,0.85739225,0.043582752,1.669663,-0.56712127,-1.2791009,0.030677855,1.134966,1.2454765,0.819264,-0.7711794,-0.31076998,0.8622133,-0.7052265,-1.6103778,0.72537965,0.89344776,0.54257566,-1.1554072,1.1325461,-0.15713318,-0.5075806,-0.80377793,-0.936742,0.14951903,-0.53933954,-0.398195,-0.32151017,-0.18305813,-1.6407201,0.13393004,-0.029939031,0.7934255,-1.1492664,-0.6502361,-0.31072128,-1.0403448,0.0001678585,0.09371524,0.63810813,0.5457258,-0.7643185,0.1093117,2.005058,-0.7204703,0.29869562,0.38692954,0.03815104,0.21450937,0.522622,-0.75953674,-0.9003842,-1.9464772,0.7026727,-1.0288839,0.4373041,0.17535244,0.9521867,-0.039547216,-0.45269427,-0.20594537,2.2726538,-0.49893662,-0.36211282,1.214066,-0.9341411,-0.9113294,0.7147512,-0.06456847,0.8781854,0.60516346,-0.75803155,1.1494635,0.09658132,-1.6110222,0.08247116,-0.07376375,0.9478321,-0.23606877,0.9896467,-0.7927673,0.50407606
2018-12-04,-0.8876294,0.5573956,-0.34842572,0.23270093,0.93985945,0.2160267,-0.23686525,0.031141417,0.61271936,0.22091325,-0.72653604,0.12184679,-0.80907446,-0.5732409,0.45600086,-0.66183996,0.71164364,-0.11130389,-0.94747984,0.92988354,0.057866763,1.7507799,-0.4892472,-1.1408324,0.031350017,1.0448773,1.2751215,0.84055597,-0.7552082,-0.33146182,0.89860153,-0.6005233,-1.6249998,0.73694056,0.860628,0.5110219,-1.125081,1.0300574,-0.17745931,-0.5302012,-0.74759394,-0.97221893,0.13368179,-0.52185893,-0.45536256,-0.33831063,-0.08361576,-1.6956568,0.12965961,-0.04515749,0.7605532,-1.2022516,-0.64756596,-0.26399827,-1.1473904,-0.020096146,0.13464837,0.82960415,0.5712083,-0.82330966,0.091169365,1.977994,-0.72939545,0.2624135,0.44591674,0.06264218,0.2693378,0.5982492,-0.823785,-0.87140596,-2.0285404,0.5768831,-1.0144335,0.3929957,0.1805049,0.82862437,0.035913046,-0.38918582,-0.20079796,2.3203673,-0.5277539,-0.37663126,1.1495792,-0.90826976,-0.84876364,0.60044205,-0.12136953,0.90457565,0.568749,-0.84400725,1.1762335,0.075817056,-1.5487678,0.1109896,-0.096130535,0.8670536,-0.28161713,1.1456221,-0.79959023,0.53766584
2018-12-06,-0.830375,0.6989912,-0.35153538,0.2332965,0.85648525,0.21755642,-0.30208915,0.0888058,0.5650331,0.11999543,-0.73826,0.15482685,-0.83261627,-0.6095447,0.4415985,-0.6147573,0.6967612,-0.034537096,-0.9230071,0.9020067,0.092374474,1.6856055,-0.597003,-1.2344681,0.032164622,1.0969051,1.1527336,0.83283097,-0.8062638,-0.26821873,0.82203925,-0.7925675,-1.583204,0.55378515,0.99726933,0.5606971,-1.2099108,1.0778168,-0.1653188,-0.6084165,-0.71656036,-0.96585876,0.08944132,-0.5838246,-0.47149852,-0.2467662,-0.22480738,-1.5304227,0.11581515,-0.044269267,0.71564317,-1.1743339,-0.57567394,-0.39623913,-1.0759702,0.032750323,0.091147564,0.69955033,0.6071253,-0.74440074,0.10423152,2.0464687,-0.81848615,0.28460974,0.3402042,-0.033133965,0.23071578,0.5246904,-0.7370745,-0.92390525,-1.9875226,0.64556223,-1.0498633,0.54391897,0.34978786,0.8347274,0.027928814,-0.412994,-0.2568122,2.2825031,-0.538961,-0.37823588,1.1794655,-0.9673763,-0.9073755,0.69448227,-0.15685563,0.8392718,0.63886046,-0.8080915,1.1569759,0.08716115,-1.5842407,0.05828244,-0.059256393,0.9326815,-0.18860975,1.043592,-0.805968,0.5084108
2018-12-09,-0.76950055,0.69778967,-0.37932667,0.22635663,0.863558,0.13721558,-0.33176392,-0.06880254,0.6968552,0.22716047,-0.68723154,0.024297666,-0.8473702,-0.54671896,0.39024985,-0.746766,0.6815917,-0.013324196,-0.9168371,0.8517692,0.039519124,1.6726879,-0.62765384,-1.2762433,0.11820624,1.1861897,1.2297319,0.7528155,-0.8478888,-0.3156355,0.79945,-0.66202587,-1.6258776,0.66670585,0.91298187,0.5694065,-1.0915172,1.1016946,-0.15526552,-0.46968514,-0.8169636,-0.89229816,0.13015872,-0.48860627,-0.39607456,-0.2677938,-0.24030803,-1.5605145,0.04066419,-0.041369505,0.7397505,-1.0752201,-0.65031976,-0.3324464,-1.0476235,0.074783094,0.106512465,0.58570194,0.67636144,-0.68256354,0.107952744,2.0656452,-0.66736907,0.26651347,0.4044544,0.024486275,0.17097928,0.5580336,-0.722481,-0.8842428,-1.8863258,0.81159747,-0.98469627,0.47672173,0.23182556,0.9391282,-0.12124722,-0.43024835,-0.17271805,2.260126,-0.52062166,-0.3564629,1.1639581,-0.8789187,-1.0114771,0.71304375,-0.035963304,0.81317276,0.5543867,-0.6893072,1.1111873,0.09601742,-1.5686164,0.07025922,-0.16308449,0.96171826,-0.20844434,0.9611239,-0.7841826,0.46438986
2018-12-10,-0.7598869,0.6344417,-0.37052277,0.25628266,0.8505239,0.12836327,-0.30969313,0.04890895,0.68038875,0.2546397,-0.6511253,0.09548777,-0.806393,-0.5248843,0.47971758,-0.621701,0.6469362,-0.11694356,-0.9786703,0.96518415,0.06593066,1.7723053,-0.55898434,-1.1363537,0.046696372,1.1106385,1.2213465,0.8580759,-0.8487361,-0.3254391,0.7921231,-0.5994323,-1.6988375,0.6492813,0.8537521,0.50553566,-1.1443051,1.0467317,-0.24726737,-0.5478496,-0.8235977,-0.9586069,0.096938714,-0.52354324,-0.54781616,-0.21097927,-0.15264262,-1.6476624,0.14377488,-0.033067215,0.8162503,-1.1905829,-0.5710751,-0.27117664,-1.1440158,0.053751405,0.08948908,0.71368986,0.6588484,-0.87896013,0.07595221,2.0322897,-0.7778912,0.3108931,0.3868648,-0.013474752,0.27670845,0.6740615,-0.7466346,-0.8659267,-1.9763525,0.6104964,-0.91597086,0.4319087,0.18213561,0.92365336,0.017644487,-0.39887762,-0.2907758,2.3405669,-0.4800042,-0.35858345,1.0121994,-0.8938364,-0.92504716,0.6294507,-0.10961606,0.81846815,0.53021103,-0.7806336,1.0324801,0.17697647,-1.5995636,0.12716927,-0.13989864,0.9026682,-0.1932675,1.0939393,-0.74105746,0.4936624
2018-12-11,-0.73883325,0.76019925,-0.40565693,0.30139193,0.7804597,0.12653787,-0.36803266,-0.03498346,0.7350662,0.31914932,-0.6518402,0.003950952,-0.92937624,-0.55148154,0.45024627,-0.7330463,0.652694,-0.0009676533,-0.906034,0.89378726,0.06939859,1.7138672,-0.58063334,-1.215746,0.074002154,1.1904836,1.1606616,0.73022723,-0.746471,-0.28463644,0.85160005,-0.56960535,-1.629331,0.57500273,0.9262854,0.5606632,-1.0785533,1.1208944,-0.19074515,-0.46415243,-0.8460561,-0.8836954,0.114814945,-0.52202636,-0.3872698,-0.32640728,-0.28147945,-1.5143822,0.09440869,-0.042011373,0.715885,-1.1562647,-0.6368291,-0.34356838,-1.0694431,0.109229535,0.106053755,0.6151639,0.6711312,-0.7374922,0.06953894,2.0945456,-0.6937931,0.29870275,0.36805984,-0.051737953,0.19450094,0.61399204,-0.6870832,-0.86318797,-1.9077694,0.8117371,-0.9069309,0.48601186,0.24060781,0.9490512,-0.117398396,-0.4254678,-0.2939294,2.3085215,-0.5105501,-0.354781,1.1375589,-0.8852702,-0.95900327,0.72366697,-0.07297934,0.75810754,0.45371252,-0.6687774,1.1266341,0.1381301,-1.6031908,0.08356729,-0.17633799,0.90193135,-0.14679237,0.96980613,-0.72564703,0.49359012
2018-12-12,-0.71128255,0.64616257,-0.33864358,0.16992204,0.8237117,0.14252314,-0.37419912,0.0833395,0.68442404,0.19223383,-0.68521917,0.09942701,-0.7280966,-0.5936511,0.43553564,-0.62978506,0.5898936,-0.080667816,-1.0468277,0.92390937,0.06805505,1.8016399,-0.6614185,-1.148724,0.10272021,1.1138492,1.2408441,0.93363297,-0.94272715,-0.3467568,0.7595123,-0.6905955,-1.7337366,0.6570145,0.8745136,0.38834277,-1.218793,1.0247606,-0.18421564,-0.55568695,-0.8010413,-0.9025382,0.13061994,-0.52196354,-0.6084349,-0.15724142,-0.10463099,-1.6662765,0.052234598,-0.059744988,0.86657643,-1.2102724,-0.5789213,-0.26664746,-1.1015981,0.07534581,0.121298954,0.75339586,0.7005431,-0.8786813,0.082105145,2.0721495,-0.8238052,0.24958083,0.35845545,0.006472285,0.2877415,0.6523771,-0.6921309,-0.85253274,-2.0104752,0.5816653,-0.9206397,0.42804566,0.17109619,0.8708688,0.0154561205,-0.4096692,-0.25670102,2.3060143,-0.45971045,-0.3945158,0.9869652,-0.9083828,-0.93914765,0.62987757,-0.12540513,0.81909025,0.65178704,-0.7963687,1.080724,0.13895899,-1.5885506,0.12773664,-0.14644451,0.9295052,-0.21881056,1.1026505,-0.8305304,0.5203238
2018-12-13,-0.7983481,0.5490629,-0.35489753,0.21856424,0.8777277,0.18624148,-0.257783,0.019199077,0.6258353,0.2187893,-0.7502954,0.05519451,-0.7977218,-0.53574246,0.4772517,-0.6448972,0.61823255,-0.09507759,-0.9599562,0.95025474,0.07774092,1.7717601,-0.49372756,-1.1295884,0.091731474,1.0817059,1.2059698,0.8615596,-0.76527584,-0.38129705,0.77627414,-0.5799934,-1.6532719,0.6539457,0.875381,0.44393426,-1.1122591,0.982309,-0.18395515,-0.46290705,-0.73488677,-0.95545715,0.11605211,-0.5053558,-0.52761674,-0.21778287,-0.12007285,-1.640794,0.08527836,-0.05470295,0.7373388,-1.1635153,-0.5825023,-0.22890504,-1.1441349,0.06283281,0.0967535,0.82974535,0.68940187,-0.7743353,0.07165302,2.0864837,-0.7175979,0.25007123,0.43390417,0.033261456,0.3470752,0.6765778,-0.76254267,-0.86424166,-2.0432837,0.613527,-0.97100526,0.42556137,0.19171719,0.8420584,0.07480271,-0.3968125,-0.22718896,2.27489,-0.45025912,-0.3963404,1.0515419,-0.8816383,-0.9338893,0.6334053,-0.17232898,0.8569364,0.51399136,-0.84326106,1.1673108,0.12774844,-1.4981729,0.14905716,-0.17001908,0.84296876,-0.2143748,1.1304513,-0.77902955,0.5794907
2018-12-16,-0.8048838,0.58818877,-0.3423766,0.23782708,0.95027673,0.15624319,-0.23060201,0.06482143,0.6851971,0.19818313,-0.6946425,0.09257287,-0.75557625,-0.51290494,0.36678737,-0.5820233,0.73259914,-0.14208882,-0.9150361,0.94043666,-0.019885434,1.74465,-0.5035009,-1.0971663,0.08235226,1.038862,1.3010714,0.8444947,-0.87214607,-0.34035236,0.7425383,-0.69695544,-1.6912543,0.7752003,0.8850936,0.5711593,-1.0691425,1.0695363,-0.21770254,-0.61871123,-0.8080344,-0.98317343,0.078966476,-0.474977,-0.46986443,-0.28095737,-0.13904105,-1.6579033,0.07923981,-0.047892425,0.75851953,-1.1075151,-0.5494906,-0.28859344,-1.1377829,0.011880521,0.07815519,0.6643754,0.6665334,-0.85884005,0.1355462,1.9733119,-0.7802796,0.31814617,0.44449484,0.05385207,0.24886176,0.6490539,-0.74516416,-0.8198288,-1.9485797,0.639256,-1.0207708,0.454003,0.23322047,0.8598243,0.008718172,-0.3659915,-0.22422537,2.3207073,-0.55027366,-0.43776587,1.059687,-0.8767532,-0.9173816,0.58248746,-0.02872614,0.89818424,0.64152503,-0.8335063,1.0672699,0.10700772,-1.5383849,0.09911439,-0.17769188,0.81164044,-0.31541052,1.1932111,-0.797058,0.5442348
