,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2018-12-02,-0.4256574,0.38997984,0.49128497,0.9273923,0.27452525,-1.8001682,2.821088,3.187292,-0.64191836,-1.7319338,-2.2427769,0.18163547,2.3815374,0.43523267,1.3522983,0.79670995,0.8434757,-2.5745735,-0.16678791,-0.22823018,0.95506394,-1.2252825,0.30518928,-0.23929343,-1.7190421,0.09760075,1.5591168,-0.037683353,-1.1355476,0.48692578,1.3570684,0.36192223,-0.2501013,2.9309778,-0.9691642,4.206718,1.1087306,-0.12348058,1.8806218,1.9433202,0.16105676,-1.3953056,0.64139646,1.2366477,-2.0173442,-1.7876861,-1.0487541,1.3888835,0.753128,-1.9720665,-0.35520127,-0.09956961,0.68432957,-0.26197445,-1.3654121,-0.30507705,1.3252882,0.21911547,-0.27559832,-0.81576365,1.7392308,-2.1413639,-1.5107273,-1.1691719,-1.6117036,3.7093344,1.356203,-1.799863,0.047368776,-1.7843858,0.8571732,0.59945613,-0.20137617,3.3960576,-2.9418514,-1.925904,0.0055384496,-0.6192843,-0.52580965,-0.65457535,0.14708635,-0.53130126,-0.76506454,-3.0724344,-0.20602661,0.2773399,-1.2803173,0.40491885,1.0706517,2.4044695,-0.85029817,0.800184,0.4677834,-1.6736951,0.7432305,-0.7801736,2.714438,0.1520897,0.7114414,-0.3927943
2018-12-03,-0.30917865,0.47838917,0.6819068,0.65950954,0.24973252,-1.8384125,2.6211834,3.3890011,-0.8364384,-1.6705793,-2.5060046,0.15873553,2.45784,0.3303615,1.3834246,0.7008234,0.57861847,-2.2252023,-0.16889872,0.05671087,0.85913634,-0.9586049,0.011181092,-0.30320767,-1.6325316,0.11531168,1.5752672,-0.009226423,-1.2026521,0.2974851,1.5735382,0.26037434,-0.3592146,3.0491326,-0.91054654,4.2004046,0.758352,-0.10991057,1.9434493,2.0246549,0.12071964,-1.2767563,0.92199904,1.153635,-1.8362584,-1.6563461,-0.92623955,1.2161807,1.0466355,-1.564237,-0.42340633,-0.017481953,0.64870447,-0.17860785,-1.2895389,-0.5051937,1.1433702,0.34859332,0.048528988,-0.5354383,1.4767938,-2.0012233,-1.2697653,-1.035696,-1.5766008,3.6940026,1.3915296,-1.7149462,0.053963978,-1.9807003,0.98140234,0.43153703,-0.41506276,3.3877754,-2.7028344,-1.7497053,0.21761878,-0.8565962,-0.2810605,-0.6519662,0.024527187,-0.5442076,-0.7587758,-3.1639638,-0.38976225,0.14506419,-1.3993207,0.4729743,1.2433131,2.6664364,-1.060054,0.8826418,0.5159983,-1.6461287,0.49555945,-0.8964904,2.6794078,0.05701056,0.6568163,-0.37879837
2018-12-04,-0.16434328,0.40975523,0.7022356,0.6593787,0.11444892,-1.9038086,2.647403,3.2891638,-0.7324084,-1.6715103,-2.3908691,0.15680577,2.3302338,0.52973974,1.3461732,0.6050792,0.443346,-2.2015846,-0.15787888,0.049949616,0.80825883,-0.93677664,0.19425505,-0.29343352,-1.5081294,0.20209867,1.5990127,0.037927408,-1.1639348,0.34315857,1.5755142,0.25982752,-0.45950666,3.0550783,-0.8202573,4.061655,0.7846844,0.1070591,1.8658919,2.0856557,0.06197373,-1.3852886,0.97187376,1.0975807,-1.7930593,-1.7208124,-0.8244469,1.2483039,1.0604341,-1.6370711,-0.43825772,-0.062074468,0.72266024,-0.27398708,-1.4354577,-0.5416893,1.3748792,0.2303256,-0.024813661,-0.4224467,1.4688985,-2.0248687,-1.2296517,-0.8049019,-1.5384501,3.6226034,1.331286,-1.7570328,0.0764922,-1.9563665,0.9525376,0.3622004,-0.5417131,3.1286042,-2.824625,-1.7929888,0.24696663,-0.88279116,-0.27075174,-0.66656244,0.15108854,-0.4498976,-0.7233282,-3.094177,-0.38999224,0.10498648,-1.3691155,0.42575663,1.2205138,2.681433,-1.0875481,0.89177305,0.5168918,-1.6432965,0.8047493,-0.8228695,2.4238534,-0.10354751,0.5641916,-0.3445824
2018-12-06,-0.1405158,0.5769445,0.75475526,0.67198956,0.07707156,-1.9481819,2.5065536,3.4798744,-0.9194036,-1.8205397,-2.5525455,0.19851133,2.275687,0.4605614,1.295897,0.57971156,0.5199463,-2.0336223,-0.07654943,0.11939558,0.7361998,-0.86458826,-0.18506613,-0.29911685,-1.5659444,0.10631126,1.3901653,0.083252504,-1.2235341,0.32585144,1.5112029,0.40928286,-0.5083994,3.0943565,-0.7943454,4.2106676,0.7751632,0.0012848789,1.9398228,1.9773861,-0.0039603105,-1.313656,0.9999861,1.0316421,-1.7853179,-1.5537808,-0.8150717,1.250436,1.072573,-1.6278819,-0.4907082,0.0956674,0.73858434,-0.13626827,-1.2207485,-0.5111601,1.1362082,0.30314574,0.02492325,-0.4775353,1.52321,-1.9137146,-1.2447304,-0.84853977,-1.7258748,3.6562726,1.3759488,-1.6103064,-0.20459363,-2.0402634,1.0320245,0.50272137,-0.49018967,3.5276859,-2.46408,-1.6560485,0.3669378,-0.8885691,-0.2654288,-0.7257948,-0.16906847,-0.5080399,-0.7564123,-3.0640147,-0.4568507,0.2226657,-1.3607005,0.3242981,1.2064565,2.7681134,-1.044457,1.0023983,0.39834464,-1.8999482,0.54755044,-0.8783041,2.707218,-0.022240724,0.72324336,-0.33059612
2018-12-09,-0.32389915,0.583918,0.6803135,0.65446484,0.32154092,-1.7017523,2.6616342,3.2509754,-0.81295174,-1.7957934,-2.5169735,0.025682766,2.476068,0.21227181,1.4172859,0.70122886,0.73429054,-2.3697872,-0.1384045,-0.07153862,0.9524382,-1.0207249,-0.046201758,-0.34377337,-1.7042234,0.082024574,1.4929702,-0.060053598,-1.2343912,0.32219937,1.4464335,0.32343057,-0.33675674,2.907356,-0.8541834,4.4248815,0.80034083,-0.20011406,2.000441,2.0485134,0.046580367,-1.2750672,0.7941073,1.2452449,-1.8881527,-1.6201899,-0.9107825,1.4028834,0.9722155,-1.5715568,-0.4631189,0.041040264,0.6120507,-0.15826534,-1.2457259,-0.3192324,1.1784708,0.250081,-0.0061507546,-0.6662985,1.6645169,-1.9677043,-1.3898858,-1.0823878,-1.608884,3.686757,1.3690113,-1.6789415,0.02997159,-1.8217248,1.0015914,0.48546037,-0.28168547,3.4836795,-2.7649693,-1.7798145,0.20826863,-0.61334443,-0.21462844,-0.5925107,0.03362164,-0.6587729,-0.77387816,-3.240688,-0.38315713,0.19018218,-1.3733588,0.5135145,1.1476564,2.525145,-0.9442376,0.9505469,0.43845338,-1.6049125,0.41758502,-0.9648026,2.7015216,0.13844156,0.7383631,-0.39842764
2018-12-10,-0.24617116,0.4701634,0.62246644,0.86155635,0.1871706,-1.9861107,2.674578,3.2376003,-0.6989868,-1.7958896,-2.3304102,0.10701547,2.2476618,0.52265286,1.2823311,0.6575159,0.5436991,-2.3308463,-0.12778904,-0.013525043,0.87379545,-1.0503695,0.14534703,-0.25136557,-1.5366193,0.18666263,1.5608616,0.046878066,-1.1893182,0.4124077,1.4798478,0.3647612,-0.4056217,3.0673316,-0.8335768,4.0709405,0.97874683,0.019378321,1.8667079,1.9967637,0.028364453,-1.3804082,0.85972035,1.1178949,-1.833647,-1.6645751,-0.93755764,1.3236976,0.9341787,-1.7358863,-0.43134585,-0.118870586,0.7224074,-0.17645217,-1.3874611,-0.46162492,1.363517,0.24300836,-0.12066832,-0.5595567,1.6653485,-2.051958,-1.3531499,-0.89594877,-1.6217805,3.5275342,1.3679944,-1.7184129,0.023583816,-1.9034367,0.99171805,0.5052508,-0.383453,3.2991612,-2.7517393,-1.6582263,0.16667102,-0.81767315,-0.29862055,-0.67097133,0.07252388,-0.392466,-0.77182156,-2.9747782,-0.356527,0.13170093,-1.3537583,0.36619252,1.2043129,2.5221055,-1.04445,0.83682483,0.52742857,-1.787255,0.82774943,-0.7585262,2.5906477,0.015613038,0.694092,-0.36808178
2018-12-11,-0.30358905,0.5534471,0.61698246,0.761469,0.22339949,-1.761505,2.704239,3.2676258,-0.8228572,-1.8535894,-2.3994982,0.08797869,2.303225,0.37126744,1.3310835,0.7069703,0.69466156,-2.3777392,-0.042139206,-0.109288976,0.9177771,-1.1651195,0.052246094,-0.34726036,-1.72079,0.13477838,1.3753746,-0.07107773,-1.20751,0.40447024,1.4485502,0.39746234,-0.37890202,2.9454834,-0.759888,4.440912,0.94586015,-0.10098924,1.9012421,2.0895445,-0.030020658,-1.4083207,0.7539674,1.1473266,-1.9675838,-1.6714612,-0.81920993,1.4692303,0.9140772,-1.7986978,-0.56519526,0.0028565763,0.7033994,-0.206451,-1.1858648,-0.33820105,1.2786504,0.09480658,-0.09665145,-0.7072164,1.6980302,-2.0317395,-1.5091891,-0.94120336,-1.7324286,3.6922731,1.4362922,-1.6884416,-0.10029981,-1.9313082,1.0171611,0.6221348,-0.27224624,3.5661454,-2.7970958,-1.768176,0.17898299,-0.44631162,-0.34786183,-0.6825056,-0.0051789954,-0.62678087,-0.8132749,-3.1500795,-0.3647342,0.2542129,-1.2900236,0.39599207,1.0873429,2.50078,-0.75977486,0.8990061,0.3960487,-1.7416862,0.62747055,-0.9484296,2.7266812,0.10440866,0.7562751,-0.43748593
2018-12-12,-0.2731627,0.46469286,0.61048007,0.77082586,0.27048495,-1.8719895,2.6325498,3.3245444,-0.63605547,-1.8563464,-2.4556754,0.07857971,2.3660781,0.41682324,1.2196298,0.5731992,0.5322132,-2.3588905,-0.18430887,0.044452023,0.81956625,-1.008017,0.021932809,-0.254953,-1.5324211,0.25312126,1.690102,0.062871076,-1.1710069,0.41911077,1.5606719,0.32509506,-0.45992646,3.1406925,-0.93681884,4.065273,0.98748183,-0.032885984,1.9234515,1.8792186,0.17485775,-1.3321422,0.8612266,1.2625412,-1.8192574,-1.6372346,-1.0479183,1.311291,0.89170736,-1.6574692,-0.36928126,-0.15097441,0.7116633,-0.11262231,-1.3685037,-0.58780116,1.3296489,0.3617686,-0.128931,-0.6081852,1.684804,-2.00343,-1.3337818,-0.92108184,-1.6585394,3.550203,1.4101532,-1.8076115,-0.03269849,-1.8670868,0.8281188,0.41548315,-0.35516697,3.368139,-2.7065074,-1.6208743,0.027074417,-0.84064656,-0.29477352,-0.65274197,0.090393126,-0.32613617,-0.7441467,-3.0837018,-0.33662868,0.12250036,-1.4270277,0.3630582,1.1491103,2.5728495,-1.1443411,0.9026238,0.45344514,-1.7921807,0.69046134,-0.6852941,2.6729913,0.10605729,0.77460265,-0.3404077
2018-12-13,-0.1858847,0.45022815,0.6996977,0.66431653,0.03576922,-1.8059098,2.6610157,3.1609614,-0.69673634,-1.7964845,-2.3681798,0.10975003,2.2823386,0.5135214,1.2945063,0.57523084,0.5294782,-2.2272446,-0.10403653,-0.058795433,0.8041262,-0.95749015,0.12012061,-0.31823376,-1.5219766,0.15492427,1.4979231,0.0031113,-1.1334311,0.3842718,1.4694163,0.31551057,-0.54697186,2.9530754,-0.7855288,4.1580987,0.81115115,0.0745207,1.9075555,1.9708812,0.02925092,-1.4048926,0.8983326,1.0507523,-1.7814832,-1.7126242,-0.7625737,1.3590063,0.9434649,-1.7321899,-0.4564418,0.00014693863,0.78712153,-0.3057319,-1.4002548,-0.47953033,1.3936112,0.13495871,-0.093840316,-0.5232884,1.5950345,-1.9563755,-1.3759868,-0.87583804,-1.6099238,3.60253,1.3097142,-1.7318281,-0.05959382,-1.8535441,0.9089879,0.4227346,-0.45261663,3.1435602,-2.7836425,-1.8063633,0.19739349,-0.7155403,-0.2879968,-0.602266,0.11814982,-0.47748217,-0.707449,-3.0892081,-0.36057207,0.17300753,-1.3539367,0.38804856,1.0767016,2.5885677,-0.97436804,0.97668195,0.3636478,-1.7509298,0.8389219,-0.78036183,2.5128493,-0.04486832,0.6684931,-0.29142424
2018-12-16,-0.28330734,0.47718337,0.81063473,0.62909186,0.17569438,-1.9467801,2.7085545,3.2000194,-0.74978703,-1.7795277,-2.4583654,0.084391825,2.3312364,0.34336278,1.3186864,0.6041844,0.4435324,-2.3090367,-0.11325461,0.0010635151,0.91181064,-0.9222508,0.08215623,-0.2387894,-1.522783,0.16259696,1.6516405,0.008580376,-1.1973187,0.2951873,1.5740651,0.2531318,-0.49272454,3.035157,-0.7794351,4.2031446,0.7422212,-0.0455989,1.9106094,1.9898651,0.0158545,-1.2777402,0.96154696,1.129247,-1.7010915,-1.6632203,-0.80642545,1.3224902,1.069595,-1.5169187,-0.3455513,-0.048390817,0.64940506,-0.12932952,-1.3923832,-0.5016919,1.3686737,0.31277224,0.00058282923,-0.58006525,1.565636,-1.9558706,-1.3242742,-0.8080929,-1.5724818,3.5592804,1.4041523,-1.719892,0.16417673,-1.8824334,1.04205,0.2809765,-0.51529735,3.1650412,-2.7152328,-1.678945,0.27134755,-0.9431163,-0.062085208,-0.5627568,0.0870968,-0.41346136,-0.75924665,-3.1082442,-0.2579487,0.07309044,-1.4873451,0.5395153,1.1893746,2.6552773,-1.0905316,0.97387964,0.54361343,-1.5518672,0.67600185,-0.87490875,2.5248115,-0.045645144,0.6862072,-0.3812724
