,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2018-12-02,-0.080213286,0.04003381,0.092459515,-0.15427507,0.13443975,-0.07545859,0.3009919,-0.083304,-0.02934276,0.0023968285,0.15534951,-0.21249627,0.17082968,-0.15860446,-0.1082098,0.14970441,0.08550195,-0.08978663,0.1671119,-0.2645717,0.10152999,0.019034669,-0.10326257,0.059786893,-0.1051071,0.18549204,-0.00408556,-0.02129128,0.11586409,-0.14250687,-0.114884935,0.038908843,-0.14976215,0.03947985,-0.0667128,0.17094646,-0.11342226,0.35482615,0.2587061,-0.09142019,-0.22131157,0.16319808,0.05405152,0.039349675,0.0047865254,-0.25879052,-0.08796418,-0.004932045,0.00034750305,0.08512961,-0.034162395,-0.011598722,-0.15794928,-0.11295799,-0.001560009,-0.15022185,-0.009690019,0.19634224,-0.025716072,0.11568037,-0.032860957,0.018527508,-0.15057826,0.07284884,-0.16654083,0.059870426,-0.015072214,0.18341395,0.07221993,-0.16818993,-0.030578448,-0.20196994,0.14418276,-0.09535383,-0.35845497,0.19228584,0.09820723,-0.036011267,-0.056687728,0.17572585,0.08250732,0.103562355,0.03365557,0.051586334,0.039568614,0.076132886,-0.20942883,-0.17566563,-0.1589043,-0.01800811,-0.032032043,-0.04556208,0.043327175,-0.044411525,0.042330734,0.27271086,0.11460466,0.0049550636,-0.22959849,-0.09897409
2018-12-03,-0.090415016,0.038868345,0.11585374,-0.16232237,0.12646966,-0.09547951,0.2958956,-0.095867746,-0.020370685,0.008518095,0.15893547,-0.20716564,0.18019298,-0.16957574,-0.09962793,0.15191135,0.10135335,-0.095046975,0.17330779,-0.26758367,0.12402627,0.035986707,-0.10287873,0.06890114,-0.10645433,0.19803222,-0.015402892,-0.004408171,0.11841331,-0.14949214,-0.123362064,0.039224997,-0.14256342,0.043235935,-0.06213011,0.16917533,-0.13511516,0.34259838,0.26699173,-0.07916383,-0.22955453,0.16291058,0.062073454,0.06346248,0.004665515,-0.26537803,-0.09799755,-0.014731297,-0.012175735,0.10043543,-0.035799008,-0.023901943,-0.15669835,-0.13876134,-0.010464554,-0.16044596,-0.015198006,0.23038882,-0.021144956,0.13075672,-0.03335571,-0.0017740671,-0.13846879,0.08427498,-0.17487477,0.059048183,-0.021229137,0.20712836,0.054016616,-0.18078715,-0.037753496,-0.20805047,0.15094191,-0.08912279,-0.37356964,0.19345388,0.09327807,-0.057442162,-0.050122615,0.17294414,0.080889,0.11146089,0.05272652,0.06770072,0.054012388,0.06948758,-0.21106508,-0.18873222,-0.16620888,0.0026488772,-0.02607154,-0.03445705,0.036291435,-0.024355236,0.05189716,0.26784155,0.13581808,-0.016342957,-0.24542557,-0.094779775
2018-12-04,-0.08301528,0.046504036,0.11213857,-0.16476302,0.14241831,-0.10707031,0.2974929,-0.09869979,-0.015676573,0.02046805,0.17753808,-0.2062971,0.16659436,-0.17392105,-0.1122984,0.16303553,0.10539403,-0.103493065,0.17136258,-0.2783221,0.1226311,0.03758431,-0.1002367,0.06921341,-0.11882803,0.2073178,-0.0048487787,0.0046047852,0.13208458,-0.16144162,-0.1287898,0.04394809,-0.14557885,0.042807613,-0.06882839,0.1639094,-0.13227375,0.3463227,0.2795526,-0.08129164,-0.2434895,0.16617244,0.056520637,0.06823201,-0.003989979,-0.26942405,-0.09761459,-0.00895194,-0.02198316,0.10144959,-0.032727998,-0.02482113,-0.17127685,-0.13723801,-0.0043524452,-0.15510464,-0.012111898,0.23473315,-0.016488286,0.13548028,-0.024807205,-0.019601716,-0.13707948,0.0860758,-0.18802227,0.058406055,-0.01749434,0.21278456,0.06751264,-0.19199723,-0.036720797,-0.22946344,0.15463307,-0.10042018,-0.39630127,0.19160357,0.0986509,-0.056727175,-0.061492756,0.1771662,0.084744476,0.12060883,0.06637153,0.060132712,0.061145715,0.062047917,-0.223654,-0.18199837,-0.16657594,-0.006539564,-0.028349819,-0.030528048,0.033750758,-0.02634289,0.065217204,0.26789406,0.13435447,-0.010866838,-0.23994322,-0.09421931
2018-12-06,-0.09896551,0.04822623,0.121091776,-0.16983353,0.13181631,-0.096817985,0.2986353,-0.09748798,-0.015220121,0.014321332,0.17111649,-0.21211334,0.16678649,-0.18939409,-0.09917355,0.13749242,0.10631119,-0.081825756,0.15341899,-0.28091583,0.1267536,0.04265908,-0.10153326,0.054153148,-0.10060581,0.21481897,-0.011425454,-0.0088781975,0.11199445,-0.14702804,-0.13121267,0.029425327,-0.14304438,0.040879194,-0.05192196,0.17169712,-0.1345299,0.32913372,0.27503872,-0.08361673,-0.22838295,0.18024807,0.06923172,0.07206157,-0.0024484145,-0.25002664,-0.09431853,-0.009899622,-0.0009692975,0.101423144,-0.028584603,-0.018299544,-0.15336303,-0.15011333,-0.022400578,-0.16505912,-0.0009751741,0.23184586,-0.026908835,0.13785468,-0.051030047,-0.0095264865,-0.13412037,0.08515393,-0.18815258,0.04961881,-0.009203409,0.21003781,0.07499282,-0.18856367,-0.04575199,-0.2076313,0.14437705,-0.09924155,-0.39144924,0.19063167,0.09563439,-0.058481872,-0.04982314,0.1716147,0.112921074,0.1173733,0.06349294,0.049285408,0.06335494,0.070969336,-0.21141513,-0.18379132,-0.16055948,0.010547398,-0.028124446,-0.04289886,0.039092537,-0.014717427,0.04918881,0.28188992,0.13281316,-0.02661787,-0.24011546,-0.092782915
2018-12-09,-0.09233498,0.03882537,0.1078021,-0.166687,0.13209961,-0.08628868,0.29448017,-0.101545006,-0.017938957,0.0026562156,0.15606052,-0.21669565,0.17307799,-0.17660187,-0.10301232,0.14014928,0.098614305,-0.089456856,0.1700235,-0.260597,0.132161,0.032666046,-0.102687106,0.06318772,-0.093703866,0.20128629,-0.014612981,-0.0038369156,0.115772635,-0.14955218,-0.117320485,0.039088864,-0.14646521,0.05271204,-0.064938985,0.17218754,-0.12899648,0.3422121,0.25702438,-0.07845486,-0.22980474,0.16273376,0.061334547,0.059026953,0.0066456576,-0.26016968,-0.1017146,-0.016131707,-0.0039406153,0.099488795,-0.03201559,-0.018088685,-0.14818883,-0.13460204,-0.01636424,-0.15928923,-0.0073092943,0.21494552,-0.020037148,0.12659582,-0.04659826,0.005512377,-0.14510612,0.08369691,-0.16694267,0.053387832,-0.024407065,0.19901685,0.058885485,-0.17295885,-0.032504234,-0.20373064,0.13922429,-0.08622547,-0.369728,0.19464916,0.09523405,-0.05929346,-0.046549167,0.17236456,0.094119996,0.11300866,0.05111733,0.058702543,0.044622816,0.07281332,-0.2049434,-0.19250563,-0.16291076,0.0008007234,-0.02354035,-0.039186127,0.03918772,-0.0245172,0.048158802,0.27468175,0.125752,-0.017057227,-0.23336534,-0.08748562
2018-12-10,-0.086017646,0.04994182,0.10217097,-0.17853318,0.13884035,-0.08814538,0.29346988,-0.094680056,-0.015798096,0.0068305354,0.16487838,-0.21248339,0.16587965,-0.16944185,-0.10436199,0.13793536,0.09817486,-0.08310736,0.15697841,-0.27669546,0.13068287,0.043855287,-0.100204326,0.06095009,-0.108996704,0.19900127,-0.0035943277,-0.009846431,0.11512021,-0.1609797,-0.12048094,0.034604844,-0.14545372,0.03992364,-0.06650534,0.17851688,-0.12471194,0.33652025,0.27772224,-0.09040076,-0.23901485,0.17317605,0.06784083,0.065357424,-0.005164579,-0.26118216,-0.09621752,-0.016552065,-0.012522824,0.09940409,-0.03242277,-0.018781597,-0.16031346,-0.13546848,-0.016761938,-0.16089003,-0.0064516473,0.20919262,-0.030600984,0.12811072,-0.03307128,-0.011354706,-0.13976943,0.08466377,-0.18698445,0.046877354,-0.013955174,0.20708932,0.07756376,-0.17397581,-0.04409289,-0.220775,0.13776834,-0.087940514,-0.3861241,0.2005583,0.1070089,-0.059147403,-0.049942132,0.16175707,0.09844811,0.1171812,0.05682564,0.052924078,0.0537494,0.06885549,-0.21676727,-0.17981923,-0.1553546,-0.009745803,-0.03421523,-0.045755964,0.050302736,-0.027363531,0.049066816,0.26868704,0.12737899,-0.0074704583,-0.22627844,-0.09032697
2018-12-11,-0.09202656,0.035080962,0.105243444,-0.17272714,0.11505049,-0.0851156,0.28906557,-0.09245869,-0.016788503,0.012079437,0.14801405,-0.21023682,0.18141153,-0.1829766,-0.10523515,0.14139618,0.1033791,-0.089315206,0.16732027,-0.26089826,0.12758183,0.03839089,-0.10053574,0.053491645,-0.094269425,0.19502677,-0.018566921,-0.010950678,0.1147778,-0.1420466,-0.109593846,0.02969764,-0.14444874,0.054918256,-0.056874815,0.17247736,-0.13321368,0.33808386,0.252042,-0.07831097,-0.22146916,0.15818517,0.059675265,0.050301354,0.0063061207,-0.26167166,-0.09705117,0.0005224662,0.0069153556,0.09842336,-0.033539217,-0.018949239,-0.15326118,-0.14532287,-0.015098631,-0.15839916,-0.0043752566,0.2057845,-0.021211738,0.12912734,-0.053554166,0.016754575,-0.15346667,0.09043944,-0.15056413,0.061963767,-0.019852305,0.19402468,0.052393444,-0.165706,-0.03649624,-0.19582075,0.14873816,-0.08628543,-0.3704402,0.19061862,0.095739976,-0.049107276,-0.049285628,0.17836957,0.09309836,0.115424976,0.050720215,0.059959646,0.047893263,0.07367997,-0.19558555,-0.1942603,-0.16360821,0.0047313324,-0.02397288,-0.04367832,0.039373975,-0.021831306,0.036146387,0.27344772,0.12034111,-0.013508065,-0.23543403,-0.091016814
2018-12-12,-0.08994795,0.058815833,0.11141156,-0.17990372,0.1608436,-0.07694619,0.31053928,-0.09731961,-0.016488746,0.00031628934,0.1759691,-0.22602397,0.15387537,-0.17225704,-0.10030465,0.12983985,0.09278321,-0.073752284,0.142209,-0.28124562,0.12824579,0.04141362,-0.102972716,0.062399853,-0.10279058,0.21006462,-0.0016377263,-0.017687917,0.11374816,-0.16311947,-0.12237273,0.04168841,-0.14649071,0.0434937,-0.07647886,0.1763181,-0.119727015,0.33307704,0.27710995,-0.09363829,-0.240912,0.1884926,0.069693096,0.075890504,-0.007276158,-0.25183052,-0.09687086,-0.0154448245,-0.0042212065,0.093445525,-0.035017427,-0.018674267,-0.16022116,-0.13679284,-0.017039124,-0.16134968,0.016401911,0.21781176,-0.033463873,0.13388461,-0.036465134,-0.013192471,-0.14788291,0.077366784,-0.19756077,0.033705533,-0.009218854,0.20503968,0.08449726,-0.18503506,-0.04270307,-0.22248411,0.12907805,-0.091808826,-0.3951909,0.19180387,0.10021355,-0.061594862,-0.05055127,0.15663032,0.11308177,0.11907416,0.060864855,0.04036195,0.05365068,0.06757366,-0.22059037,-0.1827369,-0.1548296,-0.005008686,-0.03627834,-0.04502938,0.06210184,-0.01880511,0.058547188,0.26832086,0.12539011,-0.010235472,-0.21796547,-0.08248774
2018-12-13,-0.085379355,0.04745087,0.1060589,-0.1690298,0.1548178,-0.09592171,0.29896188,-0.10030167,-0.011426137,0.018020542,0.1811867,-0.21538462,0.14858171,-0.17809948,-0.11186136,0.15575363,0.093846366,-0.08589569,0.16237319,-0.2845714,0.11764865,0.025587464,-0.1036897,0.056340758,-0.11452553,0.2042005,0.002967449,0.0042990874,0.12297352,-0.15706083,-0.13061501,0.043445464,-0.15144186,0.041483384,-0.07263783,0.16814616,-0.12265174,0.34062055,0.27411348,-0.08982439,-0.23961283,0.17177266,0.049972255,0.0674294,-0.008442073,-0.25599602,-0.094531916,-0.0064874333,-0.014456331,0.095699064,-0.026694015,-0.02632342,-0.16025914,-0.12558474,-0.013689102,-0.15036239,-0.0033796553,0.22054745,-0.019262765,0.1285127,-0.03265938,-0.012435567,-0.14156763,0.07963713,-0.19429193,0.054530554,-0.010394769,0.20244332,0.091518156,-0.18486246,-0.032447424,-0.2336334,0.13432828,-0.104528986,-0.39604333,0.18520945,0.101139896,-0.05199788,-0.05887542,0.16880633,0.09987783,0.12358792,0.060506344,0.051856007,0.05664638,0.05865998,-0.22694033,-0.17022987,-0.15222955,-0.023264717,-0.028162805,-0.0395405,0.043624893,-0.032577593,0.061340652,0.27297646,0.12687615,-0.005046452,-0.22986475,-0.089620665
2018-12-16,-0.089353584,0.05458414,0.11793419,-0.18062037,0.14231102,-0.10200597,0.29503894,-0.10754213,-0.010133821,0.004281477,0.1675004,-0.20877342,0.15678108,-0.16604325,-0.120402105,0.13955677,0.106120005,-0.0889834,0.15747026,-0.27337825,0.13331915,0.050071023,-0.094201356,0.07070529,-0.112912774,0.19925062,-0.01686135,-0.0002857271,0.1181036,-0.1726248,-0.12619162,0.03584828,-0.1469436,0.040862568,-0.0728759,0.18611091,-0.1357932,0.34677747,0.28625968,-0.09510389,-0.24042188,0.17747103,0.06405296,0.07365486,-0.0038168395,-0.26977208,-0.09918781,-0.027733441,-0.01840633,0.09994557,-0.02162971,-0.019553922,-0.15614879,-0.13846116,-0.009838264,-0.15880139,-0.01255789,0.2216989,-0.030542841,0.1288348,-0.016854743,-0.014797788,-0.13445352,0.08067362,-0.20260207,0.043236047,-0.017403742,0.21614707,0.07230908,-0.18674694,-0.047687616,-0.2335524,0.13688108,-0.07087778,-0.38735664,0.19805464,0.10774825,-0.063062474,-0.061056215,0.1579435,0.094113104,0.11430381,0.066840604,0.051210385,0.06506774,0.06518192,-0.22220525,-0.17344353,-0.16124547,-0.0037068238,-0.036522917,-0.044761628,0.05279901,-0.025216058,0.05154943,0.2653421,0.13315286,-0.013910398,-0.22956555,-0.08344157
