,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2018-12-02,-0.06112044,-0.18416895,0.18930063,-0.27611163,0.018670004,0.07795449,0.28452754,-0.03730388,-0.42517143,-0.10484519,-0.21957265,-0.10488512,-0.13667314,0.10369372,0.242355,-0.0032131854,0.13932092,-0.0832918,0.126257,-0.231716,0.12889722,-0.07957445,0.32490188,0.181177,0.027712272,-0.04724659,0.072244115,0.05185659,0.09682833,0.11236635,0.16933511,-0.16488178,0.04893729,0.021389982,-0.034380257,-0.13150384,0.19050169,-0.055248544,-0.14045954,0.13594417,-0.45766786,0.03633969,-0.027804984,0.03969176,0.0067251907,-0.2809103,0.056594763,0.1471243,0.021635322,0.06519119,-0.03395072,-0.27798185,-0.02729972,0.124935515,-0.25032073,-0.14042379,-0.063037306,0.31085995,0.01680453,0.069976285,0.0063779377,0.0051365923,0.04373323,0.050831456,0.19457763,0.112048715,0.06844068,0.24353935,0.35014203,-0.092435524,0.041717563,0.014529965,-0.16205432,0.07135682,-0.42545208,0.4460488,0.17019543,0.031188358,0.110699005,-0.014738577,0.22663571,0.192599,-0.07333412,-0.00010161262,-0.019883322,-0.06616931,-0.24315624,0.030075006,-0.1222254,0.15828899,-0.084790684,0.2653809,0.053507913,-0.051462874,-0.3691736,-0.096566506,0.07172103,0.018100467,0.16403437,0.123694785
2018-12-03,-0.045010775,-0.18550806,0.19407716,-0.27399108,0.00056126126,0.08257855,0.26841918,-0.037501458,-0.44185093,-0.11558873,-0.23031011,-0.10724653,-0.16740203,0.09341472,0.24779549,-0.0054546604,0.15614831,-0.10327687,0.12376671,-0.2511066,0.13345018,-0.064150065,0.36878356,0.17669652,0.019292656,-0.057571873,0.06898919,0.009481288,0.08598458,0.10539173,0.19466463,-0.16005972,0.05150239,0.023310289,-0.044921532,-0.15136075,0.15605727,-0.072308645,-0.14562865,0.16071011,-0.47540066,0.036732305,-0.009334583,0.06680299,0.017718256,-0.28429857,0.085561536,0.1460145,-0.009764613,0.07491816,-0.024968209,-0.26382768,-0.016406605,0.13502686,-0.25107133,-0.13243425,-0.055648748,0.310261,0.02656143,0.08474656,-0.025668751,0.0050853486,0.035079192,0.056736454,0.17123634,0.12014494,0.08234851,0.2547427,0.36396626,-0.098726556,0.023813589,0.0055439933,-0.19062139,0.07567484,-0.46113744,0.42976162,0.1764268,0.03140316,0.10612426,0.002439511,0.22822659,0.19604291,-0.08002559,-0.00209741,-0.016389836,-0.0818252,-0.2647666,0.040348995,-0.10844936,0.13709216,-0.095832475,0.2628675,0.042713493,-0.026889728,-0.38805196,-0.0974106,0.09429296,0.010524179,0.17615405,0.14247172
2018-12-04,-0.041168276,-0.19613568,0.18346739,-0.29567698,-0.0015461927,0.079529464,0.29153273,-0.036944658,-0.45651764,-0.09422968,-0.24412091,-0.09708475,-0.16511273,0.09368556,0.24629554,-0.012175826,0.134903,-0.09283022,0.11696437,-0.24429448,0.12905216,-0.066623524,0.38024768,0.1818493,0.048253387,-0.0711957,0.06375388,0.02258686,0.09450141,0.118208915,0.20249674,-0.16517742,0.05459626,0.029743519,-0.044760976,-0.15342985,0.1617981,-0.080304824,-0.15193032,0.15470786,-0.4798436,0.043792948,-0.010066043,0.03749595,0.012825924,-0.27348468,0.084786505,0.14488637,-0.015203622,0.07443237,-0.018314902,-0.26007473,-0.032475304,0.14627844,-0.276239,-0.13721436,-0.04588567,0.31778523,0.030538565,0.082070194,-0.026726969,0.0031381557,0.04255686,0.051772367,0.1757157,0.11764763,0.082852766,0.26150817,0.3619425,-0.10542918,0.03250531,0.014054004,-0.19894156,0.074109346,-0.46506944,0.44122416,0.17605245,0.03134451,0.10546108,0.020285986,0.24654746,0.2021416,-0.1011223,0.011631736,-0.017455747,-0.0703631,-0.268538,0.030310525,-0.11395299,0.13846265,-0.096842244,0.2549378,0.03489802,-0.032064296,-0.3893024,-0.101510316,0.093814895,0.005534877,0.17624393,0.15033521
2018-12-06,-0.055196993,-0.17112944,0.19487718,-0.2653514,0.0010818522,0.07800736,0.2677713,-0.028918304,-0.44992387,-0.10511048,-0.24564251,-0.12082477,-0.17382699,0.07199668,0.24552476,-0.012761223,0.15718761,-0.11131669,0.12435256,-0.24613808,0.13478005,-0.059431765,0.3833409,0.19256595,0.013058133,-0.040940333,0.053331353,0.006585115,0.07661078,0.122974716,0.19851507,-0.15242623,0.059310786,0.014496876,-0.0347103,-0.14053689,0.14120509,-0.06778835,-0.16086848,0.157647,-0.48713595,0.0155659495,0.008572184,0.05064723,0.029817639,-0.28055564,0.09468544,0.14756475,0.005015699,0.07620919,-0.013644407,-0.26333547,-0.028067412,0.13567418,-0.26109043,-0.13395435,-0.043972094,0.30201152,0.0063954988,0.11217214,-0.03168917,0.0017936936,0.038123325,0.07697307,0.19047287,0.11766698,0.050728276,0.26495165,0.37828428,-0.09858012,0.0146153495,-0.007004089,-0.22008286,0.059775118,-0.4579552,0.45272326,0.19567597,0.035057236,0.110363975,0.003934608,0.22688006,0.20575602,-0.104295544,-0.011735915,-0.03506688,-0.07092387,-0.28034925,0.043263752,-0.12313665,0.11882981,-0.090612724,0.27006707,0.023300681,-0.043233477,-0.38824743,-0.08558472,0.10362209,0.014576141,0.16935849,0.14183918
2018-12-09,-0.06560677,-0.17710556,0.19104758,-0.26684827,0.0062821754,0.07592713,0.25798666,-0.052476138,-0.43597758,-0.12252583,-0.22563173,-0.118532784,-0.1666791,0.10440615,0.23898733,-0.006007578,0.16723114,-0.09933219,0.12705585,-0.23888926,0.13114838,-0.06435405,0.358481,0.18412589,0.020304022,-0.051365066,0.07182789,0.021337021,0.08238221,0.108169764,0.19674817,-0.1506511,0.049288563,0.020710208,-0.052443136,-0.13896716,0.15955186,-0.06122148,-0.15105239,0.15681823,-0.46649182,0.0226892,-0.006222415,0.07009974,0.014023713,-0.27405116,0.08009112,0.14780734,0.019002924,0.064311996,-0.018994574,-0.26035255,-0.021276504,0.12651281,-0.24556969,-0.13616997,-0.04754797,0.30844647,0.022221321,0.09157559,-0.02357279,0.0016671463,0.04215666,0.060473904,0.17913899,0.12643474,0.077502914,0.24980268,0.36873242,-0.09858693,0.024076201,-1.8208682e-05,-0.17727412,0.07735735,-0.45100704,0.43767762,0.18663305,0.03500888,0.09812024,-0.008939539,0.21958579,0.19728146,-0.083854124,-0.015370123,-0.022225898,-0.0703815,-0.27027482,0.040975742,-0.11667335,0.12925978,-0.08370391,0.26071376,0.045131758,-0.044452872,-0.38161317,-0.08422193,0.08372098,0.009253285,0.16798355,0.14956424
2018-12-10,-0.061020877,-0.17721783,0.17813356,-0.28291532,0.0033863045,0.07145066,0.2850254,-0.025839677,-0.4444558,-0.09796584,-0.24219193,-0.1108512,-0.16465901,0.08913599,0.23261954,-0.00073956366,0.13473485,-0.09081194,0.11876303,-0.23021773,0.15461774,-0.06488213,0.36597195,0.1938226,0.04425932,-0.05516707,0.06633804,0.018892255,0.09351627,0.12697616,0.1918324,-0.17020798,0.060734488,0.025288548,-0.051061727,-0.14228867,0.17037322,-0.056301393,-0.15431103,0.1557392,-0.49280608,0.03168387,0.002543231,0.043126088,0.026617214,-0.26888588,0.08141821,0.14084056,0.008853477,0.07002475,-0.0232965,-0.26921204,-0.028181648,0.14227654,-0.2716989,-0.13531435,-0.039827343,0.30553848,0.021220693,0.09649822,-0.016081123,0.00085904525,0.047571443,0.05866127,0.18463035,0.11906841,0.05356637,0.2662026,0.36084417,-0.10456922,0.041802958,0.008391985,-0.18995911,0.05689083,-0.45193,0.46365908,0.18990374,0.032263722,0.109455444,0.011237866,0.23665777,0.19949113,-0.10457928,0.0024794736,-0.0240479,-0.058545012,-0.25828364,0.023142643,-0.12938625,0.13914812,-0.088300325,0.26672274,0.048258565,-0.05055301,-0.37989515,-0.087081596,0.09555578,0.01591076,0.16669998,0.14398967
2018-12-11,-0.0559208,-0.17009981,0.19119817,-0.2496404,0.011148687,0.0777134,0.26303807,-0.04797148,-0.43285328,-0.1149364,-0.22468264,-0.11761011,-0.17257506,0.106829025,0.23668575,0.00906984,0.15701032,-0.09273809,0.12576702,-0.2517391,0.12427488,-0.06009468,0.35834575,0.16672626,0.015112553,-0.05094574,0.05399563,0.025888722,0.075948186,0.108334,0.19123937,-0.15949215,0.045295995,0.015613333,-0.045988075,-0.13275522,0.14866284,-0.05295389,-0.15065682,0.15210137,-0.45515108,0.023816105,-0.014299657,0.06454085,0.024461541,-0.27224872,0.073410235,0.15369184,0.029859846,0.06978882,-0.031062264,-0.25840396,-0.027075112,0.12510282,-0.23445727,-0.1359619,-0.05855111,0.3048209,0.014035166,0.08970789,-0.009577734,0.0024493109,0.040525664,0.06713923,0.18844944,0.13232273,0.070090786,0.24597582,0.3785254,-0.10043032,0.013758922,-0.0018466382,-0.17526972,0.077418916,-0.4541827,0.43885052,0.18829247,0.044387892,0.09111554,-0.014006996,0.21559583,0.19076788,-0.08596173,-0.0068426393,-0.024316281,-0.06510147,-0.27786103,0.05431593,-0.112174995,0.12309543,-0.09174584,0.2648856,0.043810688,-0.047587298,-0.37481618,-0.08271732,0.08343243,0.018421084,0.1627299,0.13478345
2018-12-12,-0.07062109,-0.17783079,0.18741247,-0.29889095,-0.005171587,0.06516641,0.29052663,-0.026350122,-0.4353193,-0.10043179,-0.24486038,-0.13638286,-0.15623474,0.0776597,0.24046664,-0.013079613,0.13540412,-0.100915864,0.12836389,-0.2174973,0.15860039,-0.06755872,0.36674276,0.20984621,0.03528425,-0.04344699,0.06814147,0.0056116204,0.09318381,0.13760136,0.20477688,-0.15172932,0.05523176,0.0246588,-0.045055483,-0.14054452,0.16193359,-0.06283004,-0.16235332,0.14905624,-0.4944674,0.023475856,0.016574843,0.039367594,0.030977866,-0.27922887,0.074676745,0.13219272,0.016344033,0.07136914,-0.021292904,-0.2671261,-0.035057947,0.14028461,-0.28647575,-0.13289693,-0.022409664,0.31324255,0.009893429,0.10869085,-0.016155023,0.0060262787,0.052280936,0.051232353,0.19054273,0.11606447,0.030985441,0.27127537,0.36136708,-0.10277951,0.049697526,0.016156256,-0.19635335,0.04403741,-0.43881303,0.46996793,0.18619001,0.029811226,0.11060762,0.018629517,0.24904591,0.20744425,-0.10081225,0.0030120788,-0.022822788,-0.043289244,-0.25013292,0.008478124,-0.14484875,0.12601529,-0.081942566,0.27362695,0.036548533,-0.06242835,-0.38531628,-0.09069733,0.08516487,0.013882164,0.17284353,0.14880192
2018-12-13,-0.05256445,-0.18592095,0.18108189,-0.29758742,-0.0015728299,0.070476666,0.29267594,-0.037742447,-0.4464029,-0.08717211,-0.24955055,-0.10682346,-0.15555745,0.09326482,0.23351988,-0.016526476,0.13153683,-0.0857084,0.123958856,-0.22851254,0.13267155,-0.07627124,0.36339155,0.19072737,0.047887187,-0.059437536,0.06693147,0.031093774,0.08900472,0.121880084,0.19955875,-0.15620328,0.0526548,0.028128576,-0.03596382,-0.13782267,0.16880271,-0.07618668,-0.15466389,0.1485891,-0.47363284,0.026585817,-0.0070442394,0.021015868,0.009371126,-0.26233593,0.0806196,0.15173909,0.00467569,0.06846047,-0.006097811,-0.2730964,-0.03492758,0.1365103,-0.29206195,-0.14240915,-0.029130748,0.30935052,0.012045687,0.092366084,-0.02743732,0.0031175148,0.049748026,0.060317233,0.19199854,0.119947396,0.06551628,0.26258692,0.36028838,-0.100469336,0.0349786,0.015134099,-0.18810347,0.06663799,-0.44552338,0.4592154,0.18097232,0.03537519,0.10357564,0.021224739,0.2402692,0.20061618,-0.11236722,0.0023633598,-0.024682937,-0.05484322,-0.27595356,0.018831475,-0.13002388,0.13390295,-0.08719928,0.2509337,0.03822391,-0.056588642,-0.38087806,-0.08831634,0.09094461,0.008031022,0.17042235,0.146606
2018-12-16,-0.044130486,-0.18598267,0.17472827,-0.28589812,-0.007404303,0.068480365,0.28698236,-0.030396577,-0.44876412,-0.109645344,-0.2556915,-0.12106322,-0.16466846,0.08993087,0.23303272,-0.016197236,0.1454291,-0.088238224,0.12623584,-0.23561952,0.15755442,-0.06097774,0.37851557,0.19938685,0.057580344,-0.06453123,0.069533095,0.018081184,0.10177091,0.13133326,0.20816591,-0.16285764,0.05543732,0.02524486,-0.051193323,-0.15037268,0.16175616,-0.07357763,-0.14318651,0.16684823,-0.51247203,0.041406885,-0.0009431509,0.04853055,0.023524223,-0.2773235,0.09354514,0.13806263,-0.006452511,0.06345826,0.0006582258,-0.27568918,-0.026634846,0.14581047,-0.27838162,-0.12661059,-0.043072976,0.29652762,0.028135438,0.09513189,-0.03624007,-0.0071814763,0.054148555,0.054091103,0.17529945,0.12592869,0.059216928,0.27244562,0.35530806,-0.09918301,0.029976051,0.009796416,-0.20146565,0.0688901,-0.46669286,0.45833045,0.1888247,0.024190322,0.12305016,0.02206852,0.2406483,0.19112775,-0.10168352,0.008409282,-0.021386603,-0.060178045,-0.24711077,0.013320353,-0.13008706,0.14294127,-0.09484925,0.26758248,0.045056894,-0.04896357,-0.38780135,-0.08641809,0.095164,0.007304892,0.18016097,0.15645154
