txt_pl_lem,date
""" pan mówić : „ oto nadchodzić dzień , kiedy wypełnić pomyślny zapowiedź , jaki obwieścić być dom izraelski i dom judzki . w ów dzień i w ów czas wzbudzić Dawid potomek sprawiedliwy ; być on wymierzać prawo i sprawiedliwość na ziemia . w ów dzień Juda dostąpić zbawienie , a Jerozolima być mieszkać bezpiecznie . to zaś być imię , który on być nazywać : "" "" pan nasz sprawiedliwość "" "" . do ty , pan , wznosić mój dusza dać ja poznać , twój droga , pan , nauczyć ja chodzić twój ścieżka . prowadzić ja w prawda według twój pouczenie , Bóg i zbawca , w ty mieć nadzieja . dobry być pan i prawy , dlatego wskazywać droga grzesznik . pomagać pokorny czynić dobrze , pokorny uczyć droga swoich.Wszystkie ścieżka pan być pewny i pełny łaska dla strzec on prawo i przymierze . Bóg powierzać swój zamiar ten , który się on bać , i objawiać on swój przymierze . Jezus powiedzieć do swój uczeń : „ być znak na słońce , księżyc i gwiazda , a na ziemia trwoga naród bezradny wobec szum morze i on nawałnica . człowiek mdleć być z strach , w oczekiwać wydarzenie zagrażać ziemia . albowiem moc niebiosa zostać wstrząsnąć . wtedy ujrzeć syn człowieczy , przychodzić na obłok z wielki moc i chwała . a gdy się to dziać zacząć , nabrać duch i podnieść głowa , ponieważ zbliżać się wasz odkupienie . uważać na siebie , aby wasz serce nie być ociężały wskutek obżarstwo , pijaństwo i troska doczesny , żeby ten dzień nie przypaść na wy znienacka jak potrzask . przyjść on bowiem na wszyscy , który mieszkać na cały ziemia . czuwać więc i modlić się w każdy czas , abyście móc uniknąć ten wszystko , co mieć nastąpić , i stanąć przed syn człowieczy ” . "" ",2018-12-02
""" w ów dzień odrośl pan stać się ozdoba i chwała , a owoc ziemia przepych i krasa dla ocalały z Izrael . i być tak : ten , kto pozostać żywy na Syjon , i który się ostać w Jeruzalem , każdy być nazwać święty i wpisać do księga życie w Jeruzalem . gdy pan obmyć brud córa syjoński i krew rozlany oczyścić wewnątrz Jeruzalem tchnienie sąd i tchnienie pożoga , wtedy pan przyjść spocząć na cały przestrzeń Góra Syjon i na ten , który się tam zgromadzić , w dno jako obłok z dym , w noc jako olśniewający płomień ogień . albowiem nad wszystko Chwał pan być osłona i namiot , by za dzień dać cień przed skwar , ucieczka zaś i schronienie przed nawałnica i ulewa . iść z radość na spotkanie pan ucieszyć być się , gdy ja powiedzieć : „ pójść do dom pan ” . już stać nasz stopa w twój brama , Jeruzalem.Tam wstępować pokolenie pański , aby zgodnie z prawo wielbić imię pan . tam ustawić tron sędziowski , tron dom Dawida.Pro być o pokój dla Jeruzalem : niech żyć w pokój , który ty miłować . niech pokój panować w twój mur , a pomyślność w twój pałac . z wzgląd na brat mój i przyjaciel być wołać : „ Pokój z ty . z wzgląd na dom Pan , Bóg nasz , modlić się o dobro dla ty . gdy Jezus wejść do Kafarnaum , zwrócić się do on setnik i prosić on , mówić : „ pan , sługa mój leżeć w dom sparaliżować i bardzo cierpieć ” . rzec on Jezus : „ przyjść i uzdrowić on ” . lecz setnik odpowiedzieć : „ pan , nie być godny , abyś wejść pod dach mój , ale powiedzieć tylko słowo , a mój sługa odzyskać zdrowie . bo i ja , choć podlegać władza , mieć pod siebie żołnierz . mówić temu : "" "" iść "" "" , a iść ; drugi : "" "" chodzić tu "" "" , a przychodzić ; a sługa : "" "" zrobić to "" "" , a robić ” . gdy Jezus to usłyszeć , zdziwić się i rzec do ten , który iść za on : „ zaprawdę powiadać wy : u nikt w Izrael nie znaleźć być tak wielki wiara . lecz powiadać wy : wiele przyjść z wschód i zachód i zasiąść do stół z Abraham , Izaak i Jakub w królestwo niebieski ” . "" ",2018-12-03
""" wyrosnąć różdżka z pień Jesse , wypuścić się odrośl z on korzeń . i spocząć na on Duch Pan , duch mądrość i rozum , duch rada i męstwo , duch wiedza i bojaźń pan . upodobać siebie w bojaźń pan . nie być sądzić z pozór nie wyrokować według pogłoska ; raczej rozsądzić biedny sprawiedliwie i pokorny w kraj wydać słuszny wyrok . Rózga swój usta uderzyć gwałtownik , tchnienie swój warga uśmiercić bezbożny . sprawiedliwość być on pas na biodro , a wierność przepasać lędźwie . wtedy wilk zamieszkać wraz z baranek , pantera z koźlę razem leżeć być , cielę i lew paść się być społem i mały chłopiec być on poganiać . krowa i niedźwiedzica przestawać być przyjaźń , młody on razem być legać . lew też jak wół być jadać słoma . niemowlę igrać być na nora kobra , dziecko włożyć swój ręka do kryjówka żmija . zło czynić nie być ani zgubnie działać po cały święty mój góra , bo kraj się napełnić znajomość pan na kształt woda , który przepełniać morze . ów dzień to się stać : korzeń Jesse stać być na znak dla naród . do on lud przyjść z modlitwa , i sławny być miejsce on spoczynek . pokój zakwitnąć , kiedy pan przybyć Bóg , przekazać twój sąd król , a twój sprawiedliwość syn królewski . aby twój lud rządzić sprawiedliwie i ubogi według prawa.Za dzień on zakwitnąć sprawiedliwość i wielki pokój , aż księżyc nie zgasnąć . być panować od morze do morze , od Rzeka aż po kraniec ziemi.Wyzwoli bowiem biedaka , który on wzywać , i ubogi , co nie mieć opieka . zmiłować się nad biedny i ubogi , nędzarz ocalić od śmierć . niech on imię trwać na wiek , jak długo świecić słońce , niech trwać on imię . niech on imię wzajemnie się błogosławić , niech wszystek naród ziemia życzyć on szczęście . Jezus rozradować się w duch święty i rzec : „ wysławiać ty , ojciec , pan niebo i ziemia , że zakryć być ten rzecz przed mądry i roztropny , a objawić być on prostaczek . tak , ojciec , gdyż taki być twój upodobanie . ojciec mój przekazać ja wszystko . nikt też nie wiedzieć , kto być syn , tylko ojciec ; ani kto być ojciec , tylko syn i ten , kto syn zechcieć objawić ” . potem zwrócić się do sam uczeń i rzec : „ szczęśliwy oko , który widzieć to , co wy widzieć . bo powiadać wy : wiele prorok i król pragnąć ujrzeć to , co wy widzieć , a nie ujrzeć , i usłyszeć , co słyszeć , a nie usłyszeć ” . "" ",2018-12-04
""" w ów dzień śpiewać być ten pieśń w ziemia judzki : „ miasto mieć potężny ; on jako środek ocalenie sprawić mur i przedmurze . otworzyć brama ! niech wejść naród sprawiedliwy , dochowywać wierność ; on charakter stateczny ty kształtować w pokój , w pokój , bo ty zaufać . złożyć nadzieja w pan na zawsze , bo pan być wiekuisty skała ! bo on poniżyć przebywać na szczyt , upokorzyć miasto niedostępny , upokorzyć on aż do ziemia , sprawić , że w proch runąć . podeptać on noga , noga biedny i stopa ubogi ” . błogosławiony , iść od pan wysławiać pan , bo być dobry , bo łaska on trwać na wiek . dobrze się uciec do pan , niż pokładać ufność w człowiek . dobrze się uciec do pan , niż pokładać ufność w książę . otworzyć ja brama sprawiedliwość , wejść przez on i podziękować pan . oto być brama pan , przez on wejść sprawiedliwy . dziękować ty , żeś ja wysłuchać i stać być się mój zbawca . o Pan , ty my wybawić , o pan , dać my pomyślność . błogosławiony , który przybywać w imię pański , błogosławić wy z pański dom . pan być Bóg ! i dawać my światło . Jezus powiedzieć do swój uczeń : „ nie każdy , który Michał mówić : "" "" pan , pan "" "" , wejść do królestwo niebieski , lecz ten , kto spełniać wola mój ojciec , który być w niebo . każdy więc , kto ten słowo mój słuchać i wypełniać on , można porównać z człowiek roztropny , który dom swój zbudować na skala . spaść deszcz , wezbrać potok , zerwać się wicher i uderzyć w ten dom . on jednak nie runąć , bo na skała być utwierdzić . każdy zaś , kto ten słowo mój słuchać , a nie wypełniać on , można porównać z człowiek nierozsądny , który dom swój zbudować na piasek . spaść deszcz , wezbrać potok , zerwać się wicher i rzucić się na ten dom . i runąć , a upadek on być wielki ” . "" ",2018-12-06
""" złożyć , Jeruzalem , szata smutek i utrapienie swój , a przywdziać wspaniały szata chwała , dać ty na zawsze przez pan . oblec się płaszcz sprawiedliwość pochodzić od Bóg , włożyć na głowa swój korona chwała przedwieczny ! albowiem Bóg chcieć pokazać twój wspaniałość wszystko , co być pod niebo . imię twój u Bóg , na wiek być nazwać : „ pokój sprawiedliwość i chwała pobożność ! ” . podnieść się , Jeruzalem ! stanąć na miejsce wysoki , spojrzeć na wschód , zobaczyć twój dziecko , zgromadzić na słowo święty od wschód słońce aż do zachód , rozradować , że Bóg o on pamiętać . wyjść od ty pieszo , pędzić przez wróg , a Bóg przyprowadzić on nieść z chwała , jakby na tron królewski . albowiem postanowić Bóg zniżyć każdy góra wysoki , pagórek odwieczny , dół zasypać do zrównać z ziemia , aby bezpiecznie móc kroczyć Izrael w chwała pan . na rozkaz pan las i drzewo pachnieć ocieniać być Izrael . z radość bowiem poprowadzić Bóg Izrael do światło swój chwała z właściwy siebie sprawiedliwość i miłosierdzie . pan Bóg uczynić wielki rzecz dla my gdy pan odmienić los Syjon , wydawać się my , że śnić . usta nasz być pełny śmiech , a język śpiewać z radość . mówić wtedy między poganin : „ wielki rzecz im pan uczynić ” . odmienić znowu nasz los , pan , jak odmieniać strumień na południe . ten , który w łza sieja , żąć być w radość . iść i płakać nieść ziarno na zasiew , lecz powrócić z radość nieść swój snop . być to w piętnasty rok rząd Tyberiusz Cezar . gdy Poncjusz Piłat być namiestnik Judea , herod tetrarcha Galilea , brat on Filip tetrarcha Iturei i kraj Trachonu , Lizaniasz tetrarcha Abileny ; za wysoki kapłan Annasz i Kajfasz skierować zostać słowo boży do Jan , syn Zachariasz , na pustynia . obchodzić więc cały okolica nad Jordan i głosić chrzest nawrócić na odpuścić grzech , jak być napisać w księga mowa prorok Izajasz : „ głos wołać na pustynia : przygotować droga Pan , prostować ścieżka dla on ; każdy dolina niech być wypełnić , każdy góra i pagórek zrównać , droga kręty niech stać się prosty , a wyboisty droga gładki . i wszystek człowiek ujrzeć zbawienie Bóg ” . "" ",2018-12-09
""" niech się rozweselić pustynia i spiec ziemia , niech się radować step i niech rozkwitnąć ! niech wydać kwiat jak lilia polny , niech się rozradować także skakać i wykrzykiwać z uciecha . Chwała Liban on obdarzyć , ozdoba karmel i saron . on zobaczyć chwała Pan , wspaniałość nasz Bóg . pokrzepić ręka osłabły , wzmocnić kolano omdlały ! powiedzieć małoduszny : "" "" odwaga ! nie bać się ! oto wasz Bóg , oto pomsta ; przychodzić boży odpłata ; on sam przychodzić , aby wy zbawić . wtedy przejrzeć oko niewidomy i ucho głuchy się otworzyć . wtedy chromy wyskoczyć jak jeleń i język niemy wesoło krzyknąć . bo trysnąć zdrój woda na pustynia i strumień na step ; spiec ziemia zmienić się w staw , spragniony kraj w krynica woda , badyl w kryjówka , gdzie legać szakali , na trzcina z sitowie . być tam drogi czysty , który nazwa droga święty . nie przejść on nieczysty , gdy odbywać podróż , i głupi nie być się tam wałęsać . nie być tam lew , ni zwierz dziki nie wstąpić na on ani się nie znaleźć , ale tamtędy pójść wyzwolony i odkupić przez pan powrócić . przybyć na Syjon z radosny śpiew , z szczęście wieczny na twarz . osiągnąć radość i szczęście , ustąpić smutek i wzdychać . oto Bóg przyjść , ażeby my zbawić być słuchać to , co mówić pan Bóg : oto ogłaszać pokój lud i święty swój . zaprawdę bliski być on zbawienie dla ten , który się on bać , i chwała zamieszkać w nasz ziemi.Spotkaj ą się z siebie łaska i wierność , ucałować się sprawiedliwość i pokój . wierność z ziemia wyrosnąć , a sprawiedliwość spojrzeć z nieba.Pan sam obdarzyć szczęście , a nasz ziemia wydać swój owoc . przed on kroczyć być sprawiedliwość , a ślad on krok zbawienie . pewien dzień , gdy Jezus nauczać , siedzieć przy to faryzeusz i uczony w prawo , który przyjść z wszystek miejscowość Galilea , Judea i Jerozolima . a być w on moc pański , że móc uzdrawiać . wtem jakiś człowiek nieść na łoże człowiek , który być sparaliżować , starać się on wnieść i położyć przed on . nie móc z powód tłum w żaden sposób przynieść on , wyjść na płaski dach i przez powała spuścić on wraz z łoże w sam środek przed Jezus . on widzieć on wiara , rzec : „ człowiek , odpuszczać ty się twój grzech ” . na to uczony w pismo i faryzeusz począć się zastanawiać i mówić : „ któż on być , że śmieć mówić bluźnierstwo ? któż móc odpuszczać grzech prócz sam Bóg ? ” lecz Jezus przejrzeć on myśl i rzec do on : „ co za myśl nurtować w serce wasz ? cóż być łatwo powiedzieć : "" "" odpuszczać ty się twój grzech "" "" , czy powiedzieć : "" "" wstać i chodzić ? "" "" lecz abyście wiedzieć , że syn człowieczy mieć na ziemia władza odpuszczanie grzech ” — rzec do sparaliżować : „ mówić ty , wstać , wziąć swój łoże i iść do dom ” . i natychmiast wstać wobec on , wziąć łoże , na który leżeć , i pójść do dom , wielbić Bóg . "" ",2018-12-10
""" „ pocieszyć , pocieszyć mój lud ! ” mówić wasz Bóg . „ przemawiać do serce Jeruzalem i wołać do on , że czas on służba się skończyć , że nieprawość on odpokutować , bo odebrać z ręka pan kara w dwójnasób za wszystek swój grzech ” . głos się rozlegać : „ przygotować na pustynia droga dla pan , wyrównać na pustkowie gościniec nasz Bóg ! niech się podnieść wszystek dolina , a wszystek góra i wzgórze obniżyć ; równina niechaj się stanąć urwisko , a stromy zbocze nizina gładki . wtedy się chwała pan objawić , zobaczyć on wszelki ciało , bo powiedzieć to usta pan ” . głos się odzywać : „ wołać ! ” — i rzec być : co mieć wołać ? — „ wszelki ciało to jakby trawa , a cały wdzięk on być niby kwiat polny . trawa usychać , więdnąć kwiat , gdy na on wiatr pan powiać . prawdziwie trawa być naród . trawa usychać , więdnąć kwiat , lecz słowo Bóg nasz trwać na wiek ” . Wstąpże na wysoki góra , zwiastunka dobry nowina w Syjona ! podnieść mocno twój głos , zwiastunka dobry nowina w Jeruzalem ! podnieść głos , nie bać się ! powiedzieć miasto judzki : „ oto wasz Bóg ! ” oto pan , Bóg , przychodzić z moc i ramię on dzierżyć władza . oto on nagroda z on iść i przed on on zapłata . podobnie pasterz paść swój trzoda , gromadzić on swój ramię , jagnię nosić na swój pierś , owca karmić prowadzić łagodnie . oto nasz pan Bóg przyjść z wielki moc śpiewać pan pieśń nowy , śpiewać pan ziemia cały . śpiewać pan , sławić on imię , każdy dzień głosić on zbawienie . głosić on chwała wśród wszystek naród , rozgłaszać cud pośród wszystek lud . głosić wśród lud , że pan być król , być sprawiedliwie sądzić wszystek ludy.Niech się radować niebiosa i ziemia weselić , niech szumieć morze i wszystko , co on napełniać . niech się cieszyć pole i wszystko , co na on rosnąć , niech wszystek drzewo w las wykrzykiwać z radość . przed oblicze pan , który już się zbliżać , który już się zbliżać , by sądzić ziemia , on być sądzić świat sprawiedliwie , a lud według swój prawda . Jezus powiedzieć do swój uczeń : „ jak wy się zdawać ? jeśli kto posiadać sto owca i zabłąkać się jeden z on : czy nie zostawić dziewięćdziesiąt dziewięć na góra i nie pójść szukać ten , który się zabłąkać ? a jeśli on się udać on odnaleźć , zaprawdę powiadać wy : cieszyć się on bardzo niż dziewięćdziesiąt dziewięć ten , który się nie zabłąkać . tak też nie być wola ojciec wasz , który być w niebo , żeby zginąć jeden z ten mały ” . "" ",2018-12-11
""" „ z któż byście móc ja porównać , tak , żeby ja dorównać ? ” — mówić Święty . podnieść oko w góra i patrzeć : kto stworzyć ten gwiazda ? ten , który w szyk prowadzić on wojsko , wszystek on wołać po imię . spod taki potęga i olbrzymi siła nikt się nie uchylić . czemu mówić , Jakub , i ty , Izrael , powtarzać : „ zakryć być mój droga przed pan i prawo mój przed Bóg przeoczyć ? ” czy nie wiedzieć to ? Czyś nie słyszeć ? pan to Bóg wieczny , Stwórca kraniec ziemia . on się nie męczyć ani nie nużyć , on mądrość być niezgłębiony . on dodawać moc zmęczony i pomnażać siła omdlały . chłopiec się męczyć i nużyć , chwiać się słabnąć młodzieniec ; lecz ten , co zaufać pan , odzyskiwać siła , otrzymywać skrzydło jak orzeł ; biec bez zmęczenie , bez znużenie iść . Chwal i błogosławić , dusza mój , pan błogosławić , dusza mój , pan i wszystko , co być w ja , święty imię on . błogosławić , dusza mój , pan i nie zapominać o wszystek on dobrodziejstwach.On odpuszczać wszystek twój wina i uleczyć wszystek choroba , on twój życie ratować od zguba , obdarzać ty łaska i zmiłowanie . miłosierny być pan i łaskawy , nieskory do gniew i bardzo cierpliwy . nie postępować z my według nasz grzech ani według wina nasz my nie odpłacać . Jezus przemówić ten słowo : „ przyjść do ja wszyscy , który utrudzić i obciążyć być , a ja wy pokrzepić . wziąć mój jarzmo na siebie i uczta się od ja , bo być łagodny i pokorny serce , a znaleźć ukojenie dla dusza wasz . albowiem jarzmo mój być słodki , a mój brzemię lekki ” . "" ",2018-12-12
""" ja , twój Bóg , ująć być ty za prawica mówić ty : „ nie lękać się , przychodzić ty z pomoc ” . nie bać się , robaczek , Jakub , nieborak , o Izrael ! ja ty wspomagać , mówić pan , odkupiciel twój , święty Izrael . oto ja przemieniać ty w młocarskie sanie , nowy , o podwójny rząd ząb : ty zmłócić i wykruszyć góra , zmienić pagórek w drobny sieczka . ty on przewiać , a wicher on porwać i trąba powietrzny rozmieść . ty natomiast rozradować się w pan , chlubić się być w święty Izrael . nędzny i biedny szukać woda , i nie mieć ! on język wyschnąć już z pragnienie . ja , pan , wysłuchać on , nie opuścić on ja , Bóg Izrael . kazać wytrysnąć strumień na nagi wzgórze i źródło woda w pośrodek nizina . zamienić pustynia na pojezierze , a wyschnąć ziemia na wodotrysk . na pustynia zasadzić cedr , akacja , mirta i oliwka ; rozkrzewić na pustkowie cyprys , wiąz i bukszpan obok siebie . ażeby widzieć i poznać , rozważyć i pojąć wszyscy , że ręka pan to uczynić , że święty Izrael to dokonać . pan być łagodny i bardzo łaskawy być ty wielbić , Bóg mój i Król , i sławić twój imię przez wszystek wiek . pan być dobry dla wszyscy , a on miłosierdzie nad wszystko , co stworzyć . niech ty wielbić , pan , wszystek twój dzieło i niech ty błogosławić twój święty . niech mówić o chwała twój królestwo i niech głosić twój potęga . aby syn ludzki oznajmić twój potęga i wspaniałość chwała twój królestwo . królestwo twój królestwo wszystek wiek , przez wszystek pokolenie twój panowanie . Jezus powiedzieć do tłum : „ zaprawdę powiadać wy : między narodzić z niewiasta nie powstać duży od Jan Chrzciciel . lecz mały w królestwo niebieski duży być niż on . a od czas Jan Chrzciciel aż dotąd królestwo niebieski doznawać gwałt i człowiek gwałtowny zdobywać on . wszystek bowiem prorok i prawo prorokować aż do Jan . a jeśli chcieć przyjąć , to on być Eliasz , który mieć przyjść . kto mieć ucho , niechaj słuchać ” . "" ",2018-12-13
""" wyśpiewywać , córa syjoński , podnieść radosny okrzyk , Izrael ! cieszyć się i weselić z cały serce , córa Jeruzalem ! pan oddalić wyrok na ty , usunąć twój nieprzyjaciel ; Król Izrael , pan , być pośród ty , już nie być bać się zły . ów dzień powiedzieć Jerozolima : „ nie bać się , Syjona ! niech nie słabnąć twój ręka ! ” . pan , twój Bóg być pośród ty , mocarz , który dawać zbawienie . on unieść się wesele nad ty , odnowić swój miłość , wznieść okrzyk radość , jak w dzień uroczysty święto . głosić z wesele , Bóg być między my oto Bóg być mój zbawienie , być mieć ufność i bać się nie być . bo pan być mój moc i pieśń , on stać się dla ja zbawieniem.Wy zaś z wesele czerpać być woda z zdrój zbawienie . chwalić pan , wzywać on imię , dać poznać on dzieło między naród , przypominać , że wspaniały być imię on . śpiewać pan , bo uczynić wzniosły rzecz , niech to być wiadomy po cały ziemia . wznosić okrzyk i wołać z radość , mieszkanko Syjon bo wielki być pośród ty , święty Izrael . gdy Jan nauczać nad Jordan , pytać on tłum : „ cóż mieć czynić ? ” . on on odpowiadać : „ kto mieć dwa suknia , niech jeden dać to , który nie mieć ; a kto mieć żywność , niech tak samo czynić ” . przychodzić także celnik , żeby przyjąć chrzest , i pytać on : „ nauczyciel , co mieć czynić ? ” . on on odpowiadać : „ nie pobierać nic dużo ponad to , ile wy wyznaczyć ” . pytać on też i żołnierz : „ a my , co mieć czynić ? ” . on on odpowiadać : „ nad nikt się nie znęcać i nikt nie uciskać , lecz poprzestawać na swój żołd ” . gdy więc lud oczekiwać z napięcie i wszyscy snuć domysł w serce co do Jan , czy nie być on Mesjasz , on tak przemówić do wszyscy : „ ja wy chrzcić woda ; lecz iść mocny od ja , który nie być godny rozwiązać rzemyk u sandał . on chrzcić wy być duch święty i ogień . mieć on wiejadło w ręka dla oczyścić swój omłot : pszenica zebrać do spichrz , a plewa spać w ogień nieugaszony ” . wiele też inny napomnienie dawać lud i głosić dobry nowina . "" ",2018-12-16
