txt_pl_lem,date
"""  mówić : „  nadchodzić dzień ,  wypełnić pomyślny zapowiedź ,  obwieścić  dom izraelski  dom judzki .   dzień    czas wzbudzić Dawid potomek sprawiedliwy ;   wymierzać prawo  sprawiedliwość  ziemia .   dzień Juda dostąpić zbawienie ,  Jerozolima  mieszkać bezpiecznie .    imię ,    nazywać : "" ""   sprawiedliwość "" "" .   ,  , wznosić  dusza dać  poznać ,  droga ,  , nauczyć  chodzić  ścieżka . prowadzić   prawda   pouczenie , Bóg  zbawca ,   mieć nadzieja . dobry    prawy ,  wskazywać droga grzesznik . pomagać pokorny czynić  , pokorny uczyć droga swoich.Wszystkie ścieżka   pewny  pełny łaska  strzec  prawo  przymierze . Bóg powierzać swój zamiar  ,    bać ,  objawiać  swój przymierze . Jezus powiedzieć  swój uczeń : „  znak  słońce , księżyc  gwiazda ,   ziemia trwoga naród bezradny wobec szum morze   nawałnica . człowiek mdleć   strach ,  oczekiwać wydarzenie zagrażać ziemia .  moc niebiosa zostać wstrząsnąć .  ujrzeć syn człowieczy , przychodzić  obłok  wielki moc  chwała .     dziać zacząć , nabrać duch  podnieść głowa ,  zbliżać   odkupienie . uważać  siebie ,   serce   ociężały wskutek obżarstwo , pijaństwo  troska doczesny ,   dzień  przypaść   znienacka  potrzask . przyjść    wszystek ,  mieszkać   ziemia . czuwać   modlić    czas , abyście móc uniknąć   ,  mieć nastąpić ,  stanąć  syn człowieczy ” . "" ",2018-12-02
"""   dzień odrośl  stać  ozdoba  chwała ,  owoc ziemia przepych  krasa  ocalały  Izrael .    :  ,  pozostać żywy  Syjona ,    ostać  Jeruzalem ,   nazwać święty  wpisać  księga życie  Jeruzalem .   obmyć brud córa syjoński  krew rozlany oczyścić wewnątrz Jeruzalem tchnienie sąd  tchnienie pożoga ,   przyjść spocząć   przestrzeń Góra Syjon    ,    zgromadzić ,  dno  obłok  dym ,  noc  olśniewający płomień ogień .    Chwał   osłona  namiot ,   dzień dać cień  skwar , ucieczka   schronienie  nawałnica  ulewa . iść  radość  spotkanie  ucieszyć   ,   powiedzieć : „ pójść  dom  ” .  stać  stopa   brama , Jeruzalem.Tam wstępować pokolenie pański ,  zgodnie  prawo wielbić imię  .  ustawić tron sędziowski , tron dom Dawida.Pro   pokój  Jeruzalem :  żyć  pokój ,   miłować .  pokój panować   mur ,  pomyślność   pałac .  wzgląd  bracia   przyjaciel  wołać : „ Pokój   .  wzgląd  dom  , Bóg  , modlić   dobro   .  Jezus wejść  Kafarnaum , zwrócić    setnik  prosić  , mówić : „  , sługa  leżeć  dom sparaliżować   cierpieć ” . rzec  Jezus : „ przyjść  uzdrowić  ” .  setnik odpowiedzieć : „  ,   godny , abyś wejść  dach  ,  powiedzieć  słowo ,   sługa odzyskać zdrowie .    ,  podlegać władza , mieć  siebie żołnierz . mówić temu : "" "" iść "" "" ,  iść ; drugi : "" "" chodzić  "" "" ,  przychodzić ;  sługa : "" "" zrobić  "" "" ,  robić ” .  Jezus  usłyszeć , zdziwić   rzec   ,  iść   : „ zaprawdę powiadać  :  nikt  Izrael  znaleźć   wielki wiara .  powiadać  :  przyjść  wschód  zachód  zasiąść  stół  Abraham , Izaak  Jakub  królestwo niebieski ” . "" ",2018-12-03
""" wyrosnąć różdżka  pień Jesse , wypuścić  odrośl   korzeń .  spocząć   duch  , duch mądrość  rozum , duch rada  męstwo , duch wiedza  bojaźń Pan . upodobać siebie  bojaźń  .   sądzić  pozór  wyrokować  pogłoska ; raczej rozsądzić biedny sprawiedliwie  pokorny  kraj wydać słuszny wyrok . Rózga swój usta uderzyć gwałtownik , tchnienie swój warga uśmiercić bezbożny . sprawiedliwość   pas  biodro ,  wierność przepasać lędźwie .  wilk zamieszkać wraz  baranek , pantera  koźlę razem leżeć  , cielę  lew paść   społem  mały chłopiec   poganiać . krowa  niedźwiedzica przestawać  przyjaźnie , młody  razem  legać . lew   wół  jadać słoma . niemowlę igrać   nora kobra , dziecko włożyć swój ręka  kryjówka żmija . zło czynić    zgubnie działać   święty  góra ,  kraj  napełnić znajomość   kształt woda ,  przepełniać morze .  dzień   stać : korzeń Jesse stać   znak  naród .   lud przyjść  modlitwa ,  sławny  miejsce  spoczynek . pokój zakwitnąć ,   przybyć Bóg , przekazać  sąd król ,   sprawiedliwość syn królewski .   lud rządzić sprawiedliwie  ubogi  prawa.Za dzień  zakwitnąć sprawiedliwość  wielki pokój ,  księżyc  zgasnąć .  panować  morze  morze ,  rzeka   kraniec ziemi.Wyzwoli  biedaka ,   wzywać ,  ubogi ,   mieć opieka . zmiłować   biedny  ubogi , nędzarz ocalić  śmierć .   imię trwać  wiek ,  długo świecić słońce ,  trwać  imię .   imię wzajemnie  błogosławić ,  wszystek naród ziemia życzyć  szczęście . Jezus rozradować   Duch święty  rzec : „ wysławiać  , ojciec ,  niebo  ziemia ,  zakryć   rzecz  mądry  roztropny ,  objawić   prostaczek .  , ojciec ,     upodobanie . ojciec  przekazać   . nikt   wiedzieć ,   syn ,  ojciec ;    ojciec ,  syn   ,  syn zechcieć objawić ” . potem zwrócić    uczeń  rzec : „ szczęśliwy oko ,  widzieć  ,   widzieć .  powiadać  :  prorok  król pragnąć ujrzeć  ,   widzieć ,   ujrzeć ,  usłyszeć ,  słyszeć ,   usłyszeć ” . "" ",2018-12-04
"""   dzień śpiewać   pieśń  ziemia judzki : „ miasto mieć potężny ;   środek ocalenie sprawić mur  przedmurze . otworzyć brama !  wejść naród sprawiedliwy , dochowywać wierność ;  charakter stateczny  kształtować  pokój ,  pokój ,   zaufać . złożyć nadzieja     ,    wiekuisty skała !   poniżyć przebywać  szczyt , upokorzyć miasto niedostępny , upokorzyć    ziemia , sprawić ,   proch runąć . podeptać  noga , noga biedny  stopa ubogi ” . błogosławiony , iść   wysławiać  ,   dobry ,  łaska  trwać  wiek .   uciec   ,  pokładać ufność  człowiek .   uciec   ,  pokładać ufność  książę . otworzyć  brama sprawiedliwość , wejść    podziękować  .   brama  ,   wejść sprawiedliwy . dziękować  , żeś  wysłuchać  stać    zbawca .  Pan ,   wybawić ,  Pan , dać  pomyślność . błogosławiony ,  przybywać  imię pański , błogosławić   pański dom .   Bóg !  dawać  światło . Jezus powiedzieć  swój uczeń : „   ,  Michał mówić : "" ""  ,  "" "" , wejść  królestwo niebieski ,   ,  spełniać wola  ojciec ,    niebo .   ,   słowo  słuchać  wypełniać  ,  porównać  człowiek roztropny ,  dom swój zbudować  skała . spaść deszcz , wezbrać potok , zerwać  wicher  uderzyć   dom .    runąć ,   skała  utwierdzić .   ,   słowo  słuchać ,   wypełniać  ,  porównać  człowiek nierozsądny ,  dom swój zbudować  piasek . spaść deszcz , wezbrać potok , zerwać  wicher  rzucić    dom .  runąć ,  upadek   wielki ” . "" ",2018-12-06
""" złożyć , Jeruzalem , szata smutek  utrapienie swój ,  przywdziać wspaniały szata chwała , dać      . oblec  płaszcz sprawiedliwość pochodzić  Bóg , włożyć  głowa swój korona chwała przedwieczny !  Bóg chcieć pokazać  wspaniałość  ,    niebo . imię   Bóg ,  wiek  nazwać : „ pokój sprawiedliwość  chwała pobożność ! ” . podnieść  , Jeruzalem ! stanąć  miejsce wysoki , spojrzeć  wschód , zobaczyć  dziecko , zgromadzić  słowo święty  wschód słońce   zachód , rozradować ,  Bóg   pamiętać . wyjść   pieszo , pędzić  wróg ,  Bóg przyprowadzić  nieść  chwała ,   tron królewski .  postanowić Bóg zniżyć  góra wysoki , pagórek odwieczny , dół zasypać  zrównać  ziemia ,  bezpiecznie móc kroczyć Izrael  chwała  .  rozkaz  las  drzewo pachnieć ocieniać  Izrael .  radość  poprowadzić Bóg Izrael  światło swój chwała  właściwy siebie sprawiedliwość  miłosierdzie .  Bóg uczynić wielki rzecz     odmienić los Syjon , wydawać   ,  śnić . usta   pełny śmiech ,  język śpiewać  radość . mówić   poganin : „ wielki rzecz   uczynić ” . odmienić   los ,  ,  odmieniać strumień  południe .  ,   łza sieja , żąć   radość . iść  płakać nieść ziarno  zasiew ,  powrócić  radość nieść swój snop .    piętnasty rok rząd Tyberiusz Cezar .  Poncjusz Piłat  namiestnik Judea , herod tetrarcha Galilea , brat  Filip tetrarcha Iturei  kraj Trachonu , Lizaniasz tetrarcha Abileny ;  wysoki kapłan Annasz  Kajfasz skierować zostać słowo boży  Jan , syn Zachariasz ,  pustynia . obchodzić   okolica  Jordan  głosić chrzest nawrócić  odpuścić grzech ,   napisać  księga mowa prorok Izajasz : „ głos wołać  pustynia : przygotować droga Pan , prostować ścieżka   ;  dolina   wypełnić ,  góra  pagórek zrównać , droga kręty  stać  prosty ,  wyboisty droga gładki .  wszystek człowiek ujrzeć zbawienie Bóg ” . "" ",2018-12-09
"""   rozweselić pustynia  spiec ziemia ,   radować step   rozkwitnąć !  wydać kwiat  lilia polny ,   rozradować  skakać  wykrzykiwać  uciecha . chwała Liban  obdarzyć , ozdoba karmel  saron .  zobaczyć chwała Pan , wspaniałość  Bóg . pokrzepić ręka osłabły , wzmocnić kolano omdlały ! powiedzieć małoduszny : "" "" odwaga !  bać  !   Bóg ,  pomsta ; przychodzić boży odpłata ;   przychodzić ,   zbawić .  przejrzeć oko niewidomy  ucho głuchy  otworzyć .  chromy wyskoczyć  jeleń  język niemy wesoło krzyknąć .  trysnąć zdrój woda  pustynia  strumień  step ; spiec ziemia zmienić   staw , spragniony kraj  krynica woda , badyl  kryjówka ,  legać szakali ,  trzcina  sitowie .   drogi czysty ,  nazwa drogi Święta .  przejść  nieczysty ,  odbywać podróż ,  głupi     wałęsać .    lew , ni zwierz dziki  wstąpić      znaleźć ,  tamtędy pójść wyzwolony  odkupić   powrócić . przybyć  Syjon  radosny śpiew ,  szczęście wieczny  twarz . osiągnąć radość  szczęście , ustąpić smutek  wzdychać .  Bóg przyjść , ażeby  zbawić  słuchać  ,  mówić  Bóg :  ogłaszać pokój lud  święty swój . zaprawdę bliski   zbawienie   ,    bać ,  chwała zamieszka   ziemi.Spotkaj ą   siebie łaska  wierność , ucałować  sprawiedliwość  pokój . wierność  ziemia wyrosnąć ,  sprawiedliwość spojrzeć  nieba.Pan  obdarzyć szczęście ,   ziemia wydać swój owoc .   kroczyć  sprawiedliwość ,  ślad  krok zbawienie . pewien dzień ,  Jezus nauczać , siedzieć   faryzeusz  uczony  prawo ,  przyjść  wszystek miejscowość Galilea , Judea  Jerozolima .     moc pański ,  móc uzdrawiać . wtem  człowiek nieść  łoże człowiek ,   sparaliżować , starać   wnieść  położyć   .  móc  powód tłum    przynieść  , wyjść  płaski dach   powała spuścić  wraz  łoże   środek  Jezus .  widzieć  wiara , rzec : „ człowiek , odpuszczać    grzech ” .   uczony  pismo  faryzeusz począć  zastanawiać  mówić : „ któż   ,  śmieć mówić bluźnierstwo ? któż móc odpuszczać grzech prócz  Bóg ? ”  Jezus przejrzeć  myśl  rzec   : „   myśleć nurtować  serce  ?   łatwo powiedzieć : "" "" odpuszczać    grzech "" "" ,  powiedzieć : "" "" wstać  chodzić ? "" ""  abyście wiedzieć ,  syn człowieczy mieć  ziemia władza odpuszczać grzech ” — rzec  sparaliżować : „ mówić  , wstać , wziąć swój łoże  iść  dom ” .   wstać wobec  , wziąć łoże ,   leżeć ,  pójść  dom , wielbić Bóg . "" ",2018-12-10
""" „ pocieszyć , pocieszyć  lud ! ” mówić  Bóg . „ przemawiać  serce Jeruzalem  wołać   ,  czas  służba  skończyć ,  nieprawość  odpokutować ,  odebrać  ręka  kara  dwójnasób  wszystek swój grzech ” . głos  rozlegać : „ przygotować  pustynia droga   , wyrównać  pustkowie gościniec  Bóg !   podnieść wszystek dolina ,  wszystek góra  wzgórze obniżyć ; równina niechaj  stanąć urwisko ,  stromy zbocze nizina gładki .   chwała  objawić , zobaczyć  wszelki ciało ,  powiedzieć  usta Pan ” . głos  odzywać : „ wołać ! ” —  rzec  :  mieć wołać ? — „ wszelki ciało   trawa ,   wdzięk   niby kwiat polny . trawa usychać , więdnąć kwiat ,    wiatr  powiać . prawdziwie trawa  naród . trawa usychać , więdnąć kwiat ,  słowo Bóg  trwać  wiek ” . Wstąpże  wysoki góra , zwiastunka dobry nowina  Syjona ! podnieść mocno  głos , zwiastunka dobry nowina  Jeruzalem ! podnieść głos ,  bać  ! powiedzieć miasto judzki : „   Bóg ! ”   , Bóg , przychodzić  moc  ramię  dzierżeć władza .   nagroda   iść     zapłata . podobnie pasterz paść swój trzoda , gromadzić  swój ramię , jagnię nosić  swój pierś , owca karmić prowadzić łagodnie .   Pan Bóg przyjść  wielki moc śpiewać  pieśń nowy , śpiewać  ziemia  . śpiewać  , sławić  imię ,  dzień głosić  zbawienie . głosić  chwała wśród wszystek naród , rozgłaszać cud pośród wszystek lud . głosić wśród lud ,    król ,  sprawiedliwie sądzić wszystek ludy.Niech  radować niebiosa  ziemia weselić ,  szumieć morze   ,   napełniać .   cieszyć pole   ,    rosnąć ,  wszystek drzewo  las wykrzykiwać  radość .  oblicze  ,    zbliżać ,    zbliżać ,  sądzić ziemia ,   sądzić świat sprawiedliwie ,  lud  swój prawda . Jezus powiedzieć  swój uczeń : „    zdawać ?   posiadać sto owca  zabłąkać     :   zostawić dziewięćdziesiąt dziewięć  góra   pójść szukać  ,   zabłąkać ?     udać  odnaleźć , zaprawdę powiadać  : cieszyć     dziewięćdziesiąt dziewięć  ,    zabłąkać .     wola ojciec  ,    niebo ,  zginąć    mały ” . "" ",2018-12-11
""" „  któż byście móc  porównać ,  ,   dorównać ? ” — mówić święty . podnieść oko  góra  patrzeć :  stworzyć  gwiazda ?  ,   szyk prowadzić  wojsko , wszystek  wołać  imię . spod  potęga  olbrzymi siła nikt   uchylić .  mówić , Jakub ,   , Izrael , powtarzać : „ zakryty   drogi    prawo   Bóg przeoczyć ? ”   wiedzieć  ? Czyś  słyszeć ?   Bóg wieczny , Stwórca kraniec ziemia .    męczyć   nużyć ,  mądrość  niezgłębiony .  dodawać moc zmęczony  pomnażać siła omdlały . chłopiec  męczyć  nużyć , chwiać  słabnąć młodzieniec ;   ,  zaufać  , odzyskiwać siła , otrzymywać skrzydło  orzeł ; biec  zmęczenie ,  znużenie iść . Chwal  błogosławić , dusza  ,  błogosławić , dusza  ,    ,     , święty imię  . błogosławić , dusza  ,    zapominać  wszystek  dobrodziejstwach.On odpuszczać wszystek  wina  uleczyć wszystek choroba ,   życie ratować  zguba , obdarzać  łaska  zmiłowanie . Miłosierny    łaskawy , nieskory  gniew   cierpliwy .  postępować     grzech   wina    odpłacać . Jezus przemówić  słowo : „ przyjść    ,  utrudzić  obciążyć  ,    pokrzepić . wziąć  jarzmo  siebie  uczta    ,   łagodny  pokorny serce ,  znaleźć ukojenie  dusza  .  jarzmo   słodki ,   brzemię lekki ” . "" ",2018-12-12
"""  ,  Bóg , ująć    prawica mówić  : „  lękać  , przychodzić   pomoc ” .  bać  , robaczek , Jakub , nieborak ,  Izrael !   wspomagać , mówić  , odkupiciel  , święty Izrael .   przemieniać   młocarskie sań , nowy ,  podwójny rząd ząb :  zmłócić  wykruszyć góra , zmienić pagórek  drobny sieczka .   przewiać ,  wicher  porwać  trąba powietrzny rozmieść .   rozradować    , chlubić    święty Izrael . nędzny  biedny szukać woda ,   mieć !  język wyschnąć   pragnienie .  ,  , wysłuchać  ,  opuścić   , Bóg Izrael . kazać wytrysnąć strumień  nagi wzgórze  źródło woda  pośrodek nizina . zamienić pustynia  pojezierze ,  wyschnąć ziemia  wodotrysk .  pustynia zasadzić cedr , akacja , mirta  oliwka ; rozkrzewić  pustkowie cyprys , wiąz  bukszpan  siebie . ażeby widzieć  poznać , rozważyć  pojąć  ,  ręka   uczynić ,  Święty Izrael  dokonać .   łagodny   łaskawy   wielbić , Bóg   król ,  sławić  imię  wszystek wiek .   dobry   ,   miłosierdzie   ,  stworzyć .   wielbić ,  , wszystek  dzieło    błogosławić  święty .  mówić  chwała  królestwo   głosić  potęga .  syn ludzki oznajmić  potęga  wspaniałość chwała  królestwo . królestwo  królestwo wszystek wiek ,  wszystek pokolenie  panowanie . Jezus powiedzieć  tłum : „ zaprawdę powiadać  :  narodzić  niewiasta  powstać duży  Jan Chrzciciel .  mały  królestwo niebieski duży    .   czas Jan Chrzciciel  dotąd królestwo niebieski doznawać gwałt  człowiek gwałtowny zdobywać  .   prorok  prawo prorokować   Jan .   chcieć przyjąć ,    Eliasz ,  mieć przyjść .  mieć ucho , niechaj słuchać ” . "" ",2018-12-13
""" wyśpiewywać , córa syjoński , podnieść radosny okrzyk , Izrael ! cieszyć   wesele   serce , córa Jeruzalem !  oddalić wyrok   , usunąć  nieprzyjaciel ; Król Izrael ,  ,  pośród  ,    bać  zły .  dzień powiedzieć Jerozolima : „  bać  , Syjona !   słabnąć  ręka ! ” .  ,  Bóg  pośród  , mocarz ,  dawać zbawienie .  unieść  wesele   , odnowić swój miłość , wznieść okrzyk radość ,   dzień uroczysty święto . głosić  wesele , Bóg     Bóg   zbawienie ,  mieć ufność  bać    .     moc  pieśń ,  stać    zbawieniem.Wy   wesele czerpać  woda  zdrój zbawienie . chwalić  , wzywać  imię , dać poznać  dzieło  naród , przypominać ,  wspaniały  imię  . śpiewać  ,  uczynić wzniosły rzecz ,    wiadomy   ziemia . wznosić okrzyk  wołać  radość , mieszkanko Syjon  wielki  pośród  , święty Izrael .  Jan nauczać  Jordan , pytać  tłum : „  mieć czynić ? ” .   odpowiadać : „  mieć  suknia ,   da temu ,   mieć ;   mieć żywność ,    czynić ” . przychodzić  celnik ,  przyjąć chrzest ,  pytać  : „ nauczyciel ,  mieć czynić ? ” .   odpowiadać : „  pobierać     ,   wyznaczyć ” . pytać    żołnierz : „   ,  mieć czynić ? ” .   odpowiadać : „  nikt   znęcać  nikt  uciskać ,  poprzestawać  swój żołd ” .   lud oczekiwać  napięcie   snuć domysł  serce   Jan ,     mesjasz ,   przemówić   : „   chrzcić woda ;  iść mocny   ,    godny rozwiązać rzemyk  sandał .  chrzcić   Duch święty  ogień . mieć  wiejadło  ręka  oczyścić swój omłot : pszenica zebrać  spichrz ,  plew spać  ogień nieugaszony ” .    napomnienie dawać lud  głosić dobry nowina . "" ",2018-12-16
