txt_pl_lem,date
"""Pan mówić: „ nadchodzić dzień,  wypełnić pomyślny zapowiedź,  obwieścić dom izraelski  dom judzki.  ow dzień   ow czas wzbudzić Dawid potomek sprawiedliwy;   wymierzać prawo  sprawiedliwość  Ziemia.  ow dzień Juda dostąpić zbawienie,  Jerozolima  mieszkać bezpiecznie.    imię,    nazywać: """"Pan  sprawiedliwość"""".  , Pan, wznosić  dusza dać  poznać,  droga, Pan, nauczyć  chodzić  ścieżka. prowadzić   prawda   pouczenie, bóg  zbawca,   mieć Nadzieja.dobry  Pan  prawy,  wskazywać droga grzesznik. pomagać pokorny czynić , pokorny uczyć droga swój.wszystek ścieżka Pan  pewien  pełny łaska  strzec  prawo  przymierze. bóg powierzać swój zamiar ,    bać,  objawiać  swój przymierze. Jezus powiedzieć  swój uczeń: „ znak  słońce, Księżyc  gwiazda,   Ziemia trwoga naród bezradny wobec szum morze   nawałnica. człowiek mdleć   strach,  oczekiwać wydarzenie zagrażać Ziemia.  moc niebiosa zostać wstrząsnąć.  ujrzeć syn człowieczy, przychodzić  obłok  wielki moc  chwała.     dziać zacząć, nabrać duch  podnieść głowa,  zbliżać   odkupienie. uważać  siebie,   serce   ociężały wskutek obżarstwo, pijaństwo  troska doczesny,   dzień  przypaść   znienacka  potrzask. przyjść    wszystek,  mieszkać   Ziemia. czuwać   modlić    czas,  móc uniknąć  , CO mieć nastąpić,  stanąć  syn człowieczy”."" ",2018-12-02
""" ow dzień odrośl Pan stanąć  ozdoba  chwała,  owoc Ziemia przepych  krasa  ocalały  Izrael.   : ,  pozostać żywy  Syjon,    ostać  Jeruzalem,   nazwać święty  wpisać  księga życie  Jeruzalem.  Pan obmyć brud córa syjoński  krew rozlany oczyścić wewnątrz Jeruzalem tchnienie sąd  tchnienie pożoga,  Pan przyjść spocząć   przestrzeń góra Syjon   ,    zgromadzić,  dno  obłok  dym,  noc  olśniewający płomień ogień.   wszystek chwała Pan  osłona  namiot,   dzień dać cień  skwar, ucieczka   schronienie  nawałnica  ulewa. iść  radość  spotkanie Pan ucieszyć ,   powiedzieć: „pójść  dom Pan”.  stać  stopa   bram, Jeruzalem. wstępować pokolenie pański,  zgodnie  prawo wielbić imię Pan.  ustawić tron sędziowski, tron dom Dawid.prosić  pokój  Jeruzalem:  żyć  pokój,   miłować.  pokój panować   mur,  pomyślność   pałac. wzgląd  brat   przyjaciel  wołać: „pokój  .  wzgląd  dom Pan, bóg , modlić   dobro  .  Jezus wejść  Kafarnaum, zwrócić    setnik  prosić , mówić: „Pan, sługa  leżeć  dom sparaliżować   cierpieć”. rzec  Jezus: „przyjść  uzdrowić ”.  setnik odpowiedzieć: „Pan,   godny,  wejść  dach ,  powiedzieć  słowo,   sługa odzyskać zdrowie.   ,  podlegać władza, mieć  siebie żołnierz. mówić temu: """"iść"""",  iść; drugi: """"chodzić """",  przychodzić;  sługa: """"zrobić """",  robić”.  Jezus  usłyszeć, zdziwić   rzec  ,  iść  : „zaprawdę powiadać :  nikt  Izrael  znaleźć  wielki wiara.  powiadać :  przyjść  wschód  zachód  zasiąść  stół  Abraham, Izaak  Jakub  królestwo niebieski”."" ",2018-12-03
"""wyrosnąć różdżka  pień jessego, wypuścić  odrośl   korzeń.  spocząć   duch Pan, duch mądrość  rozum, duch rada  męstwo, duch wiedza  bojaźń Pan. upodobać siebie  bojaźń Pan.   sądzić  pozór ni wyrokować  pogłoska; raczy rozsądzić biedny sprawiedliwie  pokorny  kraj wydać słuszny wyrok. rózga swój usta uderzyć gwałtownik, tchnienie swój warga uśmiercić bezbożny. sprawiedliwość   pas  biodro,  wierność przepasać lędźwie.  wilk zamieszkać wraz  baranek, pantera  koźlę razem leżeć , cielę  Lew paść   społem  mały chłopiec   poganiać. krowa  niedźwiedzica przestawać  przyjaźnie, młody  razem  legać. Lew   wół  jadać słoma. niemowlę igrać   Nora kobra, dziecko włożyć swój ręka  kryjówka żmija. zło czynić    zgubnie działać   święty  góra,  kraj  napełnić znajomość Pan  kształt woda,  przepełniać morze. ow dzień   stanąć: korzeń jessego stać   znak  naród.   lud przyjść  modlitwa,  sławny  miejsce  spoczynek. pokój zakwitnąć,  Pan przybyć bóg, przekazać  sąd Król,   sprawiedliwość syn królewski.   lud rządzić sprawiedliwie  ubogi  prawo. dzień  zakwitnąć sprawiedliwość  wielki pokój,  Księżyc  zgasnąć.  panować  morze  morze,  rzeka   kraniec Ziemia.wyzwolić  biedak,   wzywać,  ubogi, CO  mieć opieka. zmiłować   biedny  ubogi, nędzarz ocalić  śmierć.  imię trwać  wiek,  długo świecić słońce,  trwać  imię.   imienie wzajemnie  błogosławić,  wszystek naród Ziemia życzyć  szczęście. Jezus rozradować   duch święty  rzec: „wysławiać , ojciec, Pan niebo  Ziemia,  zakryć  rzecz  mądry  roztropny,  objawić  prostaczek. , ojciec,     upodobanie. ojciec  przekazać  . nikt   wiedzieć,   syn,  ojciec;    ojciec,  syn  ,  syn zechcieć objawić”. potem zwrócić    uczeń  rzec: „szczęśliwy oko,  widzieć , CO  widzieć.  powiadać :  prorok  Król pragnąć ujrzeć , CO  widzieć,   ujrzeć,  usłyszeć, CO słyszeć,   usłyszeć”."" ",2018-12-04
"""  dzień śpiewać   pieśń  Ziemia judzki: „miasto mieć potężny;   środek ocaleć sprawić mur  przedmur. otworzyć bram!  wejść naród sprawiedliwy, dochowywać wierność;  charakter stateczny  kształtować  pokój,  pokój,   zaufać. złożyć Nadzieja    ,  Pan  wiekuisty skała!   poniżyć przebywać  szczyt, upokorzyć miasto niedostępny, upokorzyć    Ziemia, sprawić,   proch runąć. podeptać  noga, noga biedny  stopa ubogi”. błogosławiony, iść  Pan wysławiać Pan,   dobry,  łaska  trwać  wiek.   uciec  Pan,  pokładać ufność  człowiek.   uciec  Pan,  pokładać ufność  książę.otworzyć  brama sprawiedliwość, wejść    podziękować .   brama Pan,   wejść sprawiedliwy. dziękować , żeś  wysłuchać  stać   zbawca. Pan,   wybawić,  Pan, dać  pomyślność. błogosławiony,  przybywać  imię pański, błogosławić   pański dom. Pan  bóg!  dawać  światło. Jezus powiedzieć  swój uczeń: „ ,   mówić: """"Pan, Pan"""", wejść  królestwo niebieski,  ,  spełniać wola  ojciec,    niebo.  ,   słowo  słuchać  wypełniać ,  porównać  człowiek roztropny,  dom swój zbudować  skała. spaść deszcz, wezbrać potok, zerwać  wicher  uderzyć   dom.    runąć,   skała  utwierdzić.  ,   słowo  słuchać,   wypełniać ,  porównać  człowiek nierozsądny,  dom swój zbudować  piasek. spaść deszcz, wezbrać potok, zerwać  wicher  rzucić    dom.  runąć,  upadek   wielki”."" ",2018-12-06
"""złoże, Jeruzalem, szata smutek  utrapienie swój,  przywdziać wspaniały szata chwała, dana     Pan. oblec  płaszcz sprawiedliwość pochodzić  bóg, włożyć  głowa swój korona chwała przedwieczny!  bóg chcieć pokazać  wspaniałość , CO   niebo. imię   bóg,  wiek  nazwać: „pokój sprawiedliwość  chwała pobożność!”. podnieść , Jeruzalem! stanąć  miejsce wysoki, spojrzeć  wschód, zobaczyć  dziecko, zgromadzić  słowo święty  wschód słońce   zachód, rozradowany,  bóg   pamiętać. wyjść   pieszo, pędzić  wróg,  bóg przyprowadzić  nieść  chwała,   tron królewski.  postanowić bóg zniżyć  góra wysoki, pagórek odwieczny, dół zasypać  zrównać  Ziemia,  bezpiecznie móc kroczyć Izrael  chwała Pan.  rozkaz Pan lasa  drzewo pachnieć ocieniać  Izrael.  radość  poprowadzić bóg Izrael  światło swój chwała  właściwy siebie sprawiedliwość  miłosierdzie. Pan bóg uczynić wielki rzecz    Pan odmienić los Syjon, wydawać  ,  śnić. usta   pełny śmiech,  język śpiewać  radość.mówić   pogan: „wielki rzecz  Pan uczynić”. odmienić   los, Pan,  odmieniać strumień  południe.,   łza siać, żąć   radość. iść  płakać nieść ziarno  zasiew,  powrócić  radość nieść swój snop.    piętnasty rok rząd Tyberiusz Cezar.  Poncjusz Piłat  namiestnik Judea, Herod tetrarcha Galilea, brat  Filip tetrarcha iturei  kraj trachonu, lizaniasz tetrarcha abileny;  wysoki kapłan Annasz  Kajfasz skierować zostać słowo boży  Jan, syn Zachariasz,  pustynia. obchodzić   okolica  Jordan  głosić chrzest nawrócić  odpuścić grzech,   napisać  księga mowa prorok Izajasz: „głos wołać  pustynia: przygotować droga , prostować ścieżka  ;  dolina   wypełnić,  góra  pagórek zrównać, droga kręty  stanąć  prosty,  wyboisty droga gładki.  wszystek człowiek ujrzeć zbawienie bóg”."" ",2018-12-09
"""  rozweselić pustynia  spiec Ziemia,   radować step   rozkwitnąć!  wydać kwiat  Lilia polny,   rozradować  skakać  wykrzykiwać  uciecha. chwała Liban  obdarzyć, ozdoba karmel  saron.  zobaczyć chwała Pan, wspaniałość  bóg. pokrzepić ręka osłabły, wzmocnić kolano omdlały!powiedzieć małoduszny: """"odwaga!  bać !   bóg,  pomsta; przychodzić boży odpłata;   przychodzić,   zbawić.  przejrzeć oko niewidomy  ucho głuchy  otworzyć.  chromy wyskoczyć  jeleń  język niemy wesoło krzyknąć.  trysnąć zdrój woda  pustynia  strumień  step; spiec Ziemia zmienić   staw, spragniony kraj  Krynica woda, badyl  kryjówka,  legać szakal,  trzcina  sitowie.   droga czysty,  nazwać droga święty.  przejść  nieczysty,  odbywać podróż,  głupi     wałęsać.    Lew, ni zwierz dziki  wstąpić      znajść,  tamtędy pójść wyzwolony  odkupić  Pan powrócić. przybyć  Syjon  radosny śpiew,  szczęście wieczny  twarz. osiągnąć radość  szczęście, ustąpić smutek  wzdychać.  bóg przyjść, ażeby  zbawić  słuchać , CO mówić Pan bóg:  ogłaszać pokój lud  święty swój. zaprawdę bliski   zbawienie  ,    bać,  chwała zamieszkać   Ziemia.spotkać   siebie łaska  wierność, ucałować  sprawiedliwość  pokój. wierność  Ziemia wyrosnąć,  sprawiedliwość spojrzeć  niebo.Pan  obdarzyć szczęście,   Ziemia wydać swój owoc.   kroczyć  sprawiedliwość,  ślad  krok zbawienie. pewien dzień,  Jezus nauczać, siedzieć   faryzeusz  uczony  prawo,  przyjść  wszystek miejscowość Galilea, Judea  Jerozolima.     moc pański,  móc uzdrawiać.wtem  człowiek nieść  łoże człowiek,   sparaliżować, starać   wnieść  położyć  .  móc  powód tłum    przynieść , wyjść  płaski dach   powała spuścić  wraz  łoże   środek  Jezus.  widzieć  wiara, rzec: „człowiek, odpuszczać    grzech”.   uczony  pismo  faryzeusz począć  zastanawiać  mówić: „któż  ,  śmieć mówić bluźnierstwo? któż móc odpuszczać grzech prócz  bóg?”  Jezus przejrzeć  myśl  rzec  : „CO  myśl nurtować  serce ?   łatwie powiedzieć: """"odpuszczać    grzech"""",  powiedzieć: """"wstać  chodzić?""""   wiedzieć,  syn człowieczy mieć  Ziemia władza odpuszczać grzech” — rzec  sparaliżować: „mówić , wstać, wziąć swój łoże  iść  dom”.   wstać wobec , wziąć łoże,   leżeć,  pójść  dom, wielbić bóg."" ",2018-12-10
"""„pocieszyć, pocieszyć  lud!” mówić  bóg. „przemawiać  serce Jeruzalem  wołać  ,  czas  służba  skończyć,  nieprawość  odpokutować,  odebrać  ręka Pan kara  dwójnasób  wszystek swój grzech”. głos  rozlegać: „przygotować  pustynia droga  Pan, wyrównać  pustkowie gościniec  bóg!   podnieść wszystek dolina,  wszystek góra  wzgórze obniżyć; równina niechaj  stanąć urwisko,  stromy zbocze nizina gładki.   chwała Pan objawić, zobaczyć  wszelki ciało,  powiedzieć  usta Pan”. głos  odzywać: „wołać!” —  rzec: CO mieć wołać? — „wszelki ciało   trawa,   wdzięk   niby kwiat polny. trawa usychać, więdnąć kwiat,    wiatr Pan powiać. prawdziwie trawa  naród. trawa usychać, więdnąć kwiat,  słowo bóg  trwać  wiek”. wstąpże  wysoki góra, zwiastunka dobry nowina  Syjon! podnieść mocno  głos, zwiastunka dobry nowina  Jeruzalem! podnieść głos,  bać ! powiedzieć miasto judzki: „  bóg!”  Pan, bóg, przychodzić  moc  ramię  dzierżeć władza.   nagroda   iść     zapłata. podobnie pasterz pas swój trzoda, gromadzić  swój ramię, jagnię nosić  swój pierś, owca karmić prowadzić łagodnie.   Pan bóg przyjść  wielki moc śpiewać  pieśń nowy, śpiewać  Ziemia . śpiewać , Sławcio  imię,  dzień głosić  zbawienie.głosić  chwała wśród wszystek naród, rozgłaszać cud pośród wszystek lud. głosić wśród lud,  Pan  Król,  sprawiedliwie sądzić wszystek lud.  radować niebiosa  Ziemia wesoły,  szumieć morze  , CO  napełniać.   ciesać Pol  , CO   rosnąć,  wszystek drzewo  las wykrzykiwać  radość. oblicze Pan,    zbliżać,    zbliżać,  sądzić Ziemia,   sądzić Świat sprawiedliwie,  lud  swój prawda. Jezus powiedzieć  swój uczeń: „   zdawać?   posiadać sto owca  zabłąkać    :   zostawić dziewięćdziesiąt dziewięć  góra   pójść szukać ,   zabłąkać?     udać  odnaleźć, zaprawdę powiadać  : cieszyć     dziewięćdziesiąt dziewięć ,    zabłąkać.     wola ojciec ,    niebo,  zginąć    mały”."" ",2018-12-11
"""„ któż  móc  porównać, ,   dorównać?” — mówić święty. podnieść oko  góra  patrzeć:  stworzyć  gwiazda? ,   szyk prowadzić  wojsko, wszystek  wołać  imienie. spod  potęga  olbrzymi siła nikt   uchylić.  mówić, Jakub,  , Izrael, powtarzać: „zakryty   droga  Pan  prawo   bóg przeoczyć?”   wiedzieć ? czyś  słyszeć? Pan  bóg wieczny, stwórca kraniec Ziemia.    męczyć   nużyć,  mądrość  niezgłębiony.  dodawać moc zmęczony  pomnażać siła omdlały. chłopiec  męczyć  nuża, chwiać  słabnąć młodzieniec;  ,  zaufać , odzyskiwać siła, otrzymywać skrzydło  orzeł; biec  zmęczenie,  znużenie iść. chwalić  błogosławić, dusza , Pan błogosławić, dusza , Pan  , CO   , święty imię . błogosławić, dusza , Pan   zapominać  wszystek  dobrodziejstwo. odpuszczać wszystek  wina  uleczyć wszystek choroba,   życie ratować  zguba, obdarzać  łaska  zmiłowanie.miłosierny  Pan  łaskawy, nieskory  gniew   cierpliwy.  postępować     grzech   wina    odpłacać. Jezus przemówić  słowo: „przyjść   wszystek,  utrudzić  obciążyć ,    pokrzepić. wziąć  jarzmo  siebie  uczyć   ,   łagodny  pokorny serce,  znajść ukojenie  dusza wasi.  jarzmo   słodki,   brzemię lekki”."" ",2018-12-12
""",  bóg, ująć   prawica mówić : „ lękać , przychodzić   pomoc”.  bać , robaczek, Jakub, nieborak,  Izrael!   wspomagać, mówić Pan, odkupiciel , święty Izrael.   przemieniać   młocarskie sanie, nowy,  podwójny rząd ząb:  zmłócić  wykruszyć góra, zmienić pagórek  drobny sieczka.   przewiać,  wicher  porwać  trąba powietrzny rozmieść.   rozradować   , chlubić    święty Izrael. nędzny  biedny szukać woda,   mieć!  język wyschnąć   pragnienie. , Pan, wysłuchać ,  opuścić  , bóg Izrael. kazać wytrysnąć strumień  nagi wzgórze  źródło woda  pośrodek nizina. zamienić pustynia  pojezierze,  wyschnąć Ziemia  wodotrysk.  pustynia zasadzić cedr, akacja, mirta  oliwka; rozkrzewić  pustkowie cyprys, wiąz  bukszpan  siebie. ażeby widzieć  poznać, rozważyć  pojąć ,  ręka Pan  uczynić,  święty Izrael  dokonać. Pan  łagodny   łaskawy   wielbić, bóg   Król,  sławić  imię  wszystek wiek. Pan  dobry  wszystek,   miłosierdzie  , CO stworzyć.  wielbić, Pan, wszystek  dzieło    błogosławić  święty.  mówić  chwała  królestwo   głosić  potęga. syn ludzki oznajmić  potęga  wspaniałość chwała  królestwo. królestwo  królestwo wszystek wiek,  wszystek pokolenie  panowanie. Jezus powiedzieć  tłum: „zaprawdę powiadać :  narodzić  niewiasta  powstać duży  Jan chrzciciel.  mały  królestwo niebieski duży   .   czas Jan chrzciciel  dotąd królestwo niebieski doznawać gwałt  człowiek gwałtowny zdobywać .   prorok  prawo prorokować   Jan.   chcieć przyjąć,    Eliasz,  mieć przyjść.  mieć ucho, niechaj słuchać”."" ",2018-12-13
"""wyśpiewywać, córa syjoński, podnieść radosny okrzyk, Izrael! ciesać   wesele   serce, córa Jeruzalem! Pan oddalić wyrok  , usunąć  nieprzyjaciel; Król Izrael, Pan,  pośród ,    bać  zły. ow dzień powiedzieć Jerozolima: „ bać , Syjon!   słabnąć  ręka!”. Pan,  bóg  pośród , mocarz,  dawać zbawienie.  unieść  wesele  , odnowić swój miłość, wznieść okrzyk radość,   dzień uroczysty święto. głosić  wesele, bóg     bóg   zbawienie,  mieć ufność  bać   .  Pan   moc  pieśń,  stać    zbawienie.   wesele czerpać  woda  zdrój zbawienie. chwalić Pan, wzywać  imienie, dać poznać  dzieło  naród, przypominać,  wspaniały  imię .śpiewać ,  uczynić wzniosły rzecz,    wiadomy   Ziemia. wznosić okrzyk  wołać  radość, mieszkanko Syjon  wielki  pośród , święty Izrael.  Jan nauczać  Jordan, pytać  tłum: „ mieć czynić?”.   odpowiadać: „ mieć  suknia,   dać ,   mieć;   mieć żywność,   samo czynić”. przychodzić  celnik,  przyjąć chrzest,  pytać : „nauczyciel, CO mieć czynić?”.   odpowiadać: „ pobierać    ,   wyznaczyć”. pytać    żołnierz: „ , CO mieć czynić?”.   odpowiadać: „ nikt   znęcać  nikt  uciskać,  poprzestawać  swój żołd”.   lud oczekiwać  napięcie   snuć domysł  serce CO  Jan,     mesjasz,   przemówić  : „  chrzcić woda;  iść mocny  ,    godny rozwiązać rzemyk  sandał.  chrzcić   duch święty  ogień. mieć  wiejadło  ręka  oczyścić swój omłot: pszenica zebrać  spichrz,  plewy spać  ogień nieugaszony”.    napomnienie dawać lud  głosić dobry nowina."" ",2018-12-16
