txt_pl_lem,date
"""Pan mówić: „oto nadchodzić dzień, kiedy wypełnić pomyślny zapowiedź, jaka obwieścićbyć dom izraelski i dom judzki. w ow dzień i w owo czas wzbudzić Dawid potomek sprawiedliwy; być on wymierzać prawo i sprawiedliwość na ziemia. w ow dzień Juda dostąpić zbawienie, a Jerozolima być mieszkać bezpiecznie. to zaś być imię, który on być nazywać: """"Pan nasz sprawiedliwość"""". do ty, Pan, wznosić moja dusza dać mi poznać, twoja droga, Pan, nauczyć ja chodzić twoi ścieżek. prowadzić ja w prawda według twój pouczenie, bóg i zbawca, w ty mama nadzieja.dobry być Pan i prawy, dlatego wskazywać droga grzesznik. pomagać pokorny czynić dobrze, pokorny uczyć droga swoje.wszystek ścieżek Pan być pewne i pełny łaska dla strzec on prawy i przymierze. bóg powierzać swój zamiar tym, który się go boja, i objawiać im swoje przymierze. Jezus powiedzieć do swoje uczeń: „być znak na słońce, księżyc i gwiazda, a na ziemia trwoga naród bezradny wobec szum morze i on nawałnica. człowiek mdleć być z strach, w oczekiwanie wydarzenie zagrażać ziemia. albowiem moc niebios zostać wstrząśnięty. wtedy ujrzeć syn człowieczy, przychodzić na obłok z wielki moc i chwała. a gdy się to dziać zacząć, nabrać duch i podnieść głowa, ponieważ zbliżać się wacha odkupienie. uważać na siebie, aby wacha serce nie były ociężały wskutek obżarstwo, pijaństwo i troska doczesny, żeby ten dzienia nie przypaść na wy znienacka jak potrzask. przyjść on bowiem na wszyscy, który mieszkać na cały ziemia. czuwać więc i modlić się w każdy czas, abybyć mogel uniknąć to wszystko, co mój nastąpić, i stanąć przed syn człowieczy”."" ",2018-12-02
"""w owo dzień odrośl Pan stan się ozdoba i chwała, a owoc ziemia przepych i krasa dla ocalały z Izrael. i być tak: ten, kto pozostać żywy na Syjon, i który się ostać w Jeruzalem, każdy być nazwać święta i wpisać do księga życie w Jeruzalem. gdy Pan obmyć brud córa syjoński i krew rozlany oczyścić wewnątrz Jeruzalem tchnienie sąd i tchnienie pożoga, wtedy Pan przyjść spocząć na cały przestrzeń góra Syjon i na ten, który się tam zgromadzić, w dna jako obłok z dym, w noc jako olśniewający płomień ogień. albowiem nad wszyscy chwała Pan być osłona i namiot, by za dzień dać cień przed skwar, ucieczka zaś i schronienie przed nawałnica i ulewa. iść z radość na spotkanie Pan ucieszyćbyć się, gdy mi powiedzieć: „pójść do dom Pan”. już stać nasze stop w twoi bram, Jeruzalem.tam wstępować pokolenie pańskie, aby zgodnie z prawo wielbić imię Pan. tam ustawić tron sędziowski, tron dom Dawid.prosić o pokój dla Jeruzalem: niech żyć w pokój, który ty miłować. niech pokój panować w twój mur, a pomyślność w twoi pałac.z wzgląd na bracia moi i przyjaciel być wołać: „pokój z ty. z wzgląd na dom Pan, bóg nasze, modlić się o dobro dla ty. gdy Jezus wejść do Kafarnaum, zwrócić się do on setnik i prosić go, mówić: „Pan, sługa mój leż w dom sparaliżować i bardzo cierpieć”. rzec on Jezus: „przyjść i uzdrowić go”. lecz setnik odpowiedzieć: „Pan, nie być godny, abybyć wejść pod dach mój, ale powiedzieć tylko słowo, a mój sługa odzyskać zdrowie. bo i ja, choć podlegać władza, mama pod siebie żołnierz. mówić temu: """"iść"""", a id; drugi: """"chodzić tu"""", a przychodzić; a sługa: """"zrób to"""", a robić”. gdy Jezus to usłyszeć, zdziwić się i rzec do ten, który szla za nim: „zaprawdę powiadać wy: u nikt w Izrael nie znaleźćbyć tak wielki wiara. lecz powiadać wy: wiele przyjść z wschód i zachód i zasiąść do stół z Abraham, Izaak i Jakub w królestwo niebieski”."" ",2018-12-03
"""wyrosnąć różdżka z pień Jessego, wypuścić się odrośl z on korzeń. i spocząć na on duch Pan, duch mądrość i rozum, duch rad i męstwo, duch wiedza i bojaźń Pan. upodobać siebie w bojaźń Pan. nie być sądzić z pozór ni wyrokować według pogłoska; raczej rozsądzić biedny sprawiedliwie i pokorny w kraj wydać słuszny wyrok. rózga swoje usta uderzyć gwałtownik, tchnienie swoje warga uśmiercić bezbożny. sprawiedliwość być on pas na biodro, a wierność przepasać lędźwie. wtedy wilk zamieszka wraz z baranek, pantera z koźlę razem leżeć być, cielę i lew paść się być społem i mały chłopiec być on poganiać. krowa i niedźwiedzica przestawać być przyjaźnie, młoda on razem być legać. Lew też jak wół być jadać słoma. niemowla igrać być na nora kobra, dziecko włożyć swój ręka do kryjówka żmija. zło czynić nie być ani zgubnie działać po cały święta mój góra, bo kraj się napełnić znajomość Pan na kształt woda, który przepełniać mor. owo dzień to się stan: korzeń Jessego stać być na znak dla naród. do on lud przyjść z modlitwa, i sławny być miejsce on spoczynek. pokój zakwitnąć, kiedy Pan przybyć bóg, przekazać twój sąd Król, a twoja sprawiedliwość syn królewski. aby twoi lud rządzić sprawiedliwie i ubogi według prawa.za dzień on zakwitnąć sprawiedliwość i wielki pokój, aż księżyc nie zgasnąć. być panować od morze do morze, od rzeka aż po kraniec ziemia.wyzwolić bowiem biedak, który go wzywać, i ubogi, co nie mój opieka. zmiłować się nad biedny i ubogi, nędzarz ocalić od śmierć.niech on imię trwać na wiek, jak długo świecić słońce, niech trwać on imię. niech on imienie wzajemnie się błogosławić, niech wszystek naród ziemia życzyć on szczęście. Jezus rozradować się w duch święta i rzec: „wysławiać ty, ojciec, Pan niebo i ziemia, że zakryćbyć te rzecz przed mądry i roztropny, a objawićbyć on prostaczek. tak, ojciec, gdyż taki być twoja upodobanie. ojciec mój przekazać mi wszystko. nikt też nie wiedzieć, kima być syn, tylko ojciec; ani kima być ojciec, tylko syn i ten, kto syn zechcieć objawić”. potem zwrócić się do sam uczeń i rzec: „szczęśliwy oko, który widzieć to, co wy widzieć. bo powiadać wy: wiele prorok i król pragnąć ujrzeć to, co wy widzieć, a nie ujrzeć, i usłyszeć, co słyszeć, a nie usłyszeć”."" ",2018-12-04
"""w ów dzienia śpiewać być ten pieśń w ziemia judzki: „miasto mama potężny; on jako środek ocalenie sprawić mur i przedmur. otworzyć bram! niech wejść naród sprawiedliwy, dochowywać wierność; on charakter stateczny ty kształtować w pokój, w pokój, bo ty zaufać. złożyć nadzieja w pan na zawsze, bo Pan być wiekuisty skała! bo on poniżyć przebywać na szczyt, upokorzyć miasto niedostępny, upokorzyć on aż do ziemia, sprawić, że w proch runąć. podeptać on noga, noga biedny i stop ubogi”. błogosławiony, iść od Pan wysławiać Pan, bo być dobry, bo łaska on trwać na wiek. dobrze się uciec do Pan, niż pokładać ufność w człowiek. dobrze się uciec do Pan, niż pokładać ufność w książę.otworzyć mi bram sprawiedliwość, wejść przez nie i podziękować pan. oto być brama Pan, przez on wejść sprawiedliwy. dziękować ty, żebyć ja wysłuchać i staćbyć się moi zbawca.o Pan, ty my wybawić, o Pan, dać my pomyślność. błogosławiony, który przybywać w imię pańskie, błogosławić wy z pańskie dom. Pan być bóg! i dawać my światło. Jezus powiedzieć do swoje uczeń: „nie każdy, który mi mówić: """"Pan, Pan"""", wejść do królestwo niebieski, lecz ten, kto spełniać wola moje ojciec, który być w niebo. każdy więc, kto ten słowo moi słuchać i wypełniać on, można porównać z człowiek roztropny, który dom swój zbudować na skala. spaść deszcz, wezbrały potok, zerwać się wicher i uderzyć w ten dom. on jednak nie runąć, bo na skala być utwierdzić. każdy zaś, kto ten słowo moi słuchać, a nie wypełniać on, można porównać z człowiek nierozsądny, który dom swój zbudować na piasek. spaść deszcz, wezbrały potok, zerwać się wicher i rzucić się na ten dom. i runąć, a upadek on być wielki”."" ",2018-12-06
"""złoże, Jeruzalem, szata smutek i utrapienie swój, a przywdziać wspaniały szata chwała, dana ci na zawsze przez Pan. oblec się płaszcz sprawiedliwość pochodzić od bóg, włożyć na głowa swój korona chwała przedwieczny! albowiem bóg chcieć pokazać twoja wspaniałość wszystko, co być pod niebo. imię twój u bóg, na wiek być nazwać: „pokój sprawiedliwość i chwała pobożność!”. podnieść się, Jeruzalem! stań na miejsce wysoki, spojrzeć na wschód, zobaczyć twój dziecko, zgromadzić na słowo święty od wschód słońce aż do zachód, rozradowany, że bóg o on pamiętać. wyjść od ty pieszo, pędzić przez wróg, a bóg przyprowadzić on nieść z chwała, jakby na tron królewski. albowiem postanowić bóg zniżyć każdy góra wysoki, pagórek odwieczny, doły zasypać do zrównać z ziemia, aby bezpiecznie móc kroczyć Izrael w chwała Pan. na rozkaz Pan las i drzewo pachnący ocieniać być Izrael. z radość bowiem poprowadzić bóg Izrael do światła swój chwała z właściwy siebie sprawiedliwość i miłosierdzie. Pan bóg uczynić wielki rzecz dla my gdy Pan odmienić los Syjon, wydawać się my, że śnić. usta nasze były pełny śmiech, a język śpiewać z radość.mówić wtedy między pogan: „wielki rzecz im Pan uczynić”. odmienić znowu nasz los, Pan, jak odmieniać strumień na południe.ci, który w łza sieja, żąć być w radość. Ida i płakać nieść ziarno na zasiew, lecz powrócić z radość nieść swoje snop. być to w piętnasta rok rząd Tyberiusz Cezar. gdy Poncjusz Piłat być namiestnik Judea, Herod tetrarcha Galilea, brat on Filip tetrarcha Iturei i kraj Trachonu, Lizaniasz tetrarcha Abileny; za najwyższy kapłan Annasz i Kajfasz skierować zostać słowo bóg do Jan, syn Zachariasz, na pustynia. obchodzić więc cały okolica nad Jordan i głosić chrzest nawrócenie na odpuścić grzech, jak być napisać w księga mowa prorok Izajasz: „głos wołający na pustynia: przygotować droga pan, prostować ścieżek dla on; każdy dolina niech być wypełnić, każdy góra i pagórek zrównać, droga kręty niech stanąć się prosta, a wyboisty droga gładki. i wszyscy człowiek ujrzeć zbawienie bóg”."" ",2018-12-09
"""niech się rozweselić pustynia i spiec ziemia, niech się radować step i niech rozkwitnąć! niech wydać kwiat jak lilia polny, niech się rozradować także skakać i wykrzykiwać z uciecha. chwała Liban on obdarzyć, ozdoba karmel i saron. on zobaczyć chwała Pan, wspaniałość nasze bóg. pokrzepić ręka osłabły, wzmocnić kolano omdlały!powiedzieć małoduszny: """"odwaga! nie bać się! oto wasz bóg, oto pomsta; przychodzić boży odpłata; on sam przychodzić, aby wy zbawić. wtedy przejrzeć oko niewidoma i ucho głuchy się otworzyć. wtedy chrom wyskoczyć jak jeleń i język niema wesoło krzyknąć. bo trysnąć zdrój woda na pustynia i strumień na step; spiec ziemia zmienić się w staw, spragniony kraj w krynica woda, badyl w kryjówka, gdzie legać szakal, na trzcina z sitowie. być tam droga czysta, który nazwa droga święta. nie przejść on nieczysty, gdy odbywać podróż, i głupi nie być się tam wałęsać. nie być tam lew, ni zwierz dziki nie wstąpić na on ani się nie znajda, ale tamtędy pójść wyzwolony i odkupić przez Pan powrócić. przybyć na Syjon z radosny śpiew, z szczęście wieczny na twarz. osiągnąć radość i szczęście, ustąpić smutek i wzdychać. oto bóg przyjść, ażeby my zbawić być słuchać to, co mówić Pan bóg: oto ogłaszać pokój lud i święta swoje. zaprawdę bliski być on zbawienie dla ten, który się go boja, i chwała zamieszka w nasz ziemia.spotkać się z siebie łaska i wierność, ucałować się sprawiedliwość i pokój. wierność z ziemia wyrosnąć, a sprawiedliwość spojrzeć z niebo.Pan sam obdarzyć szczęście, a nasz ziemia wydać swój owoc. przed nim kroczyć być sprawiedliwość, a ślad on krok zbawienie. pewne dzień, gdy Jezus nauczać, siedzieć przy tym faryzeusz i uczony w prawie, który przyszły z wszyscy miejscowość Galilea, Judea i Jerozolima. a była w nim moc pański, że móc uzdrawiać.wtem jakiś człowiek nieść na łoże człowiek, który być sparaliżować, starać się go wnieść i położyć przed nim. nie móc z powód tłum w żaden sposób przynieść go, wyjść na płask dach i przez powała spuścić go wraz z łoże w sam środek przed Jezus. on widzieć on wiara, rzec: „człowiek, odpuszczać ci się twoja grzech”. na to uczony w pismo i faryzeusz począć się zastanawiać i mówić: „któż on być, że śmieć mówić bluźnierstwo? któż może odpuszczać grzech prócz sam bóg?” lecz Jezus przejrzeć on myśl i rzec do on: „co za myśl nurtować w serce wasi? cóż być łatwie powiedzieć: """"odpuszczać ci się twoja grzech"""", czy powiedzieć: """"wstać i chodzić?"""" lecz abybyć wiedzieć, że syn człowieczy mój na ziemia władza odpuszczanie grzech” — rzec do sparaliżować: „mówić ci, wstać, wziąć swoje łoże i iść do dom”. i natychmiast wstać wobec on, wziąć łoże, na który leżeć, i pójść do dom, wielbić bóg."" ",2018-12-10
"""„pocieszyć, pocieszyć mój lud!” mówić wasz bóg. „przemawiać do serce Jeruzalem i wołać do on, że czas on służba się skończyć, że nieprawość on odpokutować, bo odebrać z ręka Pan kara w dwójnasób za wszystek swój grzech”. głos się rozlegać: „przygotować na pustynia droga dla Pan, wyrównać na pustkowie gościniec nasze bóg! niech się podnieść wszystek dolina, a wszystek góra i wzgórze obniżyć; równina niechaj się stanąć urwisek, a stromy zbocze nizina gładki. wtedy się chwała Pan objawić, zobaczyć on wszelki ciało, bo powiedzieć to usta Pan”. głos się odzywać: „wołać!” — i rzecbyć: co mama wołać? — „wszelki ciało to jakby trawa, a cały wdzięk on być niby kwiat polny. trawa usychać, więdnąć kwiat, gdy na nie wiatr Pan powiać. prawdziwie trawa być naród. trawa usychać, więdnąć kwiat, lecz słowo bóg nasze trwać na wiek”. wstąpić+że na wysoki góra, zwiastunka dobry nowina w Syjon! podnieść mocno twój głos, zwiastunka dobry nowina w Jeruzalem! podnieść głos, nie bój się! powiedzieć miasto judzki: „oto wasz bóg!” oto Pan, bóg, przychodzić z moc i ramia on dzierżeć władza. oto on nagroda z nim id i przed nim on zapłata. podobnie pasterz pas swój trzoda, gromadzić on swoje ramię, jagnię nosić na swój pierś, owca karmić prowadzić łagodnie. oto nasz Pan bóg przyjść z wielki moc śpiewać pan pieśń nowa, śpiewać pan ziemia cały. śpiewać pan, sławić on imię, każdy dzień głosić on zbawienie.głosić on chwała wśród wszyscy naród, rozgłaszać cud pośród wszyscy lud. głosić wśród lud, że Pan być król, być sprawiedliwie sądzić wszystek lud.niech się radować niebiosa i ziemia wesoły, niech szumieć mor i wszystko, co on napełniać. niech się ciesać pole i wszystko, co na on rośnie, niech wszystek drzewo w las wykrzykiwać z radość.przed oblicze Pan, który już się zbliżać, który już się zbliżać, by sądzić ziemia, on być sądzić świat sprawiedliwie, a lud według swój prawda. Jezus powiedzieć do swoje uczeń: „jak wy się zdawać? jeśli kto posiadać sto owca i zabłąkać się jeden z on: czy nie zostawić dziewięćdziesiąt dziewięć na góra i nie pójść szukać ten, który się zabłąkać? a jeśli on się udo on odnaleźć, zaprawdę powiadać wy : cieszyć się on bardziej niż dziewięćdziesiąt dziewięć ten, który się nie zabłąkać. tak też nie być wola ojciec wasz, który być w niebo, żeby zginąć jedno z ten mała”."" ",2018-12-11
"""„z któż bybyć mogel ja porównać, tak, żeby mi dorównać?” — mówić święty. podnieść oko w góra i patrzeć: kto stworzyć te gwiazda? ten, który w szyk prowadzić on wojsko, wszystek on wół po imienie. spod taki potęga i olbrzymio siła nikt się nie uchyl. czemu mówić, Jakub, i ty, Izrael, powtarzać: „zakryty być moja droga przed Pan i prawo mój przed bóg przeoczyć?” czy nie wiedzieć to? czybyć nie słyszeć? Pan to bóg wieczny, stwórca kraniec ziemia. on się nie męczyć ani nie nuża, on mądrość być niezgłębiony. on dodawać moc zmęczony i pomnażać siła omdlały. chłopiec się męczyć i nuża, chwiać się słabnąć młodzieniec; lecz ci, co zaufały pan, odzyskiwać siła, otrzymywać skrzydło jak orzeł; biec bez zmęczenie, bez znużenie iść. chwalić i błogosławić, dusza moja, Pan błogosławić, dusza moja, Pan i wszystko, co być w ja, święta imię on. błogosławić, dusza moja, Pan i nie zapominać o wszyscy on dobrodziejstwo.on odpuszczać wszystek twoja wina i uleczyć wszystek choroba, on twoja życie ratować od zguba, obdarzać ty łaska i zmiłowanie.miłosierny być Pan i łaskawy, nieskory do gniew i bardzo cierpliwy. nie postępować z my według nasi grzech ani według wina nasi my nie odpłacać. Jezus przemówić ten słowo: „przyjść do ja wszyscy, który utrudzić i obciążyć być, a ja wy pokrzepić. wziąć moja jarzmo na siebie i uczta się od ja, bo być łagodny i pokorny serce, a znajść ukojenie dla dusz wasi. albowiem jarzmo moja być słodki, a moja brzemię lekki”."" ",2018-12-12
"""ja, twój bóg, ująćbyć ty za prawica mówić ci: „nie lękać się, przychodzić ci z pomoc”. nie bój się, robaczek, Jakub, nieborak, o Izrael! ja ty wspomagać, mówić Pan, odkupiciel twój, święty Izrael. oto ja przemieniać ty w młocarskie san, nowa, o podwójny rząd ząb: ty zmłócić i wykruszyć góra, zmienić pagórek w drobny sieczka. ty on przewiać, a wicher on porwać i trąba powietrzny rozmieść. ty natomiast rozradować się w pan, chlubić się być w święta Izrael. nędzny i biedny szukać woda, i nie mój! on język wyschnąć już z pragnienie. ja, Pan, wysłuchać on, nie opuścić on ja, bóg Izrael. kazać wytrysnąć strumień na nagi wzgórze i źródło woda w pośrodku nizina. zamienić pustynia na pojezierze, a wyschnąć ziemia na wodotrysk. na pustynia zasadzić cedr, akacja, mirt i oliwka; rozkrzewić na pustkowie cyprys, wiąz i bukszpan obok siebie. ażeby widzieć i poznać, rozważyć i pojąć wszyscy, że ręka Pan to uczynić, że święty Izrael to dokonać. Pan być łagodny i bardzo łaskawy być ty wielbić, bóg mój i Król, i sławić twoja imię przez wszystek wiek. Pan być dobry dla wszyscy, a on miłosierdzie nad wszyscy, co stworzyć.niech ty wielbić, Pan, wszystek twoja dzieło i niech ty błogosławić twoi święty. niech mówić o chwała twoje królestwo i niech głosić twoja potęga.aby syn ludzki oznajmić twoja potęga i wspaniałość chwała twoje królestwo. królestwo twoja królestwo wszyscy wiek, przez wszystek pokolenie twoja panowanie. Jezus powiedzieć do tłum: „zaprawdę powiadać wy: między narodzić z niewiasta nie powstać duży od Jan chrzciciel. lecz mały w królestwo niebieski duży być niż on. a od czas Jan chrzciciel aż dotąd królestwo niebieski doznawać gwałt i człowiek gwałtowny zdobywać on. wszyscy bowiem prorok i prawo prorokować aż do Jan. a jeśli chcieć przyjąć, to on być Eliasz, który mój przyjść. kto mój ucho, niechaj słuchać”."" ",2018-12-13
"""wyśpiewywać, córa syjoński, podnieść radosny okrzyk, Izrael! ciesać się i wesele z cały serce, córa Jeruzalem! Pan oddalić wyrok na ty, usunąć twój nieprzyjaciel; Król Izrael, Pan, być pośród ty, już nie być bać się złe. owo dzień powiedzieć Jerozolima: „nie bój się, Syjon! niech nie słabnąć twój ręka!”. Pan, twój bóg być pośród ty, mocarz, który dawać zbawienie. on unieść się wesele nad ty, odnowić swój miłość, wznieść okrzyk radość, jak w dzień uroczysty święta. głosić z wesele, bóg być między my oto bóg być moi zbawienie, być miał ufność i bać się nie być. bo Pan być moja moc i pieśń, on stać się dla ja zbawienie.wy zaś z wesele czerpać być woda z zdrój zbawienie. chwalić Pan, wzywać on imienie, dać poznać on dzieło między naród, przypominać, że wspaniały być imię on.śpiewać pan, bo uczynić wzniosły rzecz, niech to być wiadomy po cały ziemia. wznosić okrzyk i wołać z radość, mieszkanka Syjon bo wielki być pośród ty, święty Izrael. gdy Jan nauczać nad Jordan, pytać go tłum: „cóż mama czynić?”. on im odpowiadać: „kto mój dwa suknia, niech jeden dać temu, który nie mój; a kto mój żywność, niech tak samo czynić”. przychodzić także celnik, żeby przyjąć chrzest, i pytać go: „nauczyciel, co mama czynić?”. on im odpowiadać: „nie pobierać nic dużo ponad to, ile wy wyznaczyć”. pytać go też i żołnierz: „a my, co mama czynić?”. on im odpowiadać: „nad nikt się nie znęcać i nikt nie uciskać, lecz poprzestawać na swoje żołd”. gdy więc lud oczekiwać z napięcie i wszyscy snuć domysł w serce co do Jan, czy nie być on Mesjasz, on tak przemówić do wszyscy: „ja wy chrzcić woda; lecz id mocny od ja, który nie być godny rozwiązać rzemyk u sandał. on chrzcić wy być duch święta i ogień. mój on wiejadło w ręka dla oczyszczenie swój omłot: pszenica zebrać do spichrz, a plew spać w ogień nieugaszony”. wiele też inny napomnienie dawać lud i głosić dobry nowina."" ",2018-12-16
