dayID,date,title,title_tokenized,title_cleaned
1,2018-12-20,Roraty,['roraty'],roraty
1,2018-12-20,Archanioł Boży Gabriel,"['archanioł', 'boży', 'gabriel']",archanioł boży gabriel
1,2018-12-20,Oto Pan Bóg przyjdzie,"['oto', 'pan', 'bóg', 'przyjdzie']",oto pan bóg przyjdzie
1,2018-12-20,Chleb niebiański,"['chleb', 'niebiański']",chleb niebiański
1,2018-12-20,Dzielmy się wiarą jak chlebem,"['dzielmy', 'się', 'wiarą', 'jak', 'chlebem']",dzielmy się wiarą jak chlebem
1,2018-12-20,Wielbię Cię,"['wielbię', 'cię']",wielbię cię
1,2018-12-20,Oczekuję Ciebie Panie,"['oczekuję', 'ciebie', 'panie']",oczekuję ciebie panie
2,2018-12-19,Marana tha,"['marana', 'tha']",marana tha
2,2018-12-19,Bo góry mogą ustąpić,"['bo', 'góry', 'mogą', 'ustąpić']",bo góry mogą ustąpić
2,2018-12-19,Chrystus Pan karmi nas ,"['chrystus', 'pan', 'karmi', 'nas']",chrystus pan karmi nas
2,2018-12-19,Każdy spragniony,"['każdy', 'spragniony']",każdy spragniony
2,2018-12-19,"Mój Jezu, mój Zbawco","['mój', 'jezu', 'mój', 'zbawco']",mój jezu mój zbawco
3,2018-12-18,Roraty,['roraty'],roraty
3,2018-12-18,Archanioł Boży Gabriel,"['archanioł', 'boży', 'gabriel']",archanioł boży gabriel
3,2018-12-18,Za nami wstawiaj się Maryjo,"['za', 'nami', 'wstawiaj', 'się', 'maryjo']",za nami wstawiaj się maryjo
3,2018-12-18,Emmanuel,['emmanuel'],emmanuel
3,2018-12-18,Nie mądrość świata tego (Marana Tha Niemagotu),"['nie', 'mądrość', 'świata', 'tego', 'marana', 'tha', 'niemagotu']",nie mądrość świata tego marana tha niemagotu
3,2018-12-18,Mario czy już wiesz,"['mario', 'czy', 'już', 'wiesz']",mario czy już wiesz
4,2018-12-16,Roraty,['roraty'],roraty
4,2018-12-16,Cała Ziemio wołaj,"['cała', 'ziemio', 'wołaj']",cała ziemio wołaj
4,2018-12-16,Pan blisko jest ,"['pan', 'blisko', 'jest']",pan blisko jest
4,2018-12-16,Kto spragniony jest,"['kto', 'spragniony', 'jest']",kto spragniony jest
4,2018-12-16,Oto Pan Bóg przyjdzie,"['oto', 'pan', 'bóg', 'przyjdzie']",oto pan bóg przyjdzie
4,2018-12-16,Chwalcie Pana Niebios,"['chwalcie', 'pana', 'niebios']",chwalcie pana niebios
4,2018-12-16,Archanioł Boży Gabriel,"['archanioł', 'boży', 'gabriel']",archanioł boży gabriel
4,2018-12-16,Zdrowaś bądź Maryja,"['zdrowaś', 'bądź', 'maryja']",zdrowaś bądź maryja
5,2018-12-13,Roraty,['roraty'],roraty
5,2018-12-13,Radujcie się,"['radujcie', 'się']",radujcie się
5,2018-12-13,W swoim wielkim (Pieśń o nadziei),"['w', 'swoim', 'wielkim', 'pieśń', 'o', 'nadziei']",w swoim wielkim pieśń o nadziei
5,2018-12-13,Skosztujcie i zobaczcie,"['skosztujcie', 'i', 'zobaczcie']",skosztujcie i zobaczcie
5,2018-12-13,"Boże mój, Boże szukam Ciebie","['boże', 'mój', 'boże', 'szukam', 'ciebie']",boże mój boże szukam ciebie
5,2018-12-13,Chwała Ojcu,"['chwała', 'ojcu']",chwała ojcu
5,2018-12-13,Wielbię Cię,"['wielbię', 'cię']",wielbię cię
6,2018-12-12,Roraty,['roraty'],roraty
6,2018-12-12,W naszych ciemnościach,"['w', 'naszych', 'ciemnościach']",w naszych ciemnościach
6,2018-12-12,"O Jezu, cichy i pokorny","['o', 'jezu', 'cichy', 'i', 'pokorny']",o jezu cichy i pokorny
6,2018-12-12,Hymn Etiopski (Chleb niebiański),"['hymn', 'etiopski', 'chleb', 'niebiański']",hymn etiopski chleb niebiański
6,2018-12-12,Dzielmy się wiarą jak chlebem,"['dzielmy', 'się', 'wiarą', 'jak', 'chlebem']",dzielmy się wiarą jak chlebem
6,2018-12-12,Niepojęty,['niepojęty'],niepojęty
6,2018-12-12,Ukaż mi Panie swą twarz,"['ukaż', 'mi', 'panie', 'swą', 'twarz']",ukaż mi panie swą twarz
7,2018-12-11,Roraty,['roraty'],roraty
7,2018-12-11,"Pan blisko jest, oczekuj Go","['pan', 'blisko', 'jest', 'oczekuj', 'go']",pan blisko jest oczekuj go
7,2018-12-11,Mój Pan mocą moja jest,"['mój', 'pan', 'mocą', 'moja', 'jest']",mój pan mocą moja jest
7,2018-12-11,Skosztujcie i zobaczcie,"['skosztujcie', 'i', 'zobaczcie']",skosztujcie i zobaczcie
7,2018-12-11,To On nasz Pan i Król,"['to', 'on', 'nasz', 'pan', 'i', 'król']",to on nasz pan i król
7,2018-12-11,"Przyjdź Jezu, przyjdź","['przyjdź', 'jezu', 'przyjdź']",przyjdź jezu przyjdź
7,2018-12-11,Jak dobrze jest dziękować Ci,"['jak', 'dobrze', 'jest', 'dziękować', 'ci']",jak dobrze jest dziękować ci
8,2018-12-10,Roraty,['roraty'],roraty
8,2018-12-10,Przywołaj mnie Panie (mów do mego serca),"['przywołaj', 'mnie', 'panie', 'mów', 'do', 'mego', 'serca']",przywołaj mnie panie mów do mego serca
8,2018-12-10,Stoisz u naszych drzwi,"['stoisz', 'u', 'naszych', 'drzwi']",stoisz u naszych drzwi
8,2018-12-10,Błogosławione jest Imię Twe,"['błogosławione', 'jest', 'imię', 'twe']",błogosławione jest imię twe
8,2018-12-10,Mario czy już wiesz,"['mario', 'czy', 'już', 'wiesz']",mario czy już wiesz
8,2018-12-10,Duszo ma Pana chwal,"['duszo', 'ma', 'pana', 'chwal']",duszo ma pana chwal
9,2018-12-09,"Marana Tha, przyjdź Jezu Panie","['marana', 'tha', 'przyjdź', 'jezu', 'panie']",marana tha przyjdź jezu panie
9,2018-12-09,"Blisko, blisko","['blisko', 'blisko']",blisko blisko
