,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
abba ojcze,-0.7668945,0.382765,-0.25823405,0.88799137,-0.30305737,1.1579869,-1.419241,-0.979147,-0.90722233,0.16352919,-0.9662328,-0.4949567,1.4226816,1.3015559,0.02899773,1.1918198,0.72195005,0.71067876,0.17651436,0.8011579,-0.09351934,-0.9898544,0.2117152,0.044394545,0.96581584,0.0756303,-0.20637567,-0.96295935,0.12160482,-0.15316178,1.1626241,-0.55330867,-1.6112238,-0.17797995,0.13560215,0.2668915,1.0296024,1.7535679,-0.22505566,-0.81644714,0.49673167,-0.9928998,-0.8231428,-0.6491552,-0.28640398,-0.99902403,0.3435715,-0.15089004,-1.5076406,-0.6229915,0.30316386,-0.70606863,-0.18769613,0.3233756,-0.13813624,0.35015652,-1.1459876,-0.11608196,-0.4500808,-0.2665892,0.9360476,-0.123015836,0.10747792,-1.1120783,0.18512186,0.62822735,-1.6212553,0.045948353,0.62176895,-0.17797272,-1.044602,1.3947297,-0.9304908,0.5384454,-1.4131879,0.95421857,-0.19329965,0.6276081,0.87679046,-0.37876073,0.29627424,1.2507187,1.3761036,-0.9053365,2.3810992,0.4174356,0.25975254,-0.01217063,-0.7520572,-0.2793422,-1.0576831,0.097684845,-2.385427,-0.7603301,0.94272393,0.54333365,1.7100075,0.39407232,-0.97966963,-0.5115936
alleluja niech zabrzmi panu,-0.088166706,0.29466948,0.45068812,0.0674325,-0.5593636,-0.11895651,-1.304861,-0.04461951,-0.4328713,0.059567776,-1.5634546,-0.07437425,0.40921757,-0.82259774,-0.47675034,0.73566645,0.8629053,0.624221,-0.3523827,-0.029114451,0.59948653,-1.2336882,-1.2313745,0.1403035,0.4611285,-0.48158833,0.84260434,-0.9824816,-0.3145471,0.32438487,1.3870336,-0.12696092,-0.8736751,0.506032,0.6070786,0.620236,0.17642082,1.6294236,-0.73362035,-0.045104615,0.9880589,-0.2727299,0.02045079,-0.56423736,-0.47227663,-2.0231738,0.7772232,-0.2122291,-1.7241774,-0.7407108,-0.5296018,-0.40083873,-0.24237403,0.4283451,0.5204849,-0.3321804,-0.58229244,-0.9817254,-0.3577697,-0.8134596,0.5516531,-0.11057503,-0.3427568,-0.36339447,0.98501045,0.48799875,-0.90019375,0.3656819,0.80810755,-1.1460246,-0.1517809,0.7463308,-0.28357542,0.71213245,-0.7244504,0.35504362,-0.5047853,0.96998554,-0.4270165,0.022169441,1.3285109,1.3869019,0.61837596,-0.6429255,1.0643111,-0.56829107,-0.660054,-0.06058685,0.019884476,1.2009572,-0.49482355,-0.6598359,-1.0872937,0.4835757,1.2013243,0.89987445,1.0521638,0.6782859,-1.2007892,0.7921997
alleluja alleluja amen amen alleluja,-0.78584456,0.49491325,-1.812437,0.59129107,-1.6774768,-0.4631873,-3.017728,-1.1454399,-0.8462451,-0.25916418,-2.6140313,-0.4305434,1.048227,-0.6166087,-0.46443295,0.059165258,1.2267168,1.1994306,-1.096809,0.5746924,-0.9582069,-2.7160385,-1.1116751,0.3751346,1.0812372,0.49953684,-0.033567917,0.3917018,1.2809147,-0.19468832,1.0647286,0.5194959,-1.2558184,0.44622517,-0.073381595,0.12550634,0.38331017,1.864055,-0.26674274,-0.8529062,1.4330086,-0.6874866,-1.3191322,-0.9466254,-1.0236124,-2.5171754,0.48057115,-0.032883603,-0.8091736,-0.16512518,0.14850457,-0.0942434,1.0309616,-0.2995939,0.21006887,0.7593557,-1.031161,-1.5012611,0.044577215,-0.98687285,0.0690855,1.1416677,-0.6975736,-1.2592636,0.37412688,0.8255785,-1.4239615,-1.144651,0.95649046,-0.60307664,-0.66631687,1.3057597,-1.2380836,0.2549946,-0.74221516,0.542026,0.17292637,0.36180282,-1.5425102,-0.8861243,1.1425673,0.51141375,1.0712324,-0.57177895,1.5977284,-0.42657557,-0.36350623,0.72173816,0.63538545,-0.006352087,-1.5742081,-0.79751056,-0.8256559,-0.047918063,0.9458353,2.5274713,0.62448066,-0.14254509,-1.797448,-0.64071655
blisko blisko blisko jesteś,-0.010223456,0.5758408,-0.51370937,1.1767206,-0.6598929,-0.009517157,-1.7689726,0.05035264,-0.5160918,-0.79740083,-1.9402742,-0.9733387,-0.053204227,0.31504375,-0.08091445,0.23213856,0.96868247,0.7935694,-0.2600603,-0.46946463,0.28005725,-0.7865454,-0.4821547,-0.10967157,0.79113513,-1.028564,0.74008673,0.0055968165,0.42167234,-0.1258992,0.10374339,-0.12410067,0.16136388,0.18679914,0.4219028,-0.16210477,-0.1135926,2.3407426,-0.5161322,-0.71214926,0.74590814,0.0025598765,-0.09524627,-0.18889572,0.27619934,-1.2775886,0.09119326,0.8389494,-0.34743485,-0.296568,-0.40999824,-0.324799,0.8348793,0.6241238,0.7081599,-0.15715021,-0.811327,0.008696372,0.6142035,-0.3538607,-0.023216695,0.5707747,-1.7199408,-0.5042423,0.86125195,0.80249816,-1.0585514,-1.0655246,0.8920008,0.32604456,-1.8171974,0.46811524,-1.052297,-0.011898613,-0.70373625,0.35726178,0.120312855,-0.636061,-0.7174399,-0.6792241,0.97176456,0.95226324,1.2252567,-0.3325315,1.4118187,-1.0660826,-0.39975697,-0.1783435,-0.050617825,-0.0012171268,-1.5011591,-1.0194681,-1.1577336,-0.4864499,1.331196,2.3887508,0.5647036,0.52223307,-1.9301548,-0.035652444
bo góry mogą ustąpić,-0.365468,-0.119304866,-0.5319385,0.66261584,-0.4820958,-0.056227755,-1.3143916,-0.024528522,-0.86894137,-0.10331149,-2.0530047,-0.38887358,0.6110439,-0.0064747124,0.09619054,0.5251,1.339198,0.98141766,-0.62748677,-0.05217329,0.050880972,-1.4533716,-0.5762598,0.31466606,0.69395375,-0.2732853,0.4156133,0.11536904,0.5924508,0.56766236,0.79961205,0.07785939,-0.6156046,0.14660743,0.6973167,-0.19643651,-0.25202024,1.5322834,-0.7333687,-0.12151757,1.0272034,-1.230722,0.060884926,-0.43450177,-0.7179401,-1.5797946,0.6639091,-0.48427916,-1.5153453,-0.45415404,-0.06676829,-0.45818207,0.71009773,0.40655354,0.16267146,0.31903827,-0.8325945,-0.3755451,-0.1569488,-0.529044,0.22140199,0.4906454,-0.6335893,-0.8530365,0.19661084,0.5299681,-1.3452488,-0.2855159,1.1186395,-0.1749189,-0.9075003,1.0172733,-0.5487087,0.088494115,-0.7015599,0.46814254,0.043466877,0.45381346,-0.18441287,-0.66847587,0.62142736,1.2345513,0.9463162,-0.35231572,1.6109478,-0.3130102,-0.42081797,0.39095533,-0.098106496,0.63282764,-0.5024025,-0.46745956,-1.0574046,0.39482138,0.75366324,1.1926079,1.1055163,0.43068895,-1.8189949,0.037853763
bo jak śmierć potężna jest miłość,-0.87351537,-0.32757175,0.50977653,-0.0041199373,-1.402365,0.57610506,-1.3437915,0.269097,-0.21908544,-0.26077235,-1.5179963,-0.21829939,-0.44112667,-0.2961629,-0.013464423,0.9033639,1.5380547,1.215763,-0.8792683,0.035862926,0.101993605,-0.9967061,-1.7536864,-0.183599,0.7911117,0.58882743,0.53825,-0.056611683,0.103461385,0.43403193,1.1891485,-0.8319491,-0.8159918,0.72981447,1.1294073,-0.20979078,-0.3383317,1.5213392,-0.30182907,0.2515093,1.0776618,-0.34102505,0.521998,-0.021511517,-1.2755843,-1.45772,1.1711763,-0.46538517,-2.0300202,-0.7882284,-0.04176029,0.6394034,0.4542008,0.32259098,0.70463884,0.61674935,-0.71990573,-1.4237983,0.16510484,-1.2984257,0.06329058,0.52495295,-1.0137796,-0.32201388,0.084107526,0.54728806,-0.8963715,0.1286493,1.4053816,-0.8707189,-0.026002573,0.7375736,-1.2760876,1.6835046,-0.25321636,0.5748569,-0.52263236,1.419455,-0.44207904,-0.28210565,0.7631627,1.082937,1.3373557,-0.7069645,0.87221587,-0.72237194,-0.5406137,0.011177384,0.87290657,0.4662246,0.40072727,-1.0206772,-0.75293267,0.73086613,1.1822805,0.39385226,0.847478,0.278691,0.075788334,-0.55790293
boże twa łaska,-0.3630024,0.01262608,0.42607045,0.392088,-0.34617668,0.2202564,-1.3105068,-0.37719488,-0.1817852,-1.1174147,-1.5563568,-0.8376218,0.37104023,-0.22102675,-0.31405926,0.69984615,1.0101726,1.1092548,-0.3043163,-0.58086133,0.19525519,-1.0116953,0.10986992,0.09340376,0.8791927,0.14951386,0.7904096,0.3729252,1.0850374,0.37612382,1.3520496,-0.5485216,-0.15364607,-0.12663591,0.7652833,-0.29325613,-0.0241544,1.5092841,-0.64331347,0.061359536,1.0963454,-0.58289725,-0.34427255,0.27429146,-0.026442623,-0.6272576,0.29106334,0.15930288,-0.7504988,-0.76046824,-0.409611,0.09125603,0.7831759,0.3840374,0.28830868,-0.08375169,-0.43140787,-0.33248675,0.35605294,-0.44011205,-0.12971167,0.46485057,-0.71228355,-1.574686,0.57582444,0.83880025,-0.89052314,0.21915665,-0.17350025,-0.3452321,0.0775073,0.4273115,-1.1382143,-0.069446616,-0.8264896,-0.26825935,0.4301609,0.0351336,-1.2922096,0.03941469,0.19729981,1.3132515,0.3924374,-0.17414396,0.61646223,-1.1719983,-0.35267547,-0.17405467,-0.09276669,0.31050304,-1.2603354,-0.4374706,-0.67024034,0.286789,1.18275,0.47514734,0.82631457,-0.28516498,-2.1116476,0.61951464
była cicha i piękna jak wiosna,-0.5324789,0.25144932,-0.49980208,1.1167763,-0.22612396,-0.29571754,-1.3997098,0.15349449,-0.14218666,-0.98011494,-1.8828915,-0.108272545,0.5046853,-0.4513156,-0.006012443,0.55392236,1.6132115,0.009210487,-0.3907978,0.22740261,0.23335181,-1.1137934,-1.5573939,0.7231425,0.71610314,-0.30266708,0.7315851,-0.32101828,0.21173741,0.5001971,0.27406722,-0.022377968,-0.7072329,-0.554741,0.1761172,0.4090862,0.22652662,1.1885839,-0.26929152,-0.40463036,1.1862265,-0.34722373,1.1772863,-0.6595583,-0.4973834,-0.93930155,0.7075666,-0.35566455,-0.9236638,-0.6964876,-0.35557732,0.1406005,0.72425014,0.7507205,0.5991712,0.46199152,-0.17680699,-0.2824743,0.12959915,-0.16556333,0.4622644,1.3088019,-0.9972086,-0.88211644,0.29855084,0.21565393,-1.992796,-0.6265493,0.8609736,0.89643,-0.5893308,0.113054745,-0.20912279,-0.7056165,-0.80072457,0.5844888,0.6918271,1.0551578,-0.30398148,-0.6982639,1.2721063,0.43665618,1.0935596,-0.10134602,1.2011427,-0.48398048,-0.75450045,-0.5190692,-0.32277673,1.1268121,-0.71702754,-0.18702877,-0.5200033,0.44244263,0.7594498,1.5517288,2.2100732,0.27505335,-1.9613763,0.10167929
bóg nasz pan,0.32583085,-1.2962567,0.15172991,1.1310537,0.36727604,-0.46762037,-1.6165434,0.62896115,-1.0647211,-0.40982795,-1.9231014,-0.6012302,0.6332051,-0.5980853,0.051687468,1.0089943,1.7382971,0.77889675,-0.5754487,-0.22397883,0.20475018,-2.4267364,-1.6688652,0.8930375,1.503721,-0.15954588,0.42938837,-0.98383313,1.1030531,0.39075258,1.3555732,-0.3704769,-0.6362413,0.3010579,0.26680136,0.22721514,0.0659456,2.5080209,-1.1088169,-0.608563,1.6045218,-0.551664,0.20544319,0.2025784,-0.44120383,-2.0476031,1.1540692,0.31121355,-1.8689839,-1.3330102,-0.6837055,0.39537397,-0.7669581,1.4443123,-0.20851843,-0.4939683,-0.37183172,-0.43020597,-0.90717566,-0.5263773,-0.3090484,-0.18435363,-0.36390936,-0.04777234,1.497277,0.22817531,-1.5927913,0.64610976,0.5037774,-0.8399447,-0.6933876,1.181976,-0.33371392,-0.15823252,-0.4827485,0.47067946,-0.08632469,1.5327635,-0.5277644,-1.4684389,0.9376446,2.4229386,0.6335985,-0.81943095,1.1977825,-0.013699472,-0.8462553,-0.24070314,0.4130146,1.1788158,-0.89472324,-0.17438264,-0.6972343,0.48476806,0.8220212,1.6642036,1.0228572,-0.47481376,-2.3717897,0.9411257
bóg tak umiłował świat,-1.2118133,0.99260724,-0.22791009,0.7778875,-0.862661,0.36504847,-1.6506075,0.20298147,-0.53558296,-1.3355671,-1.5611947,0.04507805,0.17693873,-0.28725964,-0.74360085,-0.118167974,1.6090122,-0.08915615,-0.83386314,-1.2214643,0.005871402,-0.320512,-0.97244805,-0.19262514,1.3525932,-0.26266304,0.5938939,0.73522335,0.70614123,0.013724613,0.27610973,0.16058153,0.26164252,0.22445025,0.48675874,0.02881916,-0.7395735,2.3386786,-0.44991082,-0.9272107,0.88639015,0.66496414,0.05845206,-0.41128987,-0.366508,-1.0304414,0.36034143,0.3946912,-0.5125571,-0.69245327,-0.68593675,-0.10930582,0.53718865,0.6447206,0.22158882,0.67424226,0.07544072,0.24205327,0.33612043,-0.70889854,-0.059004355,0.82049984,-1.5958197,-0.03805635,0.38793907,-0.06225331,-0.8199619,-0.9849831,0.24304986,0.78373754,-0.90728134,0.06881002,-1.2474126,0.103708506,0.18298756,0.7199069,0.73729265,-0.32138723,-1.0938896,-0.42871043,0.3227271,0.40190873,1.0307606,0.027469661,0.62726533,-0.92906016,0.39051023,0.41587803,-0.46704298,0.32333925,-0.48408726,-0.36887032,-0.5577928,0.23928283,0.6867313,1.3202015,0.9154531,0.5992501,-0.48400313,-0.56040007
