,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
abba ojcze,1.4687394,0.396465,0.28464684,0.3063437,-1.2427127,1.5382553,-0.25022927,-0.62265044,0.06952714,0.12272195,-0.4703078,-0.7976435,-1.2889353,0.9237105,-1.8526226,0.36957833,-0.76799005,-1.7840006,1.1528176,0.25606307,-1.0894395,0.15429819,0.0918542,-0.033832613,-0.72516483,-0.020548537,-0.21530555,-0.8044768,-2.7843533,-0.7031517,1.6295574,-0.5090319,0.50627613,-0.68816644,0.35452205,0.7620028,-0.8522405,0.41695485,0.23253492,1.1531333,0.0021500513,0.899964,0.65830046,0.49002165,-0.56640744,-0.5249926,-0.40827718,-0.8643068,0.47890183,-0.33460325,-1.0597025,-0.92341405,-0.43915135,0.46642238,-0.04610371,-0.045641452,1.3157241,-0.33129257,1.5792276,0.35403612,1.2711823,1.2434663,0.77569777,-3.022401,1.1815453,0.18044646,-0.79718,-1.3829329,0.7226041,0.56530887,-0.9371987,0.044631004,0.30646238,0.26596606,0.18116044,0.7831114,-1.4068445,-1.1842512,0.3687403,0.20794868,1.3193446,0.18049422,-0.3521957,1.0853589,-1.2604368,-1.7595994,1.0817522,-0.18411474,0.87273586,-0.21172757,0.5857547,1.4419048,-0.6688,0.2114362,-0.8243503,0.85652536,-0.1399598,2.1131546,-1.0244116,1.1586571
alleluja niech zabrzmi panu,0.3323232,0.9750967,0.91630775,0.04582484,-1.1903789,0.4916078,0.72017413,-0.49753228,0.32078335,-0.22343333,-1.2600511,-1.7380061,-1.3259494,0.3373149,-0.86896986,0.16207047,0.3403128,-0.826636,0.5680173,-0.40335137,-1.4903182,0.17490228,-0.5218463,-1.6126688,-0.7868546,0.74603814,-0.0804409,-0.5208096,-1.5503603,-0.17929783,1.2215395,-0.5085538,0.09770582,-0.24167861,-0.26079518,0.00011883796,-1.2424717,0.46240538,0.8156819,-0.05667176,0.15072156,1.3219417,0.74213415,0.31700206,-1.0888153,-0.39995712,-0.39167044,0.21664937,0.426968,-0.47170994,-1.8441083,-0.8839515,-0.3713591,0.5148147,0.0055659064,0.9818859,1.406387,-0.18554729,1.4810252,0.306731,-0.10649309,0.6998097,-0.7606026,-1.1422002,1.6952165,0.21130344,0.13490853,-0.60267234,0.54623824,1.0251936,-0.84331787,-0.07607424,-0.58255327,0.84903544,0.7271836,0.43759698,-0.057869565,-0.16196407,-0.15651418,-0.48642507,0.6563427,-0.2865396,-0.090582564,0.3189515,-0.059770517,-0.47181848,0.094708264,0.6537182,0.56661963,-0.14964168,0.25660473,0.7013804,-0.6708859,0.10237777,0.112492055,-0.52016723,-0.6742708,1.6376871,-1.1971693,0.52318704
alleluja alleluja amen amen alleluja,0.8799961,2.5464811,1.4578558,0.27834168,-2.261985,0.24637215,1.7483155,-0.87598413,-1.3520006,-0.6896723,-1.5039264,-1.1558084,-0.6975279,-0.5992347,-1.3598065,0.9737068,-0.7824667,-2.5314252,1.0790265,1.5539742,-2.1611624,-0.36877164,-0.507842,-0.8820805,-0.82935476,0.9057145,0.15000291,-0.28989208,-1.4185165,-0.3296657,1.9011356,-1.0707117,0.0876851,-0.33275512,-0.089765154,-0.4335927,-2.4852107,0.32686666,2.1714857,-0.01733323,1.1687346,1.96389,-0.21836035,-0.22209369,-0.933557,-0.8293126,-0.15034324,0.18944298,0.4585978,-0.30512193,-0.29800704,-1.4221772,-0.22345036,-0.9613001,1.6101947,1.9707309,0.7477854,-0.36129954,2.2539318,0.2398868,0.74737173,0.51298887,-0.9041691,-1.1194674,1.0173676,0.7262446,-0.33941817,-0.54069275,0.13411067,1.3612608,-0.78321356,0.46174505,0.2926368,2.3618884,1.0842319,0.7441425,-0.77576774,-0.9813188,-0.8169151,0.4733708,-0.4112207,0.5358768,-0.7775566,1.0750117,-1.4644451,-1.4936811,1.5400138,0.4244349,-0.06040181,-0.4163275,0.35861447,0.7207563,-0.12860389,-0.62503314,0.89139134,1.0187122,0.1876983,0.9286892,-0.32525167,-0.3987085
blisko blisko blisko jesteś,-0.093172655,1.4040728,1.0695537,0.42186934,-0.76720446,0.5300248,0.50766337,0.07969579,-0.11508634,0.18114431,0.095937826,-0.86432904,-1.0931333,-0.90232146,0.38681167,-0.6016795,0.1286273,-1.1535051,1.3888896,0.49996108,-2.2293844,-0.1398544,-0.59278476,-0.9361286,-0.9429914,1.0360754,-0.62470293,-0.8393447,-0.77955884,-0.26618725,1.3103733,-1.15616,-0.32995427,-0.3573597,0.45496765,-0.2199898,-1.2127237,0.3029396,1.8114283,0.7516642,0.072124936,0.6582319,0.12867649,1.0453823,-0.39381927,-0.5190781,-0.85892045,-0.11413574,0.03612975,-0.33632618,-0.88157594,-0.88995534,0.1288674,-0.4306422,1.2379215,1.6109543,0.27878156,-0.3641041,1.3389703,-0.24978967,-0.16319945,-0.052304424,-0.56319416,-1.3986976,1.2032675,0.49211827,-0.20409355,-0.8387416,0.9436661,1.0516524,-0.9718232,-0.34141433,-0.36381647,0.43160707,0.6128462,-1.0538225,-1.0363485,-1.0439476,-1.0427495,1.1164609,0.21486683,0.5637835,-1.225186,1.4199626,-1.2301028,-0.5447923,1.3267392,0.27084,-0.47197467,0.029736627,0.4096635,0.2466946,-0.7303791,0.041430365,-0.109652996,0.9749049,-0.18321721,0.5071667,-1.2344689,-0.50094473
bo góry mogą ustąpić,0.7706678,1.3576598,0.7969134,0.13530879,-1.0049001,0.82382625,0.58954746,-0.5562449,-0.49918172,-0.5449701,-1.1859219,-1.2699965,-1.2645607,-0.67733246,-0.9045813,0.66932625,0.46979704,-1.3658929,0.74887043,0.28942734,-1.5226723,-0.0677125,-0.50181276,-0.59665155,-0.6397535,0.75496614,-0.43151686,-0.3238671,-1.3975466,-0.40364188,1.0464393,-1.0088912,-0.28984544,-0.61066824,0.15791148,-0.17726073,-1.1509175,0.101743154,0.8014686,0.3316193,0.5065903,1.2789035,-0.15149523,0.6776224,-0.4676553,-1.2056787,-0.7456575,-0.05117595,-0.4329134,-0.025107168,-0.78715533,-0.69275045,-0.037055854,-0.412226,0.39366576,1.3321507,0.8732577,-0.1285909,1.3834162,-0.2743467,-0.111602806,0.7515655,-0.3287207,-1.592033,0.856897,0.044917658,0.048207924,-0.8092708,1.1635063,1.0315071,-0.7188794,0.54086816,0.35397205,0.9125874,0.5936275,0.4443476,-0.9460318,-1.1312114,-0.6223215,-0.33281693,0.47072095,-0.21982779,-0.5728257,0.7775154,-0.3807682,-1.0051359,0.6840277,0.3093261,0.11370515,-0.055615213,0.66182274,0.40335473,-0.35225317,-0.063950405,-0.24037227,0.10034284,-0.34719166,1.3486288,-0.6239963,0.5129646
bo jak śmierć potężna jest miłość,1.1221306,1.6841643,0.2136221,-0.08478692,-0.8950845,0.4146021,0.20869063,-0.32883665,0.2578351,0.5866901,-1.2912844,-1.2301977,-2.3173158,0.44245464,-1.2853279,0.47251967,0.35903186,-1.0571872,0.15691832,-0.848226,-1.1426365,0.36423075,0.4686123,-0.9512221,-0.12272908,1.225701,0.07348654,-0.1423286,-0.92170805,0.6887312,1.2652937,-0.44532254,-0.5961349,0.2634426,-0.057749912,-1.1109949,-1.2950039,0.7093614,1.0077792,0.03871393,-0.2537204,1.4804281,0.13686706,-0.07408937,-0.21527028,-1.1222898,-0.12138886,-0.054678056,-0.4229252,0.3701429,-1.2224122,-1.3425218,0.27551386,-0.11505633,0.9856094,0.6047935,0.975026,-0.23434488,0.85568017,-0.34379694,-0.18316968,0.5712564,-0.79328656,-1.31014,1.5775931,0.1955966,0.55535024,-0.17166784,0.17969325,1.8874913,-0.4450119,0.5134461,-0.6416253,1.6140735,0.841569,1.8581256,-0.79704344,0.061260913,-0.31460378,-0.44471315,0.38565812,-0.25599492,0.10396429,0.12660223,-0.7782452,-0.62679505,-0.029259847,0.75415224,-0.62597096,-0.5282894,0.32238314,0.6657768,-0.21047091,0.95347303,-0.16775443,-0.22674054,0.04813917,1.4751626,-0.993174,0.3669284
boże twa łaska,0.12402473,1.3325654,0.8034318,0.9349677,-1.0591385,0.5182992,-0.63564485,0.0031447113,0.09952899,0.037743747,-0.45758557,-1.3945284,-0.45351958,-0.5637516,-0.35696128,0.78682727,0.322268,-0.6747715,0.17057852,-0.5517366,-1.6380361,0.01608834,-1.0465195,-1.2728796,-0.7197448,1.1995347,0.14804274,-0.9906088,-0.32451564,-0.14916983,0.48620254,-1.1242932,0.24755564,-0.0720256,0.35445505,0.17192744,-0.7100733,0.26263505,1.1126925,0.35527244,0.00028086902,1.3269339,-0.67484725,0.28593382,-0.20323305,-0.47594166,-0.68452054,0.5521757,0.28119946,-0.74569345,0.08049067,-0.6329511,-0.09082677,0.25823236,0.55219954,0.95646346,0.74603766,-0.14505479,1.1609285,0.011594924,-0.08504729,-0.16265225,-0.12168388,-1.7133884,0.43914366,0.021849629,0.04423856,-0.24776073,0.7392098,1.8462232,-0.5151781,0.6058773,0.16864179,1.3134891,0.35889247,-0.45465145,-0.20241943,-1.1859999,-0.47292215,0.22118023,-0.2666659,-0.5667756,-0.16837326,0.32278648,-0.647235,-0.63164234,1.259719,-0.18828802,0.1798108,0.53787285,-0.15832286,0.42771345,-0.27162287,0.65182424,0.38479525,0.28483367,-0.16874583,1.1453472,-0.906448,-0.10328915
była cicha i piękna jak wiosna,0.5621551,1.8375612,0.53319746,-0.17620076,-1.0178593,-0.1212953,0.2589229,-0.08183044,-0.2457225,-1.1918725,-1.1099979,-1.5194952,-2.092422,-0.64408153,-0.6091718,0.34117615,0.5007129,-0.66553646,0.59843326,0.18469276,-0.7889258,-0.8259093,-0.84614307,-0.5934018,-0.24724892,-0.008928469,-0.4362941,-1.1364859,-1.0710077,-0.32940322,1.3637667,-0.75840807,-0.02713957,-0.9913004,-0.1691031,0.52486545,-0.98093176,-0.2331628,0.7460994,0.118475735,0.6662733,1.1359268,0.050373025,1.3337289,0.27021435,-1.1425198,-0.5527145,0.16624081,-0.55183256,0.16532491,-0.7536713,-0.07644275,0.20173022,-0.044050224,0.2992316,1.7264191,0.74114287,-0.55190605,1.8724166,-0.004451503,0.21334434,0.32441705,-0.8317031,-1.7828397,1.1336894,-0.70372814,0.48575202,-1.2110893,1.3252915,1.5393631,0.0046244576,-0.21581043,-0.04079189,0.27927354,1.2316897,0.38972214,-0.1035977,-1.2399683,-0.9537009,1.0241615,0.9983885,0.18623276,-0.68055165,0.28386873,-0.6114317,-0.24724585,0.9057224,0.33035955,0.049452644,-0.17929742,0.16197518,0.1708328,-1.2107486,0.031126466,-0.5043832,0.04558627,0.4122847,0.6602215,-0.28383598,0.5848737
bóg nasz pan,0.38643572,1.6172934,1.0169628,0.23151374,-1.5974449,1.1804746,0.8698369,-0.26734996,0.6416883,-0.6185504,-0.80300915,-2.8097997,-1.3851974,-0.9473613,-0.60508037,0.9895226,0.9716048,-1.135273,0.5257229,-0.48945516,-2.6936517,-0.250847,-0.61917794,-0.5831285,-0.3490134,0.88905734,-0.93468076,-0.64689267,-0.9637736,-0.9880924,1.242265,-0.70911324,-0.8161212,-0.2561143,0.53120005,0.5134015,-1.2326032,0.23697957,1.3156114,-1.1511153,0.77087164,1.8490788,-1.0135006,0.73075706,-0.9684254,0.01734292,-0.47489095,-0.76397,-0.47247753,-0.67952037,-1.8515666,-0.50612754,-0.03504463,-0.20768031,1.0747111,1.0547836,1.0059446,0.58002126,2.1159363,0.6399672,-0.5191701,0.034604054,0.28723463,-1.4599894,2.385759,0.42898092,0.7486911,-0.8698036,1.0248256,2.427757,-0.92051935,-0.07556931,0.19876254,1.2359238,1.1575763,0.15118758,-0.038442105,-0.04341651,-0.39345226,-0.5176071,1.9155293,-0.29595163,-0.88803643,0.022105519,0.3604213,-1.6369524,1.0516076,0.1667717,0.6152924,-0.15355381,1.5173192,0.7214141,-0.57006335,0.36557013,0.375832,0.034494895,-0.98243105,1.1074641,-0.13410361,0.5954022
bóg tak umiłował świat,0.6830233,1.0604693,0.71370804,0.21069765,-0.9447121,-0.08101811,0.23817906,0.91353476,-0.36178276,-0.8116265,0.024568575,-0.83956707,-1.4141737,-0.24889971,-0.23567387,-0.74284446,0.29667905,-1.1350724,0.5386411,-0.11238656,-1.5424666,0.046092153,0.2137359,-0.9224234,-0.07372863,1.068624,-0.46346328,0.049243044,-0.12890305,0.7894746,1.4466158,-1.3863227,0.022460548,0.06099199,0.23219149,-0.20803672,-0.89918447,0.26109156,1.0796412,0.6054216,0.7952482,0.6054976,-0.07861028,0.39407438,0.14607638,-0.7576904,-0.80454516,-0.16472077,-0.7426366,0.015424913,-0.3345055,-0.9792264,0.60892284,-1.6178219,0.61169815,1.4007562,-0.2751236,-0.6720521,1.3289412,-0.060400374,-0.14833522,0.27619293,-0.65339744,-0.2241249,0.47244054,-0.31532922,-0.37708762,-0.4743821,0.61290723,1.3401209,-0.1988929,0.29131216,-1.0336549,0.1369792,0.7463761,-0.036702555,-0.3645905,-0.86748874,-1.2830817,1.613037,0.0025113304,-0.08538694,-0.5258067,1.2572747,-1.2644925,-0.019900847,1.6866753,0.51542735,0.3245795,-0.33759126,0.07232842,0.36407307,-0.784364,0.5466164,-0.41607097,0.492807,0.7093577,0.4887111,-0.077458195,-0.24234886
