,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
abba ojcze,0.08989143,2.0003798,-0.43329126,-0.7670783,-1.0617461,0.44239742,-2.7240043,0.8216178,-0.103528015,0.19551118,-0.8313837,-1.0401062,2.6295962,-2.052592,0.45443007,3.032626,-0.09552639,-2.9099574,-0.2328131,-3.3012967,-2.3981903,0.04546543,-0.7202639,2.7534497,-0.6576219,1.0529804,0.11120319,-0.62547827,-1.6090977,0.9789768,2.1925192,0.09263583,1.0354002,3.5914233,0.1880515,0.4812059,0.6864284,0.8722641,1.5627127,0.48051453,-1.0627257,0.9743578,-2.020162,1.3128595,1.439038,0.41580722,-0.025934672,0.6815662,0.34164858,0.68087214,-2.989139,-2.6667,-1.1793462,-0.546349,0.6572707,-1.3039019,2.2615664,1.5079166,-0.98948616,1.5334426,-0.44671267,-0.8340683,-1.0847167,1.6436818,-2.251764,2.1200404,1.5512697,-2.6573005,-0.6411601,1.5051374,0.74303716,0.22631931,0.97340256,-0.6742915,-0.18294775,0.2585331,0.48857048,1.3744736,0.58149207,-0.25339994,1.5122653,0.5854968,1.9699813,-2.5160062,-0.2728693,-2.8067088,-1.9655933,1.2971926,-1.1519576,-1.3444602,1.013993,1.9972688,-0.76340073,-1.8502204,-2.4322517,-1.3711178,0.46282408,-0.7282079,1.150988,-2.010813
alleluja niech zabrzmi panu,-0.10212745,0.76263744,1.5548751,-0.38625595,-0.8193605,0.57844675,-1.3581136,0.6970196,-1.0870873,1.1586592,-1.725149,-1.835984,2.8815882,-1.907838,-0.8283541,2.9288511,-1.0964115,-0.8115601,1.4717544,-2.2619376,-1.9561311,0.649846,-0.7245295,1.5730526,-0.4374259,1.9235483,1.3513387,0.45754784,-1.357132,2.3061068,1.865988,-0.16095151,0.78397065,3.133259,-0.6470617,1.0112616,0.34972587,0.5375873,1.5920324,0.10276069,-1.1348577,1.7107004,-1.8910654,1.4787105,-0.83007234,0.15517487,1.034694,0.49008384,0.2489117,0.8674851,-2.0612173,0.17096205,-1.970373,-0.21122654,0.3263936,0.4259267,1.3332363,0.056585558,-0.039637458,0.3824017,-0.011686225,1.2137545,-0.33317393,1.8805434,-1.5012053,1.4243423,0.8645838,-1.2599268,-1.9467868,-0.23364742,0.53446686,-0.5799346,-1.1168724,0.55696034,-0.30047977,1.1843237,-0.6382886,-0.0073348666,-0.21285523,0.7884091,2.5138805,0.40081656,1.6625001,-3.2610996,-0.75944793,-0.7511795,-0.33510357,0.25576288,0.32872593,0.050247114,1.4683256,1.6666315,0.07069972,-1.2906117,-0.098219655,-0.185362,0.28992054,0.22639242,0.29100555,-1.2481686
alleluja alleluja amen amen alleluja,-1.3332253,1.9774903,0.57620543,0.7390912,-1.7660893,0.49600902,-3.6029968,2.175245,-3.6636493,0.4944079,-1.9889027,-2.2924082,2.1970909,-3.7546632,-1.8769785,4.8696885,-0.47434044,-0.7601494,0.14075245,-3.5306072,-1.8741237,-2.9517832,-2.8919418,1.2610971,-0.5986153,2.785145,-1.325563,-1.1675283,-2.959831,1.2653632,2.010793,-1.329189,-0.18031271,2.286031,-0.014327963,1.4081473,1.4999248,0.035925288,2.1631677,1.2635659,-1.8363072,2.2131813,-0.54396814,2.9399061,0.48652998,-0.42100945,0.6022213,-0.6063592,0.2628725,1.0536582,-1.496398,-2.2787354,-1.9784708,0.6550493,-0.3862692,-0.22286652,1.6166211,1.2837516,-0.11134517,2.7734785,0.6796467,0.13590507,0.22152136,1.3483964,-1.5673081,2.1617382,1.727253,-0.2511118,-2.1578176,-0.36936593,1.0656785,1.2618831,-0.7908824,0.5881984,-0.0914584,0.41354474,-1.5213609,1.320047,0.2279429,0.87773126,0.34378675,1.6340834,0.4397947,-2.4884522,2.884549,-2.033438,-0.39121306,0.03170995,0.52858704,-0.8038116,2.454091,2.9293556,-0.020630598,-1.586626,-0.6204178,0.42304704,1.4839398,-0.28985584,0.29956838,-3.7191732
blisko blisko blisko jesteś,-0.10987884,0.4427523,-0.9679977,-0.14620127,-1.4604728,0.9554165,-1.8349001,2.166184,-2.1152787,-0.50070727,-1.803635,-1.0947828,0.87064373,-2.5094643,-0.6807016,3.0834699,-1.0848162,-1.4020313,-0.15153451,-3.143775,-0.5199854,-1.767546,-1.5800542,1.5044699,-0.9806857,1.6378216,-0.36325243,-1.0687917,0.73297644,1.8685615,1.8929037,-0.27176785,1.0904758,2.9846861,-0.92113274,2.5244794,0.9940235,-0.6302435,1.1209595,-0.20923758,-2.2123578,1.154628,-0.91651475,2.3405728,1.2283589,-0.0547886,0.20245233,0.32144848,1.1715968,-1.1605054,-4.1481323,-0.82177174,-1.3688053,-0.19392411,0.5215244,-0.64960384,0.5012129,-0.26926646,-0.20216441,0.07977233,1.2207172,0.54744935,-0.45897955,1.5633681,-0.6903454,0.89674455,1.3807666,-1.0167372,-2.3674612,0.7070838,-0.19799133,-0.014678335,0.2175934,1.1167157,0.88186264,-2.3098924,-0.8845493,-0.3192018,-0.69775665,-0.35257298,0.46102414,0.7741338,-1.021876,-1.9855433,0.6389507,-0.71737206,-0.02354902,-0.69356626,0.116780736,-0.5630124,0.946249,2.4134545,0.8605814,-0.79808235,-0.6190268,1.5789138,-0.23023435,1.5946912,-1.1929673,-3.3326645
bo góry mogą ustąpić,-1.0618435,0.5072928,0.741863,0.10744665,-1.163938,1.0465804,-1.9369469,1.2418555,-1.7354176,0.030483639,-1.9262451,-1.0461043,1.8689443,-2.2173142,-0.7002184,3.002453,-0.503962,-1.5502198,1.229782,-2.5778296,-1.8429947,-0.9863729,-1.2196872,1.2571212,-0.36025417,1.9560666,-0.36864012,-0.13694873,-1.7887905,1.252866,1.4937536,-0.92932135,0.6906199,2.3156176,0.11644921,1.2945656,0.9365644,-0.16158094,2.2712107,0.051890794,-1.0677385,1.148742,-2.1013618,2.2182996,0.82388806,0.2952371,1.2034844,-0.40328172,1.3233429,1.4830436,-1.9550389,-0.9805517,-1.4491271,-0.12674004,0.7749363,-0.54075056,0.9343233,0.1809244,-0.68416834,-0.089379504,0.5278413,0.3772009,-0.6563737,1.7072978,-1.4919349,1.2704756,1.1696147,-1.6323563,-1.9175446,0.32663956,-0.39207685,-0.21763143,-0.58729655,0.39493752,0.12075133,-0.13917479,-0.93501467,0.8334088,0.5023874,0.3884591,1.0988348,1.2906175,0.0075692576,-2.4872024,0.828426,-1.3843791,-0.8752701,-0.2930225,-0.2973169,0.5131106,1.9757047,1.5961763,-0.69817096,-1.295892,-0.52626944,-0.046497867,0.75741905,0.17812778,0.4356458,-1.7370472
bo jak śmierć potężna jest miłość,-1.057323,0.5567647,0.41476923,0.59439254,-0.16044936,1.0218221,-1.5070503,-0.5233259,-1.1835511,1.6937689,-2.4693913,-1.4959368,1.1408957,-1.3217679,-2.4000633,1.3885636,-0.32660025,-1.5582212,1.9131273,-1.8144422,-2.6514056,-1.4679087,-0.126637,1.525273,-0.48326895,1.764199,0.7529744,-1.9494815,-1.3072798,1.1289476,0.90160215,-1.5703443,-0.1157224,2.8402293,0.43501824,2.0472639,0.59654444,-0.18884835,2.850028,1.223795,-0.40200883,1.5111524,-1.6226485,1.8702991,-1.8164485,-1.0533472,1.1767163,0.53187984,-0.34595197,0.30250546,-2.0233548,-0.84591717,-0.4681128,0.7784864,0.11504245,0.43889442,0.5691992,-0.61610353,0.78667897,1.2240735,-0.35197735,0.32534102,-1.2817533,1.7355034,-1.0155708,1.2521725,0.8195034,-1.6608028,-1.916925,-0.49620348,1.0184343,0.013763795,-0.879342,0.69769627,-0.5877335,1.1897165,-1.5582033,0.3357021,-1.0387483,0.35502118,2.133408,0.964577,1.8807476,-4.4649625,-0.5691658,0.012191754,-1.4352263,0.6811524,0.5556031,1.3567214,0.48453575,1.6347411,-2.3766973,-0.30668992,0.62102634,1.0230902,0.7451082,-0.82979816,0.28696987,-1.5380287
boże twa łaska,-0.9792569,-1.4250377,0.07584302,0.9712451,-0.28391898,1.4281415,-1.1194102,1.2150198,-1.3816981,-1.1719497,-2.0337498,-0.828718,1.9285028,-3.0427918,-0.35116044,2.312458,-0.464539,-0.5713663,0.57370317,-2.4215665,-1.3050773,-1.1160004,-0.5098671,1.1461198,-0.1347934,1.9275055,-0.2742795,0.12702896,-0.3629928,1.6379381,1.9673421,0.057932485,-0.62698305,2.5470295,0.45173773,1.7234042,1.3184341,-0.9839786,0.56661093,0.2842477,-1.285589,1.7099864,-0.042756,0.41526324,0.2349966,-0.5272365,0.03299907,0.28897163,1.4162663,0.1885966,-1.1457313,-1.1371694,-2.073639,0.06856863,1.7937677,-0.7921885,0.15101394,-0.035965856,-0.39079967,-1.188399,-0.5062064,2.3037832,-0.52933395,1.2841345,-0.8328942,-1.0709699,2.533541,-0.31007835,-1.8978317,0.6078098,-1.0685105,0.12388392,-0.75397295,1.9107294,-0.25801617,0.16564675,-0.6386162,1.6658722,0.12601656,0.3989132,0.42054695,0.34130868,0.7486243,-2.2277281,-0.16113412,-1.032854,-0.23692146,-0.9493046,0.96626425,-0.15489301,0.93943584,1.833737,0.17220877,-0.5467991,-1.0765761,0.3591294,0.9999876,0.075076126,0.6350877,-1.4349658
była cicha i piękna jak wiosna,-0.8733817,0.16186479,0.088837996,0.5536105,-0.8553469,1.2901427,-1.2857121,3.0149374,-1.3418667,-0.0019508419,-2.986013,-1.1893253,2.0156891,-1.9309767,-1.7542155,1.5152314,0.0050997874,-1.7497648,2.175883,-3.9741468,-1.594841,-1.1839352,-0.49975675,0.20628688,-1.2467191,0.7266219,-0.48031044,-0.58561,-2.7652307,1.9099313,1.2225488,-1.0485063,-0.0046943747,2.8581305,-0.7090325,1.0957363,1.6244757,-0.23317169,0.9143928,0.34898654,-0.6404433,1.8576262,-1.3160919,2.1293488,1.5325853,0.38720024,0.6684895,0.8428492,0.42976683,0.18347336,-2.526281,-0.094022244,-0.9000178,0.037864607,1.9204893,0.6747287,1.2914218,0.20182998,-0.9026863,-0.66851646,1.2631572,1.1628253,-0.39832872,2.583935,-1.619871,0.2210209,0.12395184,-1.0894762,-2.1712942,0.963077,0.3957486,-1.2840984,-0.6274718,0.044985645,1.9088147,-0.07097263,-0.120218664,1.4923451,-0.57426274,0.7932448,-0.26433194,1.4131588,-0.6850067,-1.6936796,0.28886393,-0.6975991,-0.5969954,-1.6637031,-1.3548394,0.24511515,2.661268,1.703505,0.18592067,-1.3018695,-0.07497617,0.4532205,-0.22036055,0.31116024,0.34001207,-1.2625519
bóg nasz pan,0.5016748,0.68586814,1.4275383,0.997732,0.46044827,1.3578283,-2.4126117,1.4671506,-1.3197677,-0.86915433,-2.5937073,-2.1317642,1.478239,-3.9171157,0.3102633,3.5329177,-0.7451922,-2.0908313,1.6769152,-2.9423184,-2.4070754,0.0064747096,-1.27563,-0.32439077,1.2768804,4.420947,0.62153935,0.34846693,-2.6737728,1.3958223,1.5160812,-1.5964862,1.2345619,3.1268067,-0.10957003,2.151726,0.32939625,0.32340318,1.505029,-1.4401262,-1.2915443,2.91198,-1.5607042,1.6604564,-0.80689365,1.2041848,0.30900738,0.66999483,1.5490212,0.8325674,-3.420356,0.039954413,-0.723868,0.3615156,0.68709296,-0.51911783,1.5700848,-0.045379676,0.32563812,-0.71093225,-0.7326108,1.2332007,0.9606122,2.211239,-2.4641478,1.1079173,0.2503465,-0.4703764,-3.1576982,1.4360445,0.011116803,-0.06736126,-2.5788121,-0.3219506,-0.18935809,0.15408012,-2.4183776,0.06997593,0.51941055,-0.018900502,2.0995262,1.5439911,1.6109035,-2.8306322,-0.011345101,-1.8498743,0.019829202,-0.27602643,-0.0013348579,-0.14558633,3.2083175,2.0342815,-0.83040696,-1.2964252,0.74378407,-0.09993321,0.19116944,-1.1284618,0.14666063,-0.5602586
bóg tak umiłował świat,-1.3094909,-0.225195,-0.054996137,0.7399537,-0.35347414,-0.19230404,-1.4434414,1.7620922,-1.988996,-0.4915148,-1.8222908,-0.41343278,0.45705038,-0.9729549,-1.1228511,1.2846433,-0.7138414,-1.1414438,1.0139765,-2.302043,-1.5922164,-3.1475942,-0.4988019,-0.3480549,-1.6810988,1.2869842,-0.62185884,-1.9274013,-1.3359898,-0.0084719015,1.3882759,-0.14299916,0.18731196,1.8279157,-0.40055603,2.573633,0.84157413,-0.15849772,0.9089979,0.6995967,-0.09776347,2.0663955,-0.75821096,1.5643624,-0.1456588,-0.07209376,0.6554261,-0.25404963,0.86227214,-0.45434067,-3.1069305,-0.3209782,-1.1772443,0.21496108,0.334586,-0.87632936,-0.13003837,-0.16582988,0.44020644,-0.016658442,1.1925749,0.9948748,-1.8154312,1.2260433,-0.5015857,-0.09006646,1.0811038,-2.0596972,-2.1023273,-0.76335365,0.38243535,-1.2761118,1.0325042,1.5388056,0.8943263,-1.8875085,-0.68348473,0.1701487,-0.5320058,0.19563156,-1.3751469,-0.2776979,0.18586506,-2.0754595,2.0545602,-0.26476437,0.78728664,-0.35647842,-0.034731448,-0.26193202,1.8210708,2.4540236,1.4241318,-0.41066977,0.10184651,-0.2370491,0.051332008,0.7168438,-0.16433118,-2.2315938
