,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
abba ojcze,0.051954698,-0.1222887,0.16973616,-0.20200668,0.13749583,0.062324103,0.3622752,-0.07908381,-0.12082405,-0.00789132,0.22974162,-0.2009667,0.05619902,0.055208713,-0.06227168,0.052278347,-0.0018928772,0.14239204,-0.02226423,-0.00042127978,0.15481274,0.008484917,-0.1904231,-0.052501764,0.008195025,0.20461419,0.13105926,-0.11413805,-0.14210494,0.08734325,0.04445957,0.015316861,-0.18009083,-0.33017796,-0.09110213,0.014994145,0.021603871,0.22819379,0.028574644,-0.034211203,-0.11893244,-0.03043122,-0.09820249,-0.20448299,0.03291024,-0.15104555,-0.0911215,0.19946529,0.3095893,0.069038466,0.13126042,-0.28711173,-0.22862661,-0.3446288,-0.26020047,-0.07463092,0.1665541,0.028844675,-0.02780281,-0.07903683,0.0034708935,0.10529067,-0.15621817,-0.018445909,0.09232984,-0.056707423,-0.13870902,0.21311931,-0.06338868,-0.3882337,-0.050748345,-0.09335375,0.3573044,0.030114606,-0.43253207,-0.0813326,0.12593158,-0.07549924,0.24825598,0.1706595,0.13220648,-0.08255066,-0.06577624,0.10451267,-0.05872638,0.39966822,0.18944263,0.027883563,-0.23169675,-0.053936567,-0.048641477,-0.2682402,0.17395802,0.13405569,-0.2388173,0.1319006,-0.11217667,0.19449253,-0.0668423,-0.17491522
alleluja niech zabrzmi panu,0.039823655,-0.13543421,0.23469512,-0.05735151,0.0961641,-0.06831468,0.36764514,-0.033635244,-0.08082591,-0.17788965,0.12794347,-0.19356556,-0.044826347,-0.19155605,-0.13347276,0.11507925,0.16155605,-0.049862824,0.04831748,-0.11630901,0.09850876,-0.10749375,-0.2519916,-0.08330844,-0.13919345,0.17659754,0.031325612,0.0026895485,-0.10367668,0.0771183,-0.007459348,0.13284208,-0.24287607,-0.120785184,-0.09972691,0.2221449,-0.04814547,0.02537957,-0.18224065,-0.05077092,-0.17235135,0.008587009,-0.12840803,-0.07330218,0.080598265,-0.20174272,-0.15350282,0.056268357,0.20999189,0.151417,0.12917925,-0.23513842,-0.31437066,-0.31705877,-0.22580329,-0.027764836,0.20110527,0.013125085,-0.03344789,-0.05833319,0.047342673,0.17158818,-0.19073269,-0.15286833,-0.007960127,-0.18020238,0.06717635,0.2570554,-0.023096967,-0.3315625,-0.002352585,-0.30921078,0.050763737,-0.104951926,-0.30308038,0.012019608,-0.031265866,-0.1038175,0.08819643,0.18232998,0.19460812,0.13926877,-0.10062052,0.06553937,-0.028674906,0.27289695,0.17369327,0.0016925301,-0.11701938,-0.059423957,0.061086245,-0.26505843,0.2370627,0.05980324,-0.19306654,0.07944112,-0.13553567,0.048415873,-0.2937622,-0.15080835
alleluja alleluja amen amen alleluja,0.04199834,0.0027556687,0.30809855,-0.10508291,0.08613499,-0.092330255,0.33644077,0.10433359,0.02316633,-0.11052134,0.19650258,-0.14368953,-0.028600747,-0.18582983,0.013603249,0.044157583,0.078314334,0.11369876,-0.014699255,-0.14011875,-0.001889248,-0.22155088,-0.16136718,-0.06378658,-0.033120837,0.21138406,-0.023613997,-0.063895166,-0.09064293,0.15212333,-0.048120257,-0.07993991,-0.25192764,-0.16413225,-0.029463166,0.10797808,0.022193663,-0.08659351,0.060156837,-0.21312608,-0.17144632,0.09733007,-0.22036052,-0.166856,-0.012408334,-0.11593809,-0.0070095845,0.09460774,0.2105354,0.051341746,0.29091164,-0.30791503,-0.060024586,-0.41808036,-0.39293742,-0.11898466,0.059308663,0.097512834,0.013235503,-0.025691168,0.10462099,0.019644415,-0.19306791,0.0035334968,0.11187901,-0.17403157,-0.07614733,0.23004733,-0.09080425,-0.2719394,-0.2307384,-0.047432166,-0.010691336,-0.0031830014,-0.3333205,0.15896033,0.108407505,-0.08214893,0.16932857,0.11974466,0.26613697,-0.07110649,-0.08837075,0.32307643,-0.23406549,0.26734418,0.4148614,-0.15242676,-0.13446017,-0.026666587,0.105249494,-0.30197647,0.23947124,0.23878224,-0.42032936,0.12819684,-0.1690846,0.03921625,-0.2960371,-0.2366928
blisko blisko blisko jesteś,-0.016306607,-0.070237994,0.07806005,-0.15630203,-0.036671005,0.020790402,0.30543262,0.007485555,-0.071632996,-0.0654803,-0.023996003,-0.28745642,0.10477463,-0.1457698,0.005977843,0.0602476,0.08217935,-0.11104019,0.0801628,-0.1449971,0.030743051,-0.14358264,-0.12599313,-0.140086,0.115695156,0.2111207,-0.013330599,-0.09159289,-0.13094799,0.1813789,0.0241273,-0.04651221,-0.25556177,-0.034431692,-0.025601497,0.08888865,-0.00836275,0.23209961,0.02009945,-0.008454593,-0.17578003,-0.07425849,-0.1527539,-0.03460995,0.051352255,-0.1798025,-0.136184,0.09717285,0.2506988,-0.0316582,-0.011495503,-0.25104398,-0.10915025,-0.298194,-0.09932735,-0.08750211,0.07394724,0.011678903,-0.15213428,0.15007105,0.17577884,0.092693105,-0.1722347,0.0042167995,-0.03961915,-0.15819286,-0.25806162,0.1618758,-0.023488095,-0.057492595,-0.12004135,-0.0892199,0.015313998,-0.058128644,-0.24466124,-0.026904201,0.0032802552,-0.015239751,-0.010209193,0.28793368,0.2737224,0.064028755,-0.096840546,0.13637331,-0.0804379,0.27445465,0.2480812,-0.0016884528,-0.2058276,-0.16212434,-0.012747255,-0.16860396,0.15173575,0.15316021,-0.37528694,0.1934891,-0.057911802,0.044575058,-0.36550942,-0.22628327
bo góry mogą ustąpić,0.06906236,-0.06419033,0.1970129,-0.14590725,0.04639922,-0.10839941,0.33387223,-0.0073685106,-0.09312957,-0.085318565,0.08311688,-0.14456771,-0.03825541,-0.1165535,-0.004077531,0.08802873,0.06260692,0.053635538,0.07528111,-0.10950312,0.05759634,-0.16232237,-0.21652931,-0.11889203,-0.02419126,0.20051679,-0.02144964,-0.12586762,-0.07452727,0.15013793,-0.046715412,-0.027166126,-0.16323371,-0.099320434,-0.07011386,0.15727709,-0.0058451993,0.11559589,-0.0011537254,-0.115322836,-0.120799355,0.0038618804,-0.09401328,-0.057295464,0.06084826,-0.15755422,-0.09833184,0.15570748,0.2226389,0.042941093,0.067254096,-0.22585663,-0.11348746,-0.2765414,-0.23748018,-0.072094046,0.14449455,0.059953917,-0.08719974,0.08571159,0.08863091,0.13780707,-0.18359771,-0.012065027,0.030373372,-0.15910164,-0.04897693,0.22599597,-0.011569045,-0.22701488,-0.08656664,-0.0920599,0.011250795,-0.036879983,-0.31743404,0.070340544,0.07078245,-0.03366786,0.040176667,0.19209939,0.24186195,-0.04564078,-0.09929431,0.18524848,-0.09970911,0.32286808,0.17903262,-0.081163935,-0.15688406,-0.028211093,-0.021818418,-0.2655618,0.23506032,0.1812012,-0.31315774,0.12625544,-0.12662262,-0.008839624,-0.21527325,-0.13505243
bo jak śmierć potężna jest miłość,0.04468431,-0.10031293,0.2817054,-0.16176893,0.0011324653,-0.11790732,0.38237712,-0.093724474,-0.071710154,-0.07343876,-0.05972239,-0.21718177,0.006985764,-0.15669546,-0.13321538,0.016498692,0.08870138,-0.0007102352,0.014092767,-0.24722749,0.053559687,0.0130468495,-0.31588733,-0.14290622,-0.17923006,0.10205445,0.012528853,-0.0380113,-0.034768537,0.02338839,-0.09642716,0.15006953,-0.24619554,-0.049718615,-0.033045005,0.26060385,-0.08855954,-0.09911129,-0.010148685,-0.018737616,-0.1629173,0.027134236,-0.21733437,-0.19127552,0.000519921,-0.20945968,-0.12095062,0.14390816,0.3077219,0.19517301,0.09080991,-0.218976,-0.24585661,-0.269947,-0.29215306,0.009263307,0.17557463,0.06970985,0.010968616,0.1237927,0.0071496908,0.2328592,-0.23556115,-0.12558362,0.07470746,-0.15275106,0.0745953,0.2814212,-0.053393546,-0.29222205,-0.037256625,-0.215841,-0.009972849,-0.08414784,-0.1985774,0.09518038,-0.01779615,0.0065030754,0.021434773,0.21424532,0.13696963,0.068121776,-0.046405997,0.13076991,-0.10087971,0.30220798,0.16455221,-0.11331754,-0.163182,-0.025936693,0.060729228,-0.291308,0.26330954,0.09629246,-0.1921956,0.06916354,-0.19581345,0.019201843,-0.19812885,-0.017582925
boże twa łaska,0.0209866,-0.18812831,0.15789576,-0.05574715,0.05981453,-0.018348502,0.31619954,0.0053273756,-0.113123,-0.1082862,0.002656247,-0.23145807,0.11021353,-0.16013354,-0.03577428,0.1613784,0.0654733,0.1044171,0.042914096,-0.16352078,0.06164955,-0.13738492,-0.23961875,-0.05098355,0.035320304,0.13789101,-0.065061495,-0.18298526,-0.09943001,0.16617677,-0.044395246,-0.033247225,-0.22979255,-0.045628075,-0.016506705,0.15978989,-0.12927672,0.1668975,-0.0009967498,-0.18903962,-0.03517572,-0.025660748,-0.0668275,-0.088591814,0.15263794,-0.17868756,-0.090223454,0.058649678,0.2883903,0.13564119,0.03671655,-0.22658074,-0.15811424,-0.294667,-0.108569875,-0.18555382,0.11698854,0.022831779,-0.061050605,0.18435442,-0.06951171,0.20330544,-0.15689023,-0.04838765,0.029494172,-0.2095818,-0.10668186,0.07605264,0.057392668,-0.09493778,-0.061792523,-0.056028873,-0.039290596,0.012667951,-0.25744694,0.07984317,0.004414351,-0.017257128,-0.0461962,0.17860259,0.23020282,0.013160998,-0.086193494,0.08669053,-0.083505526,0.20358357,0.15428922,-0.07206802,-0.028308418,-0.03858235,0.004362853,-0.07844075,0.044545703,0.16570222,-0.23852584,0.14354065,-0.11229529,0.00075730105,-0.15723309,-0.13028696
była cicha i piękna jak wiosna,0.07830582,-0.02646892,0.027124308,-0.1634859,0.022329945,-0.10516616,0.36918044,-0.05856605,-0.08362751,-0.012436391,0.07317464,-0.23400788,-0.12606822,-0.23532894,0.038625132,0.13089277,0.019519167,0.09380211,0.15590921,-0.118045434,0.037597436,-0.13073872,-0.11592254,-0.16898118,0.024768896,0.18694328,-0.107172884,-0.11097807,-0.07148849,0.21470131,0.048395023,-0.048513424,-0.20972651,-0.12799455,-0.025620611,0.20239595,0.06851738,0.20895761,0.060322206,-0.03513314,-0.102573305,-0.00036759043,-0.042578634,-0.15334947,0.14817159,-0.24052063,-0.07791065,0.10203881,0.31017792,0.12119472,0.023080084,-0.14359784,-0.014166678,-0.30620673,-0.23465802,0.019359335,0.13738178,0.039010704,-0.13191131,0.07969204,0.11188279,0.1079147,-0.24503197,-0.064124115,0.06672749,-0.119994536,-0.090112574,0.20581669,0.039400093,-0.16642697,-0.053928234,-0.062224966,-0.038285885,-0.008967085,-0.1693259,0.06233943,0.06012828,-0.069490604,-0.0208643,0.20030907,0.28174922,0.012184545,-0.055398054,0.087209985,-0.112264805,0.3659349,0.1119916,-0.046439376,-0.03190561,-0.06164013,0.033122666,-0.2512481,0.27154738,0.11571992,-0.3343982,0.1741796,-0.1375473,0.019428661,-0.22491191,-0.10433878
bóg nasz pan,0.15909325,-0.23152545,0.2630815,-0.09627725,0.015726898,-0.0523322,0.4099555,0.0744773,-0.1240044,-0.1143073,0.21882603,-0.2552011,-0.067716,-0.23179853,-0.028663348,0.21646352,0.14429645,0.06488585,0.095569305,-0.14774711,0.0055521526,-0.2981019,-0.28205004,-0.27787727,-0.050343703,0.24226847,-0.03041395,-0.04643265,-0.018438205,0.12342186,0.023081746,0.024906304,-0.29466683,-0.016569454,-0.008564449,0.21275353,0.0174913,-0.015478996,-0.036131248,-0.039380748,-0.14685729,-0.10081611,-0.064001545,-0.11088236,-0.008831698,-0.15656786,-0.09803355,0.15769455,0.31426173,0.0148219075,0.104972444,-0.0971238,-0.1570572,-0.3400928,-0.18549454,-0.09361504,0.20672087,0.020680754,-0.20494655,0.0071864994,0.030783951,0.12961338,-0.2555308,-0.10812495,-0.064259306,-0.2802329,-0.15276875,0.1882464,-0.048935056,-0.2277323,-0.08867915,-0.13006206,0.0007240005,-0.013790998,-0.35935542,0.037061296,0.015025802,-0.09526854,0.09885465,0.089338906,0.2452635,0.04299385,-0.04926405,0.2483994,0.05027135,0.38543218,0.30154112,-0.055196352,-0.07642396,0.061716795,0.15032515,-0.20380309,0.18792845,0.23311746,-0.25759676,0.2068851,-0.25344136,0.0659079,-0.23770443,-0.10412636
bóg tak umiłował świat,0.0073806196,-0.1214252,0.113575,-0.21372627,0.055374462,0.038644116,0.29382104,-0.058189094,-0.08149869,-0.018032873,0.02271945,-0.2634017,0.0092009995,-0.15249205,-0.04559349,0.017753547,0.031708255,-0.0015941525,0.121916786,-0.19095913,0.0069951992,-0.16524784,-0.079177804,-0.09195499,0.09615962,0.14989235,-0.109335594,-0.05780736,-0.105313115,0.038600225,-0.02367677,-0.028067065,-0.24500884,0.014384397,0.0040926347,0.14492963,0.044558384,0.17714943,0.120605424,-0.005122395,-0.13331875,0.033592578,-0.11456344,-0.098228164,0.15740606,-0.0983679,-0.0371617,0.11596252,0.24494022,0.017058752,-0.06230892,-0.20366608,-0.027318152,-0.28044623,-0.14296302,-0.046235625,0.039788134,-0.029683469,-0.03284523,0.16422908,0.091144115,0.21202852,-0.09157654,0.02300165,-0.008446585,-0.14092655,-0.102067664,0.11082283,-0.047408223,-0.08047044,-0.09406496,0.0747462,0.03269042,-0.031299125,-0.2410684,0.14121675,0.034164462,0.08286382,0.05829606,0.25776866,0.18649334,0.06367393,-0.1280719,0.054902412,-0.10422862,0.32957616,0.099460326,-0.11454116,-0.043776765,-0.13568272,-0.012098467,-0.24549438,0.21990868,0.061588287,-0.314312,0.194914,-0.06130631,-0.023662733,-0.30834454,-0.053587753
