,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
abba ojcze,0.000714237,-0.4101778,0.15567848,-0.26828352,-0.15806018,-0.043374516,0.12943174,-0.064021066,-0.33873707,0.040753875,0.18788376,-0.16950703,-0.03363901,0.3719503,-0.08357604,0.22359006,0.20392652,-0.15854971,0.07084992,-0.16987264,0.20187263,0.3131887,0.040629156,0.10188878,-0.35044417,0.12229564,0.095111206,-0.11952663,-0.014987783,-0.08732885,-0.03780734,-0.09326241,0.016427625,0.061228387,0.06475004,0.0009513219,0.32268494,0.18080088,-0.06593104,-0.17336544,-0.60552514,-0.14784132,-0.05469228,0.017446864,0.027391588,-0.32703075,-0.16300519,0.39166197,0.02662697,0.23068538,-0.08998836,0.05942958,0.11858585,-0.20110299,0.09130014,0.0021753625,0.031978246,-0.04046263,-0.30026835,0.27228773,0.3193356,0.18586627,-0.043280482,-0.1821195,0.29797462,0.38148752,-0.005842357,0.05384857,0.36612815,-0.4444159,0.13070002,-0.33415565,0.118742466,0.4356217,-0.311044,0.37705654,0.21379553,0.3686691,-0.018307878,-0.08423407,0.32050827,0.13058427,-0.07544158,0.05395829,-0.05523054,0.14055033,-0.036766816,-0.37213284,0.15605788,-0.20460422,-0.043665834,0.5151144,0.09959353,0.07825746,0.038781445,-0.043359376,0.036656845,0.10320043,0.15336122,0.29624602
alleluja niech zabrzmi panu,0.051287428,-0.41757527,0.33035466,-0.3045105,-0.19875513,0.001598886,0.13001888,-0.05858683,-0.32681042,0.13607542,-0.08529755,-0.5735885,-0.036096666,0.26046672,0.023629753,0.099060945,0.18846302,-0.119364254,0.21583232,-0.20162079,-0.004109468,0.35301748,-0.015748821,0.14449613,-0.25892138,0.019294636,0.07360061,-0.12368004,0.14071299,-0.21232039,0.014036278,-0.079822905,-0.07927506,0.07903282,-0.09540791,-0.17851491,0.1257664,0.0394028,-0.1428442,-0.040341705,-0.28399098,-0.06844336,-0.17912336,-0.0053953505,0.086597584,-0.34271577,-0.07732828,0.45657644,0.051029302,0.15324631,0.17402126,-0.10602243,-0.099644266,0.0626077,0.06652487,-0.049950305,-0.07580545,0.08589692,-0.32848844,0.14385921,0.42312336,0.101016596,0.084312364,-0.0705555,0.20856811,0.15351672,0.09688703,0.3624714,0.33101982,-0.3770781,0.039518207,-0.31205896,0.05297228,0.20320055,-0.35485262,0.44692168,0.058028102,0.18070108,-0.025176577,0.024280462,0.3358794,0.15616389,-0.35116252,0.107619494,-0.21040577,0.078313574,-0.20859835,-0.49852613,0.06377839,-0.06779726,0.031878434,0.32801065,0.10550867,0.09133682,-0.03875147,-0.046136208,-0.034597058,0.111222796,-0.016150488,0.27474484
alleluja alleluja amen amen alleluja,-0.075149834,-0.43061876,0.14823724,-0.2134807,-0.07548533,0.27036992,-0.026275171,0.026603999,-0.23651631,0.08638998,0.105174005,-0.31588802,-0.11738434,0.34573162,0.20212518,0.38285065,0.39600512,-0.14637734,0.04317267,-0.32556626,0.054941833,0.16313384,-0.058167502,-0.054802407,-0.40453085,0.039088424,-0.20167673,-0.3716003,-0.014325171,-0.3977029,-0.094352834,-0.23292607,-1.4248614e-05,0.37612048,0.041647747,-0.2582368,0.27698717,0.021260416,-0.09861892,0.21229702,-0.5605779,-0.12143315,0.06241625,0.06889758,0.19652735,-0.23783983,0.023249501,0.43462372,0.048999578,0.16016969,0.21891476,-0.23721708,-0.115598164,-0.19301625,-0.06534708,0.006572414,-0.046574906,0.07819583,-0.40852508,0.28742132,0.50367814,0.10469208,-0.13959,0.07445758,0.23322634,0.34803677,0.017215416,0.20165558,0.239892,-0.13313675,-0.015990084,-0.21226609,-0.008917836,0.28811786,-0.20103276,0.23358881,0.09872401,0.38957646,0.004562745,-0.008711663,0.2611063,0.3406744,-0.12871467,0.2603775,-0.24018349,-0.0038341668,0.018157337,-0.4078035,0.16144834,-0.071423255,0.2043445,0.34750006,0.3399591,-0.026753254,-0.057900503,0.11918384,0.18076926,0.059887085,-0.15888417,0.048417497
blisko blisko blisko jesteś,0.12124264,-0.53483456,0.32103452,-0.17702028,-0.053770203,0.19044937,0.135586,-0.25616083,-0.37262622,-0.0297605,0.15828976,-0.31452093,0.10802309,0.16112557,0.15640457,0.43237767,0.2958803,0.22418252,0.09975877,-0.42509168,0.0106543,0.16672514,0.025084998,-0.033814352,-0.37518266,0.038188,0.036513157,-0.012945804,-0.004164348,0.010730892,0.032760903,-0.11390449,0.18587731,0.21111456,0.017641153,-0.026125249,-0.03194916,0.17558485,-0.29709193,0.10656494,-0.45770702,-0.24734703,-0.067890055,0.04021489,0.0633783,-0.21657026,-0.20327005,0.37542313,0.16272864,-0.056100894,-0.026260352,-0.25790197,-0.04076899,-0.20990475,-0.059299856,0.035533,0.030492753,0.046974305,-0.29496464,0.15670058,0.38713005,0.122771,0.11361381,-0.040325902,0.13180465,0.23285452,0.0032507987,0.27964938,0.25186223,-0.25662804,0.11286255,-0.0838918,0.077005304,0.32424432,-0.23042586,0.38041276,0.030535346,0.19087669,-0.010346851,-0.017333847,0.24818453,0.21643856,-0.1585554,0.16286227,-0.05621595,-0.04528465,-0.0156302,-0.1187132,-0.014998605,0.07898019,-0.055865012,0.31249,0.16133344,0.14945142,-0.10764513,-0.10734906,0.22544472,0.201768,-0.03624619,0.14436169
bo góry mogą ustąpić,0.06298298,-0.35592797,0.26077306,-0.31998473,-0.09204798,0.19134632,0.13826253,-0.07963481,-0.22848989,0.03292373,0.002012563,-0.39308655,-0.0156173995,0.22820559,0.16218966,0.19929992,0.27586576,-0.058196403,0.15225878,-0.29748398,0.10156731,0.16000165,0.00692309,0.094822876,-0.32528597,0.12748407,-0.10088858,-0.15315971,0.0310022,-0.17980744,0.018515911,-0.091795176,0.03348587,0.14349964,-0.061247014,-0.051980134,0.13065626,0.069407456,-0.16457224,0.16587459,-0.40046832,-0.16858077,-0.16294661,0.0847541,0.11218405,-0.30382276,-0.071514875,0.375554,0.075685725,0.046641257,0.15137285,-0.22634815,-0.027791046,-0.23289981,-0.051310267,0.04700737,-0.0052705617,0.13709714,-0.29317388,0.2252521,0.4293895,0.15491888,0.04553862,0.0014717408,0.22324014,0.15923168,-0.08079021,0.16183268,0.26057616,-0.16410236,0.086904235,-0.1795108,-0.010610942,0.26242515,-0.28681338,0.3404713,0.121710084,0.2894415,-0.030568616,-0.010458359,0.29772362,0.227414,-0.14586383,0.088657565,-0.18221302,0.037954494,0.01532058,-0.24441284,0.071304046,0.0023830668,-0.01999584,0.358717,0.19028187,0.03858528,-0.06887596,-0.0047954903,0.087476775,0.16847964,-0.051689614,0.1371368
bo jak śmierć potężna jest miłość,0.124507226,-0.31488836,0.2819443,-0.14929801,-0.16591501,0.04288246,0.2780264,-0.18277614,-0.20792371,0.146007,-0.18803646,-0.57307637,-0.08792385,0.27344644,0.11369454,0.1706155,0.12059322,-0.15627623,0.23467717,-0.26152292,0.06861654,0.20780179,-0.012947617,0.22533162,-0.24077733,-0.018968154,-0.01574254,-0.10202077,0.018714845,-0.34393197,0.06570746,-0.029389845,-0.015386618,0.145374,0.036881622,-0.3411344,0.04289231,0.08027424,-0.060710076,-0.08280553,-0.20507178,0.063326545,-0.19388007,-0.017161231,0.099134915,-0.3554816,-0.06255592,0.32502714,0.117861524,0.15059792,0.20245793,-0.20221303,-0.038179997,-0.06980415,0.051964924,-0.07197038,-0.017774306,0.11889892,-0.23111843,0.119529925,0.365627,0.16012055,0.023744922,0.2500463,0.03509677,0.14408854,-0.10562317,0.35879213,0.37828472,-0.36523074,-0.10955107,-0.283873,0.13312854,0.15675193,-0.42047393,0.46682346,0.013691692,0.30191696,-0.065415606,0.05779346,0.49914238,0.21268715,-0.24618915,0.095711835,-0.2932386,0.10067639,-0.16927499,-0.40466303,0.018725155,-0.09456147,0.0020763094,0.40886343,0.14712664,0.06334646,-0.04580231,0.05563823,-0.00013754002,0.14761569,0.09592014,0.13245362
boże twa łaska,0.09877266,-0.3794944,0.32420006,-0.2565407,-0.085687,0.07623643,0.20078962,-0.12250368,-0.28996617,0.061300196,-0.049752735,-0.3231028,-0.043384966,0.05272503,0.1469894,0.11098969,0.39129323,-0.09659268,0.25233048,-0.19063506,0.12668651,-0.074139826,0.030879224,0.0073610507,-0.502556,0.1286167,-0.05945071,0.027532825,-0.019741073,-0.098741055,0.029550025,-0.08098839,0.027002972,0.04372512,-0.15337761,-0.031357612,-0.011128549,0.22029571,-0.16991612,-0.051421195,-0.38560063,-0.17472067,-0.1322116,0.0716797,0.12989399,-0.27786714,-0.17864892,0.28585464,0.132032,0.1159873,0.04609557,-0.38678697,-0.022925496,-0.12199734,0.02704075,-0.00044019744,-0.015755227,0.12631096,-0.31921375,0.1349125,0.33512983,0.1048979,-0.026636729,0.031319387,0.08022468,0.0965254,-0.059120625,0.33720392,0.24565046,-0.23686345,-0.08663769,-0.21995957,0.024781926,0.2576711,-0.12000692,0.25278017,0.1310979,0.20826074,-0.08706263,0.10001878,0.22085115,0.10789726,-0.06824155,0.16291985,-0.12632963,0.1145285,-0.064485446,-0.03678443,-0.021557545,0.080858216,-0.09635146,0.32044065,0.23141766,-0.09065892,-0.18601774,0.025398701,0.08974757,0.18112504,-0.047541242,0.166876
była cicha i piękna jak wiosna,0.07090051,-0.42506057,0.16118771,-0.22770722,-0.03741932,0.25442407,0.06337187,-0.20993641,-0.20540768,-0.0748307,-0.1108671,-0.43271658,0.061308738,0.3234978,0.19088073,0.19775985,0.25308394,0.0779927,0.25037855,-0.37468344,0.10675887,0.18095377,0.11804026,-0.014873863,-0.41547325,0.06779486,-0.006421646,0.19042973,-0.04318814,-0.10496853,0.0016738862,-0.014678475,0.018147733,0.13671036,-0.11753827,0.0029644223,0.20438118,0.17732511,-0.25882274,0.08669397,-0.2963566,-0.32287905,-0.25376546,0.060735166,0.111664854,-0.27488777,-0.16982943,0.33680546,0.19012181,-0.0037212763,0.14491232,-0.27334952,0.054766458,-0.20824121,-0.09239981,-0.04995824,-0.007647736,0.20590839,-0.36548898,0.23662917,0.48583782,0.10709179,-0.064355694,0.1083586,0.17123236,0.124146394,-0.17733006,0.13280027,0.13590148,-0.1924693,0.13082767,-0.22575513,-0.061385866,0.17532097,-0.17492962,0.26937604,0.1833707,0.309104,0.0010908688,-0.009349887,0.24505207,0.19059461,-0.11128951,0.12826885,-0.26949343,-0.014715793,-0.057974737,-0.24509451,0.1125981,-0.08445495,0.053050462,0.36326692,0.10653744,0.0760225,-0.06558673,-0.092364684,0.09014228,0.14982411,0.03320171,0.09778816
bóg nasz pan,0.16271175,-0.5049189,0.21211024,-0.40710983,-0.0504206,0.20705514,0.20005937,-0.067925006,-0.24378881,0.05511381,-0.0941772,-0.4777922,-0.02783295,0.20289855,0.15407965,0.2706242,0.4929536,-0.16380972,0.3336602,-0.2461867,0.009686155,0.24133141,-0.13435465,0.009190454,-0.26857954,0.23913006,-0.17827235,-0.07398955,0.1192616,-0.17667136,-0.037994996,-0.08053985,-0.17199765,0.11196835,-0.10457715,-0.02453945,0.14663526,0.051825147,-0.16834095,0.0047057,-0.34125108,-0.19304863,0.025313448,0.09236594,0.1715535,-0.22707286,-0.22242585,0.5262027,0.1838225,0.015033802,0.14491726,-0.12134655,-0.025263757,-0.13393179,0.030487502,-0.10293899,0.1947312,0.10828282,-0.36687106,0.2074301,0.5440204,0.112068,0.005368545,0.010999504,0.17736234,0.16627988,-0.065915145,0.4373715,0.36451584,-0.14652565,0.014098501,-0.16720185,-0.15288454,0.19491135,-0.3196104,0.40177402,0.1201707,0.120722905,-0.23963729,-0.022820245,0.43499002,0.16975065,-0.11916928,0.0917867,-0.18968025,0.041829906,-0.14505735,-0.34987473,0.037004553,-0.14255077,0.15005422,0.37231576,0.15986514,0.0368125,-0.10875396,-0.04476145,-0.024906207,0.06457815,-0.16110386,0.2795202
bóg tak umiłował świat,0.025553847,-0.32618052,0.25094643,-0.2683319,0.060915474,0.06738438,0.10935204,-0.16807573,-0.27128783,-0.23476784,0.075729735,-0.28588068,-0.1159544,0.34253827,0.1829522,0.3188242,0.29829344,0.100114495,0.18699947,-0.25741804,0.035443705,0.079051845,-0.083175056,0.009449606,-0.29126295,0.2005329,0.038221102,0.041214235,-0.098714635,-0.036497865,0.07590587,-0.10007865,0.06398272,0.068736665,0.015539617,-0.052460685,-0.026004959,0.23118074,-0.15686904,0.1490984,-0.26350635,-0.098158754,-0.25261986,0.071207196,0.1289091,-0.22174382,-0.12352561,0.3456419,0.1863797,-0.0015495161,-0.01415681,-0.32835582,0.020997941,-0.186756,-0.1012117,-0.034144778,0.11728891,0.19250624,-0.3300687,0.18875368,0.34016642,0.064139575,-0.0049683303,0.1939771,0.12088794,0.15851021,-0.049875244,0.15061201,0.19827144,-0.21617463,-0.008630983,-0.31807703,0.032612965,0.22356293,-0.19283596,0.35737604,0.0215987,0.16473399,0.11773708,0.01720669,0.24306853,0.19463754,-0.061652873,0.12427895,-0.11740425,-0.07319497,0.033818416,-0.1479866,0.025095584,0.05615311,-0.035574317,0.35659534,0.22697599,0.014307103,-0.15789126,0.10848794,0.17774172,0.07653358,-0.0041622566,-0.065501586
