txt_pl_lem,title
""" ty wyzwolić być my pan z kajdany i sam siebie , a Chrystus stawać się brat nauczyć my wołać do ty : abba ojciec ! abba ojciec ! abba ojciec ! bo kościół jak drzewo życie w wieczność zapuszczać korzeń , przenikać nasz codzienność i pokazywać my ty . abba ojciec ! abba ojciec ! abba ojciec ! Bóg hojny dawca być życie , on wyswobodzić my z śmierć i przygarniać do siebie uczynić swój dziecko . abba ojciec ! abba ojciec ! abba ojciec ! wszystek być brat , być jeden rodzina . ten prawda nic już nie zaćmić i teraz być on godzina . abba ojciec ! abba ojciec ! abba ojciec ! "" ",Abba Ojcze
""" alleluja , alleluja , alleluja , alleluja . niech zabrzmieć pan chwała w niebiosa , na wysokość cześć niech oddać , wielbić pan duch niebieski , wielbić pan on zastęp . alleluja , alleluja , alleluja , alleluja . słońce , Księżyc wielbić pan , gwiazda świecić wielbić pan , niebiosa niebiosa wielbić pan , woda podniebny wielbić pan . alleluja , alleluja , alleluja , alleluja . niech wszyscy wielbić imię pan , bo on słowo stwarzać wciąż wszystko , bo tylko on imię być wzniosły , niechaj na wiek brzmieć on chwała . alleluja , alleluja , alleluja , alleluja . on dawać siła swój lud , z proch podnosić swój przyjaciel , on Bóg bliski dla Izrael , swój wybrać on sam umacniać . alleluja , alleluja , alleluja , alleluja . niech zabrzmieć chwała ojciec , co stwarzać , on syn , który być pan , duchowy , który w my zamieszkiwać przez wszystek wiek wiek . amen . "" ",Alleluja (Niech zabrzmi Panu)
""" Bóg tak umiłować świat , że syn swój jednorodzony dać , aby każdy kto w on wierzyć nie zginąć , ale życie wieczny mieć . ojciec Jezus , Jezus , Jezus ! "" ","Alleluja, Alleluja, Amen Amen, Alleluja"
""" o piękność stworzyć kto ty raz poznać ten nic inny pokochać nie móc . czuć , że tonąć w on jako jeden ziarenko piasek w bezdenny ocean czuć , że nie mieć ani jeden kropla krew w ja , który by nie płonąć miłość ku ty . miłosierdzie boży "" ","Blisko, blisko, blisko jesteś"
""" o stworzyciel , Duch , przyjść , nawiedzić dusz wierny ty krąg . niebieski łaska zesłać raczyć serce , co dzieło być twój ręka . pocieszyciel być zwan I najwyższy Bóg dar . Tyś namaścić nasz dusza , Zdrój żywy , miłość , ogień żar . ty darzyć łaski siedemkroć , bo moc z prawica ojciec mieć , przez Bóg obiecać my , mowa wzbogacać język nasz . światło rozjaśnić nasz myśl , w serce my miłość święty wlać I wątły słabość nasz ciało pokrzepić stałość moc twój . nieprzyjaciel odpędzić w dal i twój pokój obdarzyć wraz . niech w droga za przewód twój minąć zło , co kusić my . dać my przez ty Ojciec znać , dać , by i syn poznać być . i ty , jeden tchnienie dwa , niech wyznawać z wszystek siła . niech Bóg ojciec chwała brzmieć , syn , który zmartwychwstać , i temu co pocieszać my niech hołd wieczysty pynie chwała . amen . "" ",Bo góry mogą ustąpić
""" o wychwalać on wszystek naród i wysławiać on wszystek lud . on łaskawość nad my potężny , a on wierność trwać na wiek . o alleluja , alleluja ! ! ! "" ",Bo jak śmierć potężna jest miłość
""" nie chcieć zbyt wysoko sięgać pan , patrzeć tam gdzie pycha lśnić i chwała chociaż tak wyniosły on mieszkanie , choć zazdrość godny świat pałac . oczekiwać ty pan , być mój oczekiwanie uspokajać serce mój , uciszyć być i pokój mój . nie chcieć by się wywyższać serce wszystko , co pragnąć to twój próg w cisza na twój próg siedzieć być cieszyć się , że być mój Bóg oczekiwać ty pan , być mój oczekiwanie uspokajać serce mój , uciszyć być i pokój mój . "" ",Boże Twa łaska
""" oczyścić serce mój , chcieć jak złoto lśnić i jak czysty srebro . oczyścić serce mój , chcieć czysty złoto , blask lśnić . zstąpić ogień , zstąpić , przyjść oczyścić serce mój , pragnąć być święty , ty oddany , pan . chcieć zawsze być święty , ty mój mistrz na zawsze oddany , gotowy , by służyć ty . oczyścić serce mój , obmyć swój krew , sprawa , by być móc być święty . oczyścić serce mój , z tajny grzech oczyścić on . zstąpić ogień , zstąpić , przyjść oczyścić serce mój , pragnąć być święty , ty oddany , pan . chcieć zawsze być święty , ty mój mistrz na zawsze oddany , gotowy , by służyć ty . "" ",Była cicha i piękna jak wiosna
""" oddać cześć wieczny pan Chwał , pokłonić się , ten który rozpostrzeć niebiosa i utwierdzić ziemia krąg . on chwała wznosić się ponad szczyt góra . on łaska nad my być , a niebo on tron ! Bóg to nasz pan i tylko on ! "" ",Bóg nasz Pan
uczynić ja gałązka w krzew winny duch płonąć jak ognisty krzew niech liść mój nie zwiędnąć nigdy oczyścić ja i pozwolić w siebie trwać odnowić ja dać przynosić dobry owoc wyzwolić ja i nowy życie dać zasadzić ja nad płynąć żywy woda . uświęcić ja i nauczyć w siebie trwać ty który miłować dusza mój wskazać ja gdzie paść stado swój ku źródło woda żywy ja prowadzić by być nie błąkać się szukać ty . odnowić ja dać przynosić dobry owoc wyzwolić ja i nowy życie dać zasadzić ja nad płynąć żywy woda . uświęcić ja i nauczyć w siebie trwać ,Bóg tak umiłował świat
