txt_pl_lem,title
""" wyzwolić    kajdany   siebie,  Chrystus stawać  brat nauczyć  wołać  : abba ojciec! abba ojciec! abba ojciec!  kościół  drzewo życie  wieczność zapuszczać korzeń, przenikać  codzienność  pokazować  . abba ojciec! abba ojciec! abba ojciec! bóg hojny dawca  życie,  wyswobodzić   śmierć  przygarniać  siebie uczynić swój dziecko. abba ojciec! abba ojciec! abba ojciec!   brat,   rodzina.  prawda    zaćmić     godzina. abba ojciec! abba ojciec! abba ojciec! "" ",Abba Ojcze
""" alleluja, alleluja, alleluja, alleluja.  zabrzmieć  chwała  niebiosa,  wysokość cześć  oddać, wielbić Pan duch niebieski, wielbić Pan  zastęp. alleluja, alleluja, alleluja, alleluja. słońce, Księżyc wielbić Pan, gwiazda świecący wielbić Pan, niebiosa niebiosa wielbić Pan, woda podniebny wielbić Pan. alleluja, alleluja, alleluja, alleluja.   wielbić imię Pan,   słowo stwarzać wciąż ,    imię  wzniosły, niechaj  wiek brzmieć  chwała. alleluja, alleluja, alleluja, alleluja.  dawać siła swój lud,  proch podnosić swój przyjaciel,  bóg bliscy  Izrael, swój wybrać   umacniać. alleluja, alleluja, alleluja, alleluja.  zabrzmieć chwała ojciec, CO stwarzać,  syn,   Pan, duch,    zamieszkiwać  wszystek wiek wiek. amen. "" ",Alleluja (Niech zabrzmi Panu)
""" bóg  umiłować Świat,  syn swój jednorodzony dać,      wierzyć  zginąć,  życie wieczny mieć.  Jezus, Jezus, Jezus! "" ","Alleluja, Alleluja, Amen Amen, Alleluja"
"""  piękność niestworzony   raz poznać    pokochać  móc. czuć,  tonąć     ziarenko piasek  bezdenny ocean czuć,   mieć   kropla krew  ,    płonąć miłość  . miłosierdzie boży "" ","Blisko, blisko, blisko jesteś"
"""  stworzyciel, duch, przyjść, nawiedzić dusza wierny  krąg. niebieski łaska zesłać raczyć serce, CO dzieło   ręka. pocieszyciel  zwan  wysoki bóg dar. tyś namaszczenie  dusza, zdrój żywy, miłość, ogień żar.  darzyć łaska siedemkroć,  moc  prawica ojciec mieć,  bóg obiecać , mowa wzbogacać język . światło rozjaśnić  myśl,  serce  miłość święty wlać  wątły słabość  ciało pokrzepić stałość moc . nieprzyjaciel odpędzić  dal   pokój obdarzyć wraz.   droga  przewód  minąć zło, CO kusić . dać    ojciec znać, dać,   syn poznać .  ,  tchnienie ,  wyznawać  wszystek siła.  bóg ojciec chwała brzmieć, syn,  zmartwychwstać,   CO pocieszać   hołd wieczysty pynie chwała. amen. "" ",Bo góry mogą ustąpić
"""  wychwalać  wszystek naród  wysławiać  wszystek lud.  łaskawość   potężny,   wierność trwać  wiek.  alleluja, alleluja!!! "" ",Bo jak śmierć potężna jest miłość
"""  chcieć zbyt wysoko sięgać Pan, patrzeć   pycha lśnić  chwała chociaż  wyniosły  mieszkanie,  zazdrość godny świat pałac. oczekiwać  Pan,   oczekiwanie uspokajać serce , uciszyć   pokój .  chcieć   wywyższać serce ,  pragnąć   próg  cisz   próg siedzieć  cieszyć ,    bóg oczekiwać  Pan,   oczekiwanie uspokajać serce , uciszyć   pokój . "" ",Boże Twa łaska
""" oczyścić serce , chcieć  złoto lśnić   czysty srebro. oczyścić serce , chcieć czysty złoto, blask lśnić. zstąpić ogień, zstąpić, przyjść oczyścić serce , pragnąć  święty,  oddany, Pan. chcieć   święty,   mistrz   oddany, gotowy,  służyć . oczyścić serce , obmyć swój krew, sprawa,  móc  święty. oczyścić serce ,  tajny grzech oczyścić . zstąpić ogień, zstąpić, przyjść oczyścić serce , pragnąć  święty,  oddany, Pan. chcieć   święty,   mistrz   oddany, gotowy,  służyć . "" ",Była cicha i piękna jak wiosna
""" oddać cześć wieczny  chwała, pokłonić , temu  rozpostrzeć niebiosa  utwierdzić Ziemia krąg.  chwała wznosić   szczyt góra.  łaska   ,  niebo  tron! bóg   Pan   ! "" ",Bóg nasz Pan
uczynić  gałązka  krzew winny duch płonąć  ognisty krzew  liść   zwiędnąć  oczyścić   pozwolić  siebie trwać odnowa  dać przynosić dobry owoc wyzwolić   nowy życie dać zasadzić   płynąć żywy woda. uświęcić   nauczyć  siebie trwać   miłować dusza  wskazać   paść stado swój  źródło woda żywy  prowadzić   błąkać  szukać . odnowa  dać przynosić dobry owoc wyzwolić   nowy życie dać zasadzić   płynąć żywy woda. uświęcić   nauczyć  siebie trwać ,Bóg tak umiłował świat
