txt_pl_lem,title
"""ty wyzwolićbyć my Pan z kajdany i sam siebie, a Chrystus stawać się brat nauczyć my wołać do ty: abba ojciec! abba ojciec! abba ojciec! bo kościół jak drzewo życie w wieczność zapuszczać korzenie, przenikać nasz codzienność i pokazować my ty. abba ojciec! abba ojciec! abba ojciec! bóg hojny dawca być życie, on wyswobodzić my z śmierć i przygarniać do siebie uczynić swoje dziecko. abba ojciec! abba ojciec! abba ojciec! wszyscy być brat, być jeden rodzina. ten prawda nic już nie zaćmić i teraz być on godzina. abba ojciec! abba ojciec! abba ojciec! "" ",Abba Ojcze
""" alleluja, alleluja, alleluja, alleluja. niech zabrzmieć pan chwała w niebios, na wysokość cześć niech oddać, wielbić Pan duch niebieski, wielbić Pan on zastęp. alleluja, alleluja, alleluja, alleluja. słońce, Księżyc wielbić Pan, gwiazda świecący wielbić Pan, niebiosa niebios wielbić Pan, woda podniebny wielbić Pan. alleluja, alleluja, alleluja, alleluja. niech wszyscy wielbić imię Pan, bo on słowo stwarzać wciąż wszystko, bo tylko on imię być wzniosły, niechaj na wiek brzmieć on chwała. alleluja, alleluja, alleluja, alleluja. on dawać siła swój lud, z proch podnosić swoje przyjaciel, on bóg bliscy dla Izrael, swoje wybrana on sam umacniać. alleluja, alleluja, alleluja, alleluja. niech zabrzmieć chwała ojciec, co stwarzać, on syn, który być Pan, duch, który w my zamieszkiwać przez wszystek wiek wiek. amen. "" ",Alleluja (Niech zabrzmi Panu)
""" bóg tak umiłować świat, że syn swój jednorodzony dać, aby każdy kto w on wierzyć nie zginąć, ale życie wieczny miał. o Jezus, Jezus, Jezus! "" ","Alleluja, Alleluja, Amen Amen, Alleluja"
""" o piękność niestworzony kto ty raz poznać ten nic inny pokochać nie może. czuja, że tona w nim jako jedno ziarenko piasek w bezdenny ocean czuja, że nie mój ani jeden kropla krew w ja, który by nie płonąć miłość ku ty. miłosierdzie bóg "" ","Blisko, blisko, blisko jesteś"
""" o stworzyciel, duch, przyjść, nawiedzić dusz wierna ty krąg. niebieski łaska zesłać raczyć serce, co dzieło być twój ręka. pocieszyciel być zwan i najwyższy bóg dar. tybyć namaszczenie nasi dusz, zdrój żywy, miłość, ogień żar. ty darzyć łaska siedemkroć, bo moc z prawica ojciec mieć, przez bóg obiecać my, mowa wzbogacać język nasz. światło rozjaśnić nasz myśl, w serce my miłość święta wlać i wątły słabość nasi ciało pokrzepić stałość moc twój. nieprzyjaciel odpędzić w dal i twój pokój obdarzyć wraz. niech w droga za przewód twój minąć zło, co kusy my. dać my przez ty ojciec znać, dać, by i syn poznać być. i ty, jedno tchnienie dwa, niech wyznawać z wszyscy siła. niech bóg ojciec chwała brzmieć, syn, który zmartwychwstać, i temu co pocieszać my niech hołd wieczysty pynie chwała. amen. "" ",Bo góry mogą ustąpić
""" o wychwalać go wszystek naród i wysławiać go wszystek lud. on łaskawość nad my potężny, a on wierność trwać na wiek. o alleluja, alleluja!!! "" ",Bo jak śmierć potężna jest miłość
""" nie chcieć zbyt wysoko sięgać Pan, patrzeć tam gdzie pycha lśnić i chwała chociaż tak wyniosły on mieszkanie, choć zazdrość godny świat pałac. oczekiwać ty Pan, być mój oczekiwanie uspokajać serce moja, uciszyć być i pokój mój. nie chcieć by się wywyższać serce wszystko, czego pragnąć to twój próg w cisz na twój próg siedzieć być cieszyć się, że być moi bóg oczekiwać ty Pan, być mój oczekiwanie uspokajać serce moja, uciszyć być i pokój mój. "" ",Boże Twa łaska
""" oczyścić serce mój, chcieć jak złoto lśnić i jak czysta srebro. oczyścić serce mój, chcieć czysty złoto, blask lśnić. zstąpić ogień, zstąpić, przyjść oczyścić serce mój, pragnąć być święty, ty oddany, Pan. chcieć zawsze być święty, ty mój mistrz na zawsze oddany, gotowy, by służyć ci. oczyścić serce mój, obmyć swój krew, sprawa, bybyć móc być święty. oczyścić serce mój, z tajny grzech oczyścić on. zstąpić ogień, zstąpić, przyjść oczyścić serce mój, pragnąć być święty, ty oddany, Pan. chcieć zawsze być święty, ty mój mistrz na zawsze oddany, gotowy, by służyć ci. "" ",Była cicha i piękna jak wiosna
""" oddać cześć wieczny pan chwała, pokłonić się, temu który rozpostrzeć niebiosa i utwierdzić ziemia krąg. on chwała wznosić się ponad szczyt góra. on łaska nad my być, a niebo on tron! bóg to nasz Pan i tylko on! "" ",Bóg nasz Pan
uczynić ja gałązka w krzew winna duch płonący jak ognisty krzew niech list mój nie zwiędnąć nigdy oczyścić ja i pozwolić w siebie trwać odnowa ja dać przynosić dobry owoc wyzwolić ja i nowa życie dać zasadzić ja nad płynąć żywy woda. uświęcić ja i nauczyć w siebie trwać ty który miłować dusza moja wskazać mi gdzie paść stado swój ku źródło woda żywy ja prowadzić bybyć nie błąkać się szukać ty. odnowa ja dać przynosić dobry owoc wyzwolić ja i nowa życie dać zasadzić ja nad płynąć żywy woda. uświęcić ja i nauczyć w siebie trwać ,Bóg tak umiłował świat
