title,pl,en
Abba Ojcze,"Ty wyzwoliłeś nas Panie  z kajdan i samych siebie,  a Chrystus stając się bratem  nauczył nas wołać do Ciebie:  Abba Ojcze! Abba Ojcze! Abba Ojcze!  Bo Kościół jak drzewo życia w wieczności zapuszcza korzenie, przenika naszą codzienność i pokazuje nam Ciebie. Abba Ojcze! Abba Ojcze! Abba Ojcze!  Bóg hojnym Dawcą jest życia, on wyswobodził nas z śmierci i przygarniając do siebie uczynił swoimi dziećmi. Abba Ojcze! Abba Ojcze! Abba Ojcze!  Wszyscy jesteśmy braćmi, jesteśmy jedną rodziną. Tej prawdy nic już nie zaćmi i teraz jest jej godzina. Abba Ojcze! Abba Ojcze! Abba Ojcze! ","You delivered us from chains and ourselves, and Christ, by becoming a brother, taught us to call to You: Abba, Father! Abba, Father! Abba, Father! For the Church, like the tree of life in eternity, roots, penetrates our everyday life and shows us to You. Abba, Father! Abba, Father! Abba, Father! God is a generous Giver of life, he has freed us from death and made us children by taking in each other. Abba, Father! Abba, Father! Abba, Father! We are all brothers, we are one family. There is nothing darkening this truth and now is her hour. Abba, Father! Abba, Father! Abba, Father!"
Alleluja (Niech zabrzmi Panu)," Alleluja, Alleluja, Alleluja, Alleluja.   Niech zabrzmi Panu  chwała w niebiosach,  na wysokościach cześć niech oddadzą,  wielbijcie Pana duchy niebieskie,  wielbijcie Pana Jego zastępy.  Alleluja, Alleluja, Alleluja, Alleluja.   Słońce, Księżycu wielbijcie Pana, gwiazdy świecące wielbijcie Pana, niebiosa niebios wielbijcie Pana, wody podniebne wielbijcie Pana.  Alleluja, Alleluja, Alleluja, Alleluja.   Niech wszyscy wielbią Imię Pana, bo Jego słowo stwarza wciąż wszystko, bo tylko Jego Imię jest wzniosłe, niechaj na wieku brzmi Jego chwała.  Alleluja, Alleluja, Alleluja, Alleluja.   On daje siłę swemu ludowi, z prochu podnosi swoich przyjaciół, jego Bogiem bliskim dla Izraela, swoich wybranych On sam umacnia.  Alleluja, Alleluja, Alleluja, Alleluja.   Niech zabrzmi chwała Ojcu,  co stwarza, Jego synowi, który jest Panem, Duchowi, który w nas zamieszkuje przez wszystkie wieki wieków. Amen. ","Alleluia, Alleluia, Alleluia, Alleluia. Let the glory of the heavens be heard in the heavens, let the worship be in heaven, worship the Lord the heavenly spirits, worship the Lord His hosts. Alleluia, Alleluia, Alleluia, Alleluia. Sun, moon, worship the Lord, shining stars, praise the Lord, the heavens of heaven, worship the Lord, so that you should exalt the Lord. Alleluia, Alleluia, Alleluia, Alleluia. Let all praise the name of the Lord, for his word still creates everything, for only his name is sublime, let his glory be at the age. Alleluia, Alleluia, Alleluia, Alleluia. He gives strength to his people, he raises his friends from dust, his God close to Israel, his chosen ones, he strengthens himself. Alleluia, Alleluia, Alleluia, Alleluia. Let the glory be to the Father, which he creates, to his son, who is the Lord, the Spirit who dwells in us through all ages. Amen."
"Alleluja, Alleluja, Amen Amen, Alleluja"," Alleluja, Alleluja,  Amen, Amen, Alleluja.   Pokłońmy się przed Nim –  On naszym Panem jest  Pokłońmy się przed Nim –  On naszym Panem Amen, Amen, Alleluja.  Alleluja, Alleluja,  Amen, Amen, Alleluja.   Jezus Chrystus zmartwychwstał –  On naszym Panem jest  Jezus Chrystus zmartwychwstał –  On naszym Panem Amen, Amen, Alleluja.  Alleluja, Alleluja,  Amen, Amen, Alleluja.   Radujmy się bracia –  On naszym Panem jest  Radujmy się wszyscy –  On naszym Panem. Amen, Amen, Alleluja.  Alleluja, Alleluja,  Amen, Amen, Alleluja.   Posyła nam Ducha –  On naszym Panem jest  Posyła nam Ducha –  On naszym Panem. Amen, Amen, Alleluja. ","Alleluia, Alleluia, Amen, Amen, Alleluia. Let us bow before Him - He is our Lord, let us bow before Him - He is our Lord Amen, Amen, Alleluia. Alleluia, Alleluia, Amen, Amen, Alleluia. Jesus Christ is resurrected - He is our Lord Jesus Christ is resurrected - He is our Lord Amen, Amen, Alleluia. Alleluia, Alleluia, Amen, Amen, Alleluia. Rejoice, brothers - He is our Lord, let us all rejoice - He is our Lord. Amen, Amen, Alleluia. Alleluia, Alleluia, Amen, Amen, Alleluia. He sends us the Spirit - He is our Lord, He sends us the Spirit - He is our Lord. Amen, Amen, Alleluia."
"Blisko, blisko, blisko jesteś"," Blisko, blisko, blisko Jesteś Panie mój Blisko tak, że czuję tchnienie Twe  I przychodzisz do mnie Już dotykasz mnie Łaską przebaczenia Karmisz moją duszę ","Close, close, close You are my Lord, Close to me, that I feel my breath and come to me You touch me with Grace of forgiveness You feed my soul"
Bo góry mogą ustąpić," Bo góry mogą ustąpić i pagórki się zachwiać.  Ale miłość Moja, miłość Moja nigdy nie odstąpi od Ciebie mówi Pan. ","Because the mountains can give way and the hills get swayed. But my love, my love will never depart from you, says the Lord."
Bo jak śmierć potężna jest miłość," Bo jak śmierć potężna jest Miłość A zazdrość jej nieprzejednana jak szeol. Żar jej to żar ognia Płomień Pański Wody wielkie nie zdołają ugasić miłości  Nie zatopią, nie zatopią jej rzeki. ","For how death is powerful Love and jealousy are as intransigent as sheol. Its heat is the heat of fire. The flame of the Lord. The great waters can not quench love. They will not sink, they will not sink the river."
Boże Twa łaska," Boże Twa łaska nad nami jest, Twoja miłość przychodzi wciąż, działasz mocy pośród nas, przenikasz serca gładzisz grzech.  My chcemy więcej Ciebie  więcej łaski Twej,  pragniemy więcej mocy,  więcej miłości Twojej. ","God, your grace is over us, your love is coming, you are working power among us, you are penetrating your hearts, you are stroking sin. We want more Your grace more, we want more power, more Your love."
Była cicha i piękna jak wiosna," Była cicha i piękna jak wiosna, Żyła prosto, zwyczajnie jak my. Ona Boga na świat nam przyniosła  I na ziemi wśród łez nowe dni zajaśniały.    Matka, która wszystko rozumie, Sercem ogarnia każdego z nas. Matka zobaczyć dobro w nas umie, Ona jest z nami w każdy czas.  Dzisiaj światu potrzeba dobroci, By niepokój zwyciężyć i zło. Trzeba ciepła, co życie ozłoci, Trzeba Boga, więc ludziom,  Nieśmy Go, tak jak Ona.   Matka, która wszystko rozumie, Sercem ogarnia każdego z nas. Matka zobaczyć dobro w nas umie, Ona jest z nami w każdy czas. ","She was as quiet and beautiful as spring, she lived simply, just like us. She brought God to the world, and in the world new days were shining with tears. The mother who understands everything is overwhelmed by each one of us. Mother can see good in us, she is with us at all times. Today, the world needs goodness, To anxiety to overcome and evil. You need warmth, what life will goldeniate, You need God, so people, let us not Him, just like Her. The mother who understands everything is overwhelmed by each one of us. Mother can see good in us, she is with us at all times."
Bóg nasz Pan," Bóg nasz Pan jest dobry cały czas.  Więc uwielbij Go, więc uwielbij Go. ","God our Lord is good all the time. So, worship Him, so worship Him."
Bóg tak umiłował świat," Bóg tak umiłował świat, że Syna swego Jednorodzonego dał, aby każdy kto w Niego wierzy nie zginął, ale życie wieczne miał.  O Jezus, Jezus, Jezus! ","God loved the world so much that he gave his only Son, that whoever believes in him would not perish but have eternal life. For Jesus, Jesus, Jesus!"
