date,txt_pl_lem_tokenized
2018-12-02,"['pan', 'mówić', 'nadchodzić', 'dzień', 'wypełnić', 'pomyślny', 'zapowiedź', 'obwieścić', 'dom', 'izraelski', 'dom', 'judzki', 'ow', 'dzień', 'ow', 'czas', 'wzbudzić', 'dawid', 'potomek', 'sprawiedliwy', 'wymierzać', 'prawo', 'sprawiedliwość', 'ziemia', 'ow', 'dzień', 'juda', 'dostąpić', 'zbawienie', 'jerozolima', 'mieszkać', 'bezpiecznie', 'imię', 'nazywać', 'pan', 'sprawiedliwość', 'pan', 'wznosić', 'dusza', 'dać', 'poznać', 'droga', 'pan', 'nauczyć', 'chodzić', 'ścieżka', 'prowadzić', 'prawda', 'pouczenie', 'bóg', 'zbawca', 'mieć', 'nadzieja', 'dobry', 'pan', 'prawy', 'wskazywać', 'droga', 'grzesznik', 'pomagać', 'pokorny', 'czynić', 'pokorny', 'uczyć', 'droga', 'swój', 'wszystek', 'ścieżka', 'pan', 'pewien', 'pełny', 'łaska', 'strzec', 'prawo', 'przymierze', 'bóg', 'powierzać', 'swój', 'zamiar', 'bać', 'objawiać', 'swój', 'przymierze', 'jezus', 'powiedzieć', 'swój', 'uczeń', 'znak', 'słońce', 'księżyc', 'gwiazda', 'ziemia', 'trwoga', 'naród', 'bezradny', 'wobec', 'szum', 'morze', 'nawałnica', 'człowiek', 'mdleć', 'strach', 'oczekiwać', 'wydarzenie', 'zagrażać', 'ziemia', 'moc', 'niebiosa', 'zostać', 'wstrząsnąć', 'ujrzeć', 'syn', 'człowieczy', 'przychodzić', 'obłok', 'wielki', 'moc', 'chwała', 'dziać', 'zacząć', 'nabrać', 'duch', 'podnieść', 'głowa', 'zbliżać', 'odkupienie', 'uważać', 'siebie', 'serce', 'ociężały', 'wskutek', 'obżarstwo', 'pijaństwo', 'troska', 'doczesny', 'dzień', 'przypaść', 'znienacka', 'potrzask', 'przyjść', 'wszystek', 'mieszkać', 'ziemia', 'czuwać', 'modlić', 'czas', 'móc', 'uniknąć', 'co', 'mieć', 'nastąpić', 'stanąć', 'syn', 'człowieczy']"
2018-12-03,"['ow', 'dzień', 'odrośl', 'pan', 'stanąć', 'ozdoba', 'chwała', 'owoc', 'ziemia', 'przepych', 'krasa', 'ocalały', 'izrael', 'pozostać', 'żywy', 'syjon', 'ostać', 'jeruzalem', 'nazwać', 'święty', 'wpisać', 'księga', 'życie', 'jeruzalem', 'pan', 'obmyć', 'brud', 'córa', 'syjoński', 'krew', 'rozlany', 'oczyścić', 'wewnątrz', 'jeruzalem', 'tchnienie', 'sąd', 'tchnienie', 'pożoga', 'pan', 'przyjść', 'spocząć', 'przestrzeń', 'góra', 'syjon', 'zgromadzić', 'dno', 'obłok', 'dym', 'noc', 'olśniewający', 'płomień', 'ogień', 'wszystek', 'chwała', 'pan', 'osłona', 'namiot', 'dzień', 'dać', 'cień', 'skwar', 'ucieczka', 'schronienie', 'nawałnica', 'ulewa', 'iść', 'radość', 'spotkanie', 'pan', 'ucieszyć', 'powiedzieć', 'pójść', 'dom', 'pan', 'stać', 'stopa', 'bram', 'jeruzalem', 'wstępować', 'pokolenie', 'pański', 'zgodnie', 'prawo', 'wielbić', 'imię', 'pan', 'ustawić', 'tron', 'sędziowski', 'tron', 'dom', 'dawid', 'prosić', 'pokój', 'jeruzalem', 'żyć', 'pokój', 'miłować', 'pokój', 'panować', 'mur', 'pomyślność', 'pałac', 'wzgląd', 'brat', 'przyjaciel', 'wołać', 'pokój', 'wzgląd', 'dom', 'pan', 'bóg', 'modlić', 'dobro', 'jezus', 'wejść', 'kafarnaum', 'zwrócić', 'setnik', 'prosić', 'mówić', 'pan', 'sługa', 'leżeć', 'dom', 'sparaliżować', 'cierpieć', 'rzec', 'jezus', 'przyjść', 'uzdrowić', 'setnik', 'odpowiedzieć', 'pan', 'godny', 'wejść', 'dach', 'powiedzieć', 'słowo', 'sługa', 'odzyskać', 'zdrowie', 'podlegać', 'władza', 'mieć', 'siebie', 'żołnierz', 'mówić', 'temu', 'iść', 'iść', 'drugi', 'chodzić', 'przychodzić', 'sługa', 'zrobić', 'robić', 'jezus', 'usłyszeć', 'zdziwić', 'rzec', 'iść', 'zaprawdę', 'powiadać', 'nikt', 'izrael', 'znaleźć', 'wielki', 'wiara', 'powiadać', 'przyjść', 'wschód', 'zachód', 'zasiąść', 'stół', 'abraham', 'izaak', 'jakub', 'królestwo', 'niebieski']"
2018-12-04,"['wyrosnąć', 'różdżka', 'pień', 'jessego', 'wypuścić', 'odrośl', 'korzeń', 'spocząć', 'duch', 'pan', 'duch', 'mądrość', 'rozum', 'duch', 'rada', 'męstwo', 'duch', 'wiedza', 'bojaźń', 'pan', 'upodobać', 'siebie', 'bojaźń', 'pan', 'sądzić', 'pozór', 'ni', 'wyrokować', 'pogłoska', 'raczy', 'rozsądzić', 'biedny', 'sprawiedliwie', 'pokorny', 'kraj', 'wydać', 'słuszny', 'wyrok', 'rózga', 'swój', 'usta', 'uderzyć', 'gwałtownik', 'tchnienie', 'swój', 'warga', 'uśmiercić', 'bezbożny', 'sprawiedliwość', 'pas', 'biodro', 'wierność', 'przepasać', 'lędźwie', 'wilk', 'zamieszkać', 'wraz', 'baranek', 'pantera', 'koźlę', 'razem', 'leżeć', 'cielę', 'lew', 'paść', 'społem', 'mały', 'chłopiec', 'poganiać', 'krowa', 'niedźwiedzica', 'przestawać', 'przyjaźnie', 'młody', 'razem', 'legać', 'lew', 'wół', 'jadać', 'słoma', 'niemowlę', 'igrać', 'nora', 'kobra', 'dziecko', 'włożyć', 'swój', 'ręka', 'kryjówka', 'żmija', 'zło', 'czynić', 'zgubnie', 'działać', 'święty', 'góra', 'kraj', 'napełnić', 'znajomość', 'pan', 'kształt', 'woda', 'przepełniać', 'morze', 'ow', 'dzień', 'stanąć', 'korzeń', 'jessego', 'stać', 'znak', 'naród', 'lud', 'przyjść', 'modlitwa', 'sławny', 'miejsce', 'spoczynek', 'pokój', 'zakwitnąć', 'pan', 'przybyć', 'bóg', 'przekazać', 'sąd', 'król', 'sprawiedliwość', 'syn', 'królewski', 'lud', 'rządzić', 'sprawiedliwie', 'ubogi', 'prawo', 'dzień', 'zakwitnąć', 'sprawiedliwość', 'wielki', 'pokój', 'księżyc', 'zgasnąć', 'panować', 'morze', 'morze', 'rzeka', 'kraniec', 'ziemia', 'wyzwolić', 'biedak', 'wzywać', 'ubogi', 'co', 'mieć', 'opieka', 'zmiłować', 'biedny', 'ubogi', 'nędzarz', 'ocalić', 'śmierć', 'imię', 'trwać', 'wiek', 'długo', 'świecić', 'słońce', 'trwać', 'imię', 'imienie', 'wzajemnie', 'błogosławić', 'wszystek', 'naród', 'ziemia', 'życzyć', 'szczęście', 'jezus', 'rozradować', 'duch', 'święty', 'rzec', 'wysławiać', 'ojciec', 'pan', 'niebo', 'ziemia', 'zakryć', 'rzecz', 'mądry', 'roztropny', 'objawić', 'prostaczek', 'ojciec', 'upodobanie', 'ojciec', 'przekazać', 'nikt', 'wiedzieć', 'syn', 'ojciec', 'ojciec', 'syn', 'syn', 'zechcieć', 'objawić', 'potem', 'zwrócić', 'uczeń', 'rzec', 'szczęśliwy', 'oko', 'widzieć', 'co', 'widzieć', 'powiadać', 'prorok', 'król', 'pragnąć', 'ujrzeć', 'co', 'widzieć', 'ujrzeć', 'usłyszeć', 'co', 'słyszeć', 'usłyszeć']"
2018-12-06,"['dzień', 'śpiewać', 'pieśń', 'ziemia', 'judzki', 'miasto', 'mieć', 'potężny', 'środek', 'ocaleć', 'sprawić', 'mur', 'przedmur', 'otworzyć', 'bram', 'wejść', 'naród', 'sprawiedliwy', 'dochowywać', 'wierność', 'charakter', 'stateczny', 'kształtować', 'pokój', 'pokój', 'zaufać', 'złożyć', 'nadzieja', 'pan', 'wiekuisty', 'skała', 'poniżyć', 'przebywać', 'szczyt', 'upokorzyć', 'miasto', 'niedostępny', 'upokorzyć', 'ziemia', 'sprawić', 'proch', 'runąć', 'podeptać', 'noga', 'noga', 'biedny', 'stopa', 'ubogi', 'błogosławiony', 'iść', 'pan', 'wysławiać', 'pan', 'dobry', 'łaska', 'trwać', 'wiek', 'uciec', 'pan', 'pokładać', 'ufność', 'człowiek', 'uciec', 'pan', 'pokładać', 'ufność', 'książę', 'otworzyć', 'brama', 'sprawiedliwość', 'wejść', 'podziękować', 'brama', 'pan', 'wejść', 'sprawiedliwy', 'dziękować', 'żeś', 'wysłuchać', 'stać', 'zbawca', 'pan', 'wybawić', 'pan', 'dać', 'pomyślność', 'błogosławiony', 'przybywać', 'imię', 'pański', 'błogosławić', 'pański', 'dom', 'pan', 'bóg', 'dawać', 'światło', 'jezus', 'powiedzieć', 'swój', 'uczeń', 'mówić', 'pan', 'pan', 'wejść', 'królestwo', 'niebieski', 'spełniać', 'wola', 'ojciec', 'niebo', 'słowo', 'słuchać', 'wypełniać', 'porównać', 'człowiek', 'roztropny', 'dom', 'swój', 'zbudować', 'skała', 'spaść', 'deszcz', 'wezbrać', 'potok', 'zerwać', 'wicher', 'uderzyć', 'dom', 'runąć', 'skała', 'utwierdzić', 'słowo', 'słuchać', 'wypełniać', 'porównać', 'człowiek', 'nierozsądny', 'dom', 'swój', 'zbudować', 'piasek', 'spaść', 'deszcz', 'wezbrać', 'potok', 'zerwać', 'wicher', 'rzucić', 'dom', 'runąć', 'upadek', 'wielki']"
2018-12-09,"['złoże', 'jeruzalem', 'szata', 'smutek', 'utrapienie', 'swój', 'przywdziać', 'wspaniały', 'szata', 'chwała', 'dana', 'pan', 'oblec', 'płaszcz', 'sprawiedliwość', 'pochodzić', 'bóg', 'włożyć', 'głowa', 'swój', 'korona', 'chwała', 'przedwieczny', 'bóg', 'chcieć', 'pokazać', 'wspaniałość', 'co', 'niebo', 'imię', 'bóg', 'wiek', 'nazwać', 'pokój', 'sprawiedliwość', 'chwała', 'pobożność', 'podnieść', 'jeruzalem', 'stanąć', 'miejsce', 'wysoki', 'spojrzeć', 'wschód', 'zobaczyć', 'dziecko', 'zgromadzić', 'słowo', 'święty', 'wschód', 'słońce', 'zachód', 'rozradowany', 'bóg', 'pamiętać', 'wyjść', 'pieszo', 'pędzić', 'wróg', 'bóg', 'przyprowadzić', 'nieść', 'chwała', 'tron', 'królewski', 'postanowić', 'bóg', 'zniżyć', 'góra', 'wysoki', 'pagórek', 'odwieczny', 'dół', 'zasypać', 'zrównać', 'ziemia', 'bezpiecznie', 'móc', 'kroczyć', 'izrael', 'chwała', 'pan', 'rozkaz', 'pan', 'lasa', 'drzewo', 'pachnieć', 'ocieniać', 'izrael', 'radość', 'poprowadzić', 'bóg', 'izrael', 'światło', 'swój', 'chwała', 'właściwy', 'siebie', 'sprawiedliwość', 'miłosierdzie', 'pan', 'bóg', 'uczynić', 'wielki', 'rzecz', 'pan', 'odmienić', 'los', 'syjon', 'wydawać', 'śnić', 'usta', 'pełny', 'śmiech', 'język', 'śpiewać', 'radość', 'mówić', 'pogan', 'wielki', 'rzecz', 'pan', 'uczynić', 'odmienić', 'los', 'pan', 'odmieniać', 'strumień', 'południe', 'łza', 'siać', 'żąć', 'radość', 'iść', 'płakać', 'nieść', 'ziarno', 'zasiew', 'powrócić', 'radość', 'nieść', 'swój', 'snop', 'piętnasty', 'rok', 'rząd', 'tyberiusz', 'cezar', 'poncjusz', 'piłat', 'namiestnik', 'judea', 'herod', 'tetrarcha', 'galilea', 'brat', 'filip', 'tetrarcha', 'iturei', 'kraj', 'trachonu', 'lizaniasz', 'tetrarcha', 'abileny', 'wysoki', 'kapłan', 'annasz', 'kajfasz', 'skierować', 'zostać', 'słowo', 'boży', 'jan', 'syn', 'zachariasz', 'pustynia', 'obchodzić', 'okolica', 'jordan', 'głosić', 'chrzest', 'nawrócić', 'odpuścić', 'grzech', 'napisać', 'księga', 'mowa', 'prorok', 'izajasz', 'głos', 'wołać', 'pustynia', 'przygotować', 'droga', 'prostować', 'ścieżka', 'dolina', 'wypełnić', 'góra', 'pagórek', 'zrównać', 'droga', 'kręty', 'stanąć', 'prosty', 'wyboisty', 'droga', 'gładki', 'wszystek', 'człowiek', 'ujrzeć', 'zbawienie', 'bóg']"
2018-12-10,"['rozweselić', 'pustynia', 'spiec', 'ziemia', 'radować', 'step', 'rozkwitnąć', 'wydać', 'kwiat', 'lilia', 'polny', 'rozradować', 'skakać', 'wykrzykiwać', 'uciecha', 'chwała', 'liban', 'obdarzyć', 'ozdoba', 'karmel', 'saron', 'zobaczyć', 'chwała', 'pan', 'wspaniałość', 'bóg', 'pokrzepić', 'ręka', 'osłabły', 'wzmocnić', 'kolano', 'omdlały', 'powiedzieć', 'małoduszny', 'odwaga', 'bać', 'bóg', 'pomsta', 'przychodzić', 'boży', 'odpłata', 'przychodzić', 'zbawić', 'przejrzeć', 'oko', 'niewidomy', 'ucho', 'głuchy', 'otworzyć', 'chromy', 'wyskoczyć', 'jeleń', 'język', 'niemy', 'wesoło', 'krzyknąć', 'trysnąć', 'zdrój', 'woda', 'pustynia', 'strumień', 'step', 'spiec', 'ziemia', 'zmienić', 'staw', 'spragniony', 'kraj', 'krynica', 'woda', 'badyl', 'kryjówka', 'legać', 'szakal', 'trzcina', 'sitowie', 'droga', 'czysty', 'nazwać', 'droga', 'święty', 'przejść', 'nieczysty', 'odbywać', 'podróż', 'głupi', 'wałęsać', 'lew', 'ni', 'zwierz', 'dziki', 'wstąpić', 'znajść', 'tamtędy', 'pójść', 'wyzwolony', 'odkupić', 'pan', 'powrócić', 'przybyć', 'syjon', 'radosny', 'śpiew', 'szczęście', 'wieczny', 'twarz', 'osiągnąć', 'radość', 'szczęście', 'ustąpić', 'smutek', 'wzdychać', 'bóg', 'przyjść', 'ażeby', 'zbawić', 'słuchać', 'co', 'mówić', 'pan', 'bóg', 'ogłaszać', 'pokój', 'lud', 'święty', 'swój', 'zaprawdę', 'bliski', 'zbawienie', 'bać', 'chwała', 'zamieszkać', 'ziemia', 'spotkać', 'siebie', 'łaska', 'wierność', 'ucałować', 'sprawiedliwość', 'pokój', 'wierność', 'ziemia', 'wyrosnąć', 'sprawiedliwość', 'spojrzeć', 'niebo', 'pan', 'obdarzyć', 'szczęście', 'ziemia', 'wydać', 'swój', 'owoc', 'kroczyć', 'sprawiedliwość', 'ślad', 'krok', 'zbawienie', 'pewien', 'dzień', 'jezus', 'nauczać', 'siedzieć', 'faryzeusz', 'uczony', 'prawo', 'przyjść', 'wszystek', 'miejscowość', 'galilea', 'judea', 'jerozolima', 'moc', 'pański', 'móc', 'uzdrawiać', 'wtem', 'człowiek', 'nieść', 'łoże', 'człowiek', 'sparaliżować', 'starać', 'wnieść', 'położyć', 'móc', 'powód', 'tłum', 'przynieść', 'wyjść', 'płaski', 'dach', 'powała', 'spuścić', 'wraz', 'łoże', 'środek', 'jezus', 'widzieć', 'wiara', 'rzec', 'człowiek', 'odpuszczać', 'grzech', 'uczony', 'pismo', 'faryzeusz', 'począć', 'zastanawiać', 'mówić', 'któż', 'śmieć', 'mówić', 'bluźnierstwo', 'któż', 'móc', 'odpuszczać', 'grzech', 'prócz', 'bóg', 'jezus', 'przejrzeć', 'myśl', 'rzec', 'co', 'myśl', 'nurtować', 'serce', 'łatwie', 'powiedzieć', 'odpuszczać', 'grzech', 'powiedzieć', 'wstać', 'chodzić', 'wiedzieć', 'syn', 'człowieczy', 'mieć', 'ziemia', 'władza', 'odpuszczać', 'grzech', 'rzec', 'sparaliżować', 'mówić', 'wstać', 'wziąć', 'swój', 'łoże', 'iść', 'dom', 'wstać', 'wobec', 'wziąć', 'łoże', 'leżeć', 'pójść', 'dom', 'wielbić', 'bóg']"
2018-12-11,"['pocieszyć', 'pocieszyć', 'lud', 'mówić', 'bóg', 'przemawiać', 'serce', 'jeruzalem', 'wołać', 'czas', 'służba', 'skończyć', 'nieprawość', 'odpokutować', 'odebrać', 'ręka', 'pan', 'kara', 'dwójnasób', 'wszystek', 'swój', 'grzech', 'głos', 'rozlegać', 'przygotować', 'pustynia', 'droga', 'pan', 'wyrównać', 'pustkowie', 'gościniec', 'bóg', 'podnieść', 'wszystek', 'dolina', 'wszystek', 'góra', 'wzgórze', 'obniżyć', 'równina', 'niechaj', 'stanąć', 'urwisko', 'stromy', 'zbocze', 'nizina', 'gładki', 'chwała', 'pan', 'objawić', 'zobaczyć', 'wszelki', 'ciało', 'powiedzieć', 'usta', 'pan', 'głos', 'odzywać', 'wołać', 'rzec', 'co', 'mieć', 'wołać', 'wszelki', 'ciało', 'trawa', 'wdzięk', 'niby', 'kwiat', 'polny', 'trawa', 'usychać', 'więdnąć', 'kwiat', 'wiatr', 'pan', 'powiać', 'prawdziwie', 'trawa', 'naród', 'trawa', 'usychać', 'więdnąć', 'kwiat', 'słowo', 'bóg', 'trwać', 'wiek', 'wstąpże', 'wysoki', 'góra', 'zwiastunka', 'dobry', 'nowina', 'syjon', 'podnieść', 'mocno', 'głos', 'zwiastunka', 'dobry', 'nowina', 'jeruzalem', 'podnieść', 'głos', 'bać', 'powiedzieć', 'miasto', 'judzki', 'bóg', 'pan', 'bóg', 'przychodzić', 'moc', 'ramię', 'dzierżeć', 'władza', 'nagroda', 'iść', 'zapłata', 'podobnie', 'pasterz', 'pas', 'swój', 'trzoda', 'gromadzić', 'swój', 'ramię', 'jagnię', 'nosić', 'swój', 'pierś', 'owca', 'karmić', 'prowadzić', 'łagodnie', 'pan', 'bóg', 'przyjść', 'wielki', 'moc', 'śpiewać', 'pieśń', 'nowy', 'śpiewać', 'ziemia', 'śpiewać', 'sławcio', 'imię', 'dzień', 'głosić', 'zbawienie', 'głosić', 'chwała', 'wśród', 'wszystek', 'naród', 'rozgłaszać', 'cud', 'pośród', 'wszystek', 'lud', 'głosić', 'wśród', 'lud', 'pan', 'król', 'sprawiedliwie', 'sądzić', 'wszystek', 'lud', 'radować', 'niebiosa', 'ziemia', 'wesoły', 'szumieć', 'morze', 'co', 'napełniać', 'ciesać', 'pol', 'co', 'rosnąć', 'wszystek', 'drzewo', 'las', 'wykrzykiwać', 'radość', 'oblicze', 'pan', 'zbliżać', 'zbliżać', 'sądzić', 'ziemia', 'sądzić', 'świat', 'sprawiedliwie', 'lud', 'swój', 'prawda', 'jezus', 'powiedzieć', 'swój', 'uczeń', 'zdawać', 'posiadać', 'sto', 'owca', 'zabłąkać', 'zostawić', 'dziewięćdziesiąt', 'dziewięć', 'góra', 'pójść', 'szukać', 'zabłąkać', 'udać', 'odnaleźć', 'zaprawdę', 'powiadać', 'cieszyć', 'dziewięćdziesiąt', 'dziewięć', 'zabłąkać', 'wola', 'ojciec', 'niebo', 'zginąć', 'mały']"
2018-12-12,"['któż', 'móc', 'porównać', 'dorównać', 'mówić', 'święty', 'podnieść', 'oko', 'góra', 'patrzeć', 'stworzyć', 'gwiazda', 'szyk', 'prowadzić', 'wojsko', 'wszystek', 'wołać', 'imienie', 'spod', 'potęga', 'olbrzymi', 'siła', 'nikt', 'uchylić', 'mówić', 'jakub', 'izrael', 'powtarzać', 'zakryty', 'droga', 'pan', 'prawo', 'bóg', 'przeoczyć', 'wiedzieć', 'czyś', 'słyszeć', 'pan', 'bóg', 'wieczny', 'stwórca', 'kraniec', 'ziemia', 'męczyć', 'nużyć', 'mądrość', 'niezgłębiony', 'dodawać', 'moc', 'zmęczony', 'pomnażać', 'siła', 'omdlały', 'chłopiec', 'męczyć', 'nuża', 'chwiać', 'słabnąć', 'młodzieniec', 'zaufać', 'odzyskiwać', 'siła', 'otrzymywać', 'skrzydło', 'orzeł', 'biec', 'zmęczenie', 'znużenie', 'iść', 'chwalić', 'błogosławić', 'dusza', 'pan', 'błogosławić', 'dusza', 'pan', 'co', 'święty', 'imię', 'błogosławić', 'dusza', 'pan', 'zapominać', 'wszystek', 'dobrodziejstwo', 'odpuszczać', 'wszystek', 'wina', 'uleczyć', 'wszystek', 'choroba', 'życie', 'ratować', 'zguba', 'obdarzać', 'łaska', 'zmiłowanie', 'miłosierny', 'pan', 'łaskawy', 'nieskory', 'gniew', 'cierpliwy', 'postępować', 'grzech', 'wina', 'odpłacać', 'jezus', 'przemówić', 'słowo', 'przyjść', 'wszystek', 'utrudzić', 'obciążyć', 'pokrzepić', 'wziąć', 'jarzmo', 'siebie', 'uczyć', 'łagodny', 'pokorny', 'serce', 'znajść', 'ukojenie', 'dusza', 'wasi', 'jarzmo', 'słodki', 'brzemię', 'lekki']"
2018-12-13,"['bóg', 'ująć', 'prawica', 'mówić', 'lękać', 'przychodzić', 'pomoc', 'bać', 'robaczek', 'jakub', 'nieborak', 'izrael', 'wspomagać', 'mówić', 'pan', 'odkupiciel', 'święty', 'izrael', 'przemieniać', 'młocarskie', 'sanie', 'nowy', 'podwójny', 'rząd', 'ząb', 'zmłócić', 'wykruszyć', 'góra', 'zmienić', 'pagórek', 'drobny', 'sieczka', 'przewiać', 'wicher', 'porwać', 'trąba', 'powietrzny', 'rozmieść', 'rozradować', 'chlubić', 'święty', 'izrael', 'nędzny', 'biedny', 'szukać', 'woda', 'mieć', 'język', 'wyschnąć', 'pragnienie', 'pan', 'wysłuchać', 'opuścić', 'bóg', 'izrael', 'kazać', 'wytrysnąć', 'strumień', 'nagi', 'wzgórze', 'źródło', 'woda', 'pośrodek', 'nizina', 'zamienić', 'pustynia', 'pojezierze', 'wyschnąć', 'ziemia', 'wodotrysk', 'pustynia', 'zasadzić', 'cedr', 'akacja', 'mirta', 'oliwka', 'rozkrzewić', 'pustkowie', 'cyprys', 'wiąz', 'bukszpan', 'siebie', 'ażeby', 'widzieć', 'poznać', 'rozważyć', 'pojąć', 'ręka', 'pan', 'uczynić', 'święty', 'izrael', 'dokonać', 'pan', 'łagodny', 'łaskawy', 'wielbić', 'bóg', 'król', 'sławić', 'imię', 'wszystek', 'wiek', 'pan', 'dobry', 'wszystek', 'miłosierdzie', 'co', 'stworzyć', 'wielbić', 'pan', 'wszystek', 'dzieło', 'błogosławić', 'święty', 'mówić', 'chwała', 'królestwo', 'głosić', 'potęga', 'syn', 'ludzki', 'oznajmić', 'potęga', 'wspaniałość', 'chwała', 'królestwo', 'królestwo', 'królestwo', 'wszystek', 'wiek', 'wszystek', 'pokolenie', 'panowanie', 'jezus', 'powiedzieć', 'tłum', 'zaprawdę', 'powiadać', 'narodzić', 'niewiasta', 'powstać', 'duży', 'jan', 'chrzciciel', 'mały', 'królestwo', 'niebieski', 'duży', 'czas', 'jan', 'chrzciciel', 'dotąd', 'królestwo', 'niebieski', 'doznawać', 'gwałt', 'człowiek', 'gwałtowny', 'zdobywać', 'prorok', 'prawo', 'prorokować', 'jan', 'chcieć', 'przyjąć', 'eliasz', 'mieć', 'przyjść', 'mieć', 'ucho', 'niechaj', 'słuchać']"
2018-12-16,"['wyśpiewywać', 'córa', 'syjoński', 'podnieść', 'radosny', 'okrzyk', 'izrael', 'ciesać', 'wesele', 'serce', 'córa', 'jeruzalem', 'pan', 'oddalić', 'wyrok', 'usunąć', 'nieprzyjaciel', 'król', 'izrael', 'pan', 'pośród', 'bać', 'zły', 'ow', 'dzień', 'powiedzieć', 'jerozolima', 'bać', 'syjon', 'słabnąć', 'ręka', 'pan', 'bóg', 'pośród', 'mocarz', 'dawać', 'zbawienie', 'unieść', 'wesele', 'odnowić', 'swój', 'miłość', 'wznieść', 'okrzyk', 'radość', 'dzień', 'uroczysty', 'święto', 'głosić', 'wesele', 'bóg', 'bóg', 'zbawienie', 'mieć', 'ufność', 'bać', 'pan', 'moc', 'pieśń', 'stać', 'zbawienie', 'wesele', 'czerpać', 'woda', 'zdrój', 'zbawienie', 'chwalić', 'pan', 'wzywać', 'imienie', 'dać', 'poznać', 'dzieło', 'naród', 'przypominać', 'wspaniały', 'imię', 'śpiewać', 'uczynić', 'wzniosły', 'rzecz', 'wiadomy', 'ziemia', 'wznosić', 'okrzyk', 'wołać', 'radość', 'mieszkanko', 'syjon', 'wielki', 'pośród', 'święty', 'izrael', 'jan', 'nauczać', 'jordan', 'pytać', 'tłum', 'mieć', 'czynić', 'odpowiadać', 'mieć', 'suknia', 'dać', 'mieć', 'mieć', 'żywność', 'samo', 'czynić', 'przychodzić', 'celnik', 'przyjąć', 'chrzest', 'pytać', 'nauczyciel', 'co', 'mieć', 'czynić', 'odpowiadać', 'pobierać', 'wyznaczyć', 'pytać', 'żołnierz', 'co', 'mieć', 'czynić', 'odpowiadać', 'nikt', 'znęcać', 'nikt', 'uciskać', 'poprzestawać', 'swój', 'żołd', 'lud', 'oczekiwać', 'napięcie', 'snuć', 'domysł', 'serce', 'co', 'jan', 'mesjasz', 'przemówić', 'chrzcić', 'woda', 'iść', 'mocny', 'godny', 'rozwiązać', 'rzemyk', 'sandał', 'chrzcić', 'duch', 'święty', 'ogień', 'mieć', 'wiejadło', 'ręka', 'oczyścić', 'swój', 'omłot', 'pszenica', 'zebrać', 'spichrz', 'plewy', 'spać', 'ogień', 'nieugaszony', 'napomnienie', 'dawać', 'lud', 'głosić', 'dobry', 'nowina']"
