title,txt_pl_lem_tokenized
Abba Ojcze,"['wyzwolić', 'kajdany', 'siebie', 'chrystus', 'stawać', 'brat', 'nauczyć', 'wołać', 'abba', 'ojciec', 'abba', 'ojciec', 'abba', 'ojciec', 'kościół', 'drzewo', 'życie', 'wieczność', 'zapuszczać', 'korzeń', 'przenikać', 'codzienność', 'pokazywać', 'abba', 'ojciec', 'abba', 'ojciec', 'abba', 'ojciec', 'bóg', 'hojny', 'dawca', 'życie', 'wyswobodzić', 'śmierć', 'przygarniać', 'siebie', 'uczynić', 'swój', 'dziecko', 'abba', 'ojciec', 'abba', 'ojciec', 'abba', 'ojciec', 'wszystek', 'brat', 'rodzina', 'prawda', 'zaćmić', 'godzina', 'abba', 'ojciec', 'abba', 'ojciec', 'abba', 'ojciec']"
Alleluja (Niech zabrzmi Panu),"['alleluja', 'alleluja', 'alleluja', 'alleluja', 'zabrzmieć', 'chwała', 'niebiosa', 'wysokość', 'cześć', 'oddać', 'wielbić', 'duch', 'niebieski', 'wielbić', 'zastęp', 'alleluja', 'alleluja', 'alleluja', 'alleluja', 'słońce', 'księżyc', 'wielbić', 'gwiazda', 'świecić', 'wielbić', 'niebiosa', 'niebiosa', 'wielbić', 'woda', 'podniebny', 'wielbić', 'alleluja', 'alleluja', 'alleluja', 'alleluja', 'wielbić', 'imię', 'słowo', 'stwarzać', 'wciąż', 'imię', 'wzniosły', 'niechaj', 'wiek', 'brzmieć', 'chwała', 'alleluja', 'alleluja', 'alleluja', 'alleluja', 'dawać', 'siła', 'swój', 'lud', 'proch', 'podnosić', 'swój', 'przyjaciel', 'bóg', 'bliski', 'izrael', 'swój', 'wybrać', 'umacniać', 'alleluja', 'alleluja', 'alleluja', 'alleluja', 'zabrzmieć', 'chwała', 'ojciec', 'stwarzać', 'syn', 'duchowy', 'zamieszkiwać', 'wszystek', 'wiek', 'wiek', 'amen']"
"Alleluja, Alleluja, Amen Amen, Alleluja","['bóg', 'umiłować', 'świat', 'syn', 'swój', 'jednorodzony', 'dać', 'wierzyć', 'zginąć', 'życie', 'wieczny', 'mieć', 'ojciec', 'jezus', 'jezus', 'jezus']"
"Blisko, blisko, blisko jesteś","['piękność', 'stworzyć', 'raz', 'poznać', 'pokochać', 'móc', 'czuć', 'tonąć', 'ziarenko', 'piasek', 'bezdenny', 'ocean', 'czuć', 'mieć', 'kropla', 'krew', 'płonąć', 'miłość', 'miłosierdzie', 'boży']"
Bo góry mogą ustąpić,"['stworzyciel', 'duch', 'przyjść', 'nawiedzić', 'dusz', 'wierny', 'krąg', 'niebieski', 'łaska', 'zesłać', 'raczyć', 'serce', 'dzieło', 'ręka', 'pocieszyciel', 'zwan', 'i', 'najwyższy', 'bóg', 'dar', 'tyś', 'namaścić', 'dusza', 'zdrój', 'żywy', 'miłość', 'ogień', 'żar', 'darzyć', 'łaski', 'siedemkroć', 'moc', 'prawica', 'ojciec', 'mieć', 'bóg', 'obiecać', 'mowa', 'wzbogacać', 'język', 'światło', 'rozjaśnić', 'myśl', 'serce', 'miłość', 'święty', 'wlać', 'i', 'wątły', 'słabość', 'ciało', 'pokrzepić', 'stałość', 'moc', 'nieprzyjaciel', 'odpędzić', 'dal', 'pokój', 'obdarzyć', 'wraz', 'droga', 'przewód', 'minąć', 'zło', 'kusić', 'dać', 'ojciec', 'znać', 'dać', 'syn', 'poznać', 'tchnienie', 'wyznawać', 'wszystek', 'siła', 'bóg', 'ojciec', 'chwała', 'brzmieć', 'syn', 'zmartwychwstać', 'temu', 'pocieszać', 'hołd', 'wieczysty', 'pynie', 'chwała', 'amen']"
Bo jak śmierć potężna jest miłość,"['wychwalać', 'wszystek', 'naród', 'wysławiać', 'wszystek', 'lud', 'łaskawość', 'potężny', 'wierność', 'trwać', 'wiek', 'alleluja', 'alleluja']"
Boże Twa łaska,"['chcieć', 'zbyt', 'wysoko', 'sięgać', 'patrzeć', 'pycha', 'lśnić', 'chwała', 'chociaż', 'wyniosły', 'mieszkanie', 'zazdrość', 'godny', 'świat', 'pałac', 'oczekiwać', 'oczekiwanie', 'uspokajać', 'serce', 'uciszyć', 'pokój', 'chcieć', 'wywyższać', 'serce', 'pragnąć', 'próg', 'cisza', 'próg', 'siedzieć', 'cieszyć', 'bóg', 'oczekiwać', 'oczekiwanie', 'uspokajać', 'serce', 'uciszyć', 'pokój']"
Była cicha i piękna jak wiosna,"['oczyścić', 'serce', 'chcieć', 'złoto', 'lśnić', 'czysty', 'srebro', 'oczyścić', 'serce', 'chcieć', 'czysty', 'złoto', 'blask', 'lśnić', 'zstąpić', 'ogień', 'zstąpić', 'przyjść', 'oczyścić', 'serce', 'pragnąć', 'święty', 'oddany', 'chcieć', 'święty', 'mistrz', 'oddany', 'gotowy', 'służyć', 'oczyścić', 'serce', 'obmyć', 'swój', 'krew', 'sprawa', 'móc', 'święty', 'oczyścić', 'serce', 'tajny', 'grzech', 'oczyścić', 'zstąpić', 'ogień', 'zstąpić', 'przyjść', 'oczyścić', 'serce', 'pragnąć', 'święty', 'oddany', 'chcieć', 'święty', 'mistrz', 'oddany', 'gotowy', 'służyć']"
Bóg nasz Pan,"['oddać', 'cześć', 'wieczny', 'chwał', 'pokłonić', 'rozpostrzeć', 'niebiosa', 'utwierdzić', 'ziemia', 'krąg', 'chwała', 'wznosić', 'szczyt', 'góra', 'łaska', 'niebo', 'tron', 'bóg']"
Bóg tak umiłował świat,"['uczynić', 'gałązka', 'krzew', 'winny', 'duch', 'płonąć', 'ognisty', 'krzew', 'liść', 'zwiędnąć', 'oczyścić', 'pozwolić', 'siebie', 'trwać', 'odnowić', 'dać', 'przynosić', 'dobry', 'owoc', 'wyzwolić', 'nowy', 'życie', 'dać', 'zasadzić', 'płynąć', 'żywy', 'woda', 'uświęcić', 'nauczyć', 'siebie', 'trwać', 'miłować', 'dusza', 'wskazać', 'paść', 'stado', 'swój', 'źródło', 'woda', 'żywy', 'prowadzić', 'błąkać', 'szukać', 'odnowić', 'dać', 'przynosić', 'dobry', 'owoc', 'wyzwolić', 'nowy', 'życie', 'dać', 'zasadzić', 'płynąć', 'żywy', 'woda', 'uświęcić', 'nauczyć', 'siebie', 'trwać']"
