title,txt_pl_lem_tokenized
Abba Ojcze,"['wyzwolić', 'pan', 'kajdany', 'siebie', 'chrystus', 'stawać', 'brat', 'nauczyć', 'wołać', 'abba', 'ojciec', 'abba', 'ojciec', 'abba', 'ojciec', 'kościół', 'drzewo', 'życie', 'wieczność', 'zapuszczać', 'korzenie', 'przenikać', 'codzienność', 'pokazować', 'abba', 'ojciec', 'abba', 'ojciec', 'abba', 'ojciec', 'bóg', 'hojny', 'dawca', 'życie', 'wyswobodzić', 'śmierć', 'przygarniać', 'siebie', 'uczynić', 'dziecko', 'abba', 'ojciec', 'abba', 'ojciec', 'abba', 'ojciec', 'brat', 'rodzina', 'prawda', 'zaćmić', 'godzina', 'abba', 'ojciec', 'abba', 'ojciec', 'abba', 'ojciec']"
Alleluja (Niech zabrzmi Panu),"['alleluja', 'alleluja', 'alleluja', 'alleluja', 'zabrzmieć', 'chwała', 'niebios', 'wysokość', 'cześć', 'oddać', 'wielbić', 'pan', 'duch', 'niebieski', 'wielbić', 'pan', 'zastęp', 'alleluja', 'alleluja', 'alleluja', 'alleluja', 'słońce', 'księżyc', 'wielbić', 'pan', 'gwiazda', 'świecący', 'wielbić', 'pan', 'niebiosa', 'niebios', 'wielbić', 'pan', 'woda', 'podniebny', 'wielbić', 'pan', 'alleluja', 'alleluja', 'alleluja', 'alleluja', 'wielbić', 'imię', 'pan', 'słowo', 'stwarzać', 'wciąż', 'imię', 'wzniosły', 'niechaj', 'wiek', 'brzmieć', 'chwała', 'alleluja', 'alleluja', 'alleluja', 'alleluja', 'dawać', 'siła', 'swój', 'lud', 'proch', 'podnosić', 'przyjaciel', 'bóg', 'bliscy', 'izrael', 'wybrana', 'umacniać', 'alleluja', 'alleluja', 'alleluja', 'alleluja', 'zabrzmieć', 'chwała', 'ojciec', 'stwarzać', 'syn', 'pan', 'duch', 'zamieszkiwać', 'wszystek', 'wiek', 'wiek', 'amen']"
"Alleluja, Alleluja, Amen Amen, Alleluja","['bóg', 'umiłować', 'świat', 'syn', 'swój', 'jednorodzony', 'dać', 'wierzyć', 'zginąć', 'życie', 'wieczny', 'miał', 'jezus', 'jezus', 'jezus']"
"Blisko, blisko, blisko jesteś","['piękność', 'niestworzony', 'raz', 'poznać', 'pokochać', 'czuja', 'tona', 'ziarenko', 'piasek', 'bezdenny', 'ocean', 'czuja', 'kropla', 'krew', 'płonąć', 'miłość', 'miłosierdzie', 'bóg']"
Bo góry mogą ustąpić,"['stworzyciel', 'duch', 'przyjść', 'nawiedzić', 'dusz', 'wierna', 'krąg', 'niebieski', 'łaska', 'zesłać', 'raczyć', 'serce', 'dzieło', 'ręka', 'pocieszyciel', 'zwan', 'najwyższy', 'bóg', 'dar', 'namaszczenie', 'dusz', 'zdrój', 'żywy', 'miłość', 'ogień', 'żar', 'darzyć', 'łaska', 'siedemkroć', 'moc', 'prawica', 'ojciec', 'mieć', 'bóg', 'obiecać', 'mowa', 'wzbogacać', 'język', 'światło', 'rozjaśnić', 'myśl', 'serce', 'miłość', 'święta', 'wlać', 'wątły', 'słabość', 'ciało', 'pokrzepić', 'stałość', 'moc', 'nieprzyjaciel', 'odpędzić', 'dal', 'pokój', 'obdarzyć', 'wraz', 'droga', 'przewód', 'minąć', 'zło', 'kusy', 'dać', 'ojciec', 'znać', 'dać', 'syn', 'poznać', 'tchnienie', 'wyznawać', 'siła', 'bóg', 'ojciec', 'chwała', 'brzmieć', 'syn', 'zmartwychwstać', 'temu', 'pocieszać', 'hołd', 'wieczysty', 'pynie', 'chwała', 'amen']"
Bo jak śmierć potężna jest miłość,"['wychwalać', 'wszystek', 'naród', 'wysławiać', 'wszystek', 'lud', 'łaskawość', 'potężny', 'wierność', 'trwać', 'wiek', 'alleluja', 'alleluja']"
Boże Twa łaska,"['chcieć', 'zbyt', 'wysoko', 'sięgać', 'pan', 'patrzeć', 'pycha', 'lśnić', 'chwała', 'chociaż', 'wyniosły', 'mieszkanie', 'zazdrość', 'godny', 'świat', 'pałac', 'oczekiwać', 'pan', 'oczekiwanie', 'uspokajać', 'serce', 'uciszyć', 'pokój', 'chcieć', 'wywyższać', 'serce', 'czego', 'pragnąć', 'próg', 'cisz', 'próg', 'siedzieć', 'cieszyć', 'bóg', 'oczekiwać', 'pan', 'oczekiwanie', 'uspokajać', 'serce', 'uciszyć', 'pokój']"
Była cicha i piękna jak wiosna,"['oczyścić', 'serce', 'chcieć', 'złoto', 'lśnić', 'czysta', 'srebro', 'oczyścić', 'serce', 'chcieć', 'czysty', 'złoto', 'blask', 'lśnić', 'zstąpić', 'ogień', 'zstąpić', 'przyjść', 'oczyścić', 'serce', 'pragnąć', 'święty', 'oddany', 'pan', 'chcieć', 'święty', 'mistrz', 'oddany', 'gotowy', 'służyć', 'oczyścić', 'serce', 'obmyć', 'swój', 'krew', 'sprawa', 'móc', 'święty', 'oczyścić', 'serce', 'tajny', 'grzech', 'oczyścić', 'zstąpić', 'ogień', 'zstąpić', 'przyjść', 'oczyścić', 'serce', 'pragnąć', 'święty', 'oddany', 'pan', 'chcieć', 'święty', 'mistrz', 'oddany', 'gotowy', 'służyć']"
Bóg nasz Pan,"['oddać', 'cześć', 'wieczny', 'chwała', 'pokłonić', 'temu', 'rozpostrzeć', 'niebiosa', 'utwierdzić', 'ziemia', 'krąg', 'chwała', 'wznosić', 'szczyt', 'góra', 'łaska', 'niebo', 'tron', 'bóg', 'pan']"
Bóg tak umiłował świat,"['uczynić', 'gałązka', 'krzew', 'winna', 'duch', 'płonący', 'ognisty', 'krzew', 'list', 'zwiędnąć', 'oczyścić', 'pozwolić', 'siebie', 'trwać', 'odnowa', 'dać', 'przynosić', 'dobry', 'owoc', 'wyzwolić', 'nowa', 'życie', 'dać', 'zasadzić', 'płynąć', 'żywy', 'woda', 'uświęcić', 'nauczyć', 'siebie', 'trwać', 'miłować', 'dusza', 'wskazać', 'paść', 'stado', 'swój', 'źródło', 'woda', 'żywy', 'prowadzić', 'błąkać', 'szukać', 'odnowa', 'dać', 'przynosić', 'dobry', 'owoc', 'wyzwolić', 'nowa', 'życie', 'dać', 'zasadzić', 'płynąć', 'żywy', 'woda', 'uświęcić', 'nauczyć', 'siebie', 'trwać']"
