,Dzień tygodnia,Pierwsze czytanie,Psalm,Werset przed Ewangelią,Ewangelia
2019-05-22,Wednesday,"Some who had come down from Judea were instructing the brothers,""Unless you are circumcised according to the Mosaic practice,you cannot be saved.""Because there arose no little dissension and debateby Paul and Barnabas with them,it was decided that Paul, Barnabas, and some of the othersshould go up to Jerusalem to the Apostles and presbytersabout this question. They were sent on their journey by the Church,and passed through Phoenicia and Samariatelling of the conversion of the Gentiles,and brought great joy to all the brethren.When they arrived in Jerusalem,they were welcomed by the Church,as well as by the Apostles and the presbyters,and they reported what God had done with them.But some from the party of the Pharisees who had become believersstood up and said, ""It is necessary to circumcise themand direct them to observe the Mosaic law.""The Apostles and the presbyters met together to see about this matter. ","R. Let us go rejoicing to the house of the Lord.or:R. Alleluia.I rejoiced because they said to me,""We will go up to the house of the LORD.""And now we have set footwithin your gates, O Jerusalem.R. Let us go rejoicing to the house of the Lord.or:R. Alleluia.Jerusalem, built as a citywith compact unity.To it the tribes go up,the tribes of the LORD.R. Let us go rejoicing to the house of the Lord.or:R. Alleluia.According to the decree for Israel,to give thanks to the name of the LORD.In it are set up judgment seats,seats for the house of David.R. Let us go rejoicing to the house of the Lord.or:R. Alleluia.","R. Alleluia, alleluia.Remain in me, as I remain in you, says the Lord;whoever remains in me will bear much fruit.R. Alleluia, alleluia.","Jesus said to his disciples:""I am the true vine, and my Father is the vine grower.He takes away every branch in me that does not bear fruit,and everyone that does he prunes so that it bears more fruit.You are already pruned because of the word that I spoke to you.Remain in me, as I remain in you.Just as a branch cannot bear fruit on its ownunless it remains on the vine,so neither can you unless you remain in me.I am the vine, you are the branches.Whoever remains in me and I in him will bear much fruit,because without me you can do nothing.Anyone who does not remain in mewill be thrown out like a branch and wither;people will gather them and throw them into a fireand they will be burned.If you remain in me and my words remain in you,ask for whatever you want and it will be done for you.By this is my Father glorified,that you bear much fruit and become my disciples.""For the readings of the Optional Memorial of Saint Rita of Cascia, please go here."
2019-05-21,Tuesday,"In those days, some Jews from Antioch and Iconiumarrived and won over the crowds. They stoned Paul and dragged him out of the city,supposing that he was dead.But when the disciples gathered around him,he got up and entered the city. On the following day he left with Barnabas for Derbe.After they had proclaimed the good news to that cityand made a considerable number of disciples,they returned to Lystra and to Iconium and to Antioch.They strengthened the spirits of the disciplesand exhorted them to persevere in the faith, saying,""It is necessary for us to undergo many hardshipsto enter the Kingdom of God.""They appointed presbyters for them in each Church and,with prayer and fasting, commended them to the Lordin whom they had put their faith.Then they traveled through Pisidia and reached Pamphylia.After proclaiming the word at Perga they went down to Attalia.From there they sailed to Antioch,where they had been commended to the grace of Godfor the work they had now accomplished. And when they arrived, they called the Church togetherand reported what God had done with themand how he had opened the door of faith to the Gentiles.Then they spent no little time with the disciples.","R. Your friends make known, O Lord, the glorious splendor of your kingdom.or:R. Alleluia.Let all your works give you thanks, O LORD,and let your faithful ones bless you.Let them discourse of the glory of your kingdomand speak of your might.R. Your friends make known, O Lord, the glorious splendor of your kingdom.or:R. Alleluia.Making known to men your mightand the glorious splendor of your kingdom.Your kingdom is a kingdom for all ages,and your dominion endures through all generations.R. Your friends make known, O Lord, the glorious splendor of your kingdom.or:R. Alleluia.May my mouth speak the praise of the LORD,and may all flesh bless his holy name forever and ever.R. Your friends make known, O Lord, the glorious splendor of your kingdom.or:R. Alleluia.","R. Alleluia, alleluia.Christ had to suffer and to rise from the dead,and so enter into his glory.R. Alleluia, alleluia.","Jesus said to his disciples:""Peace I leave with you; my peace I give to you.Not as the world gives do I give it to you.Do not let your hearts be troubled or afraid.You heard me tell you,'I am going away and I will come back to you.'If you loved me,you would rejoice that I am going to the Father;for the Father is greater than I.And now I have told you this before it happens,so that when it happens you may believe.I will no longer speak much with you,for the ruler of the world is coming.He has no power over me,but the world must know that I love the Fatherand that I do just as the Father has commanded me.""For the readings of the Optional Memorial of Saints Christopher Magallanes and Companions, please go here."
2019-05-20,Monday,"There was an attempt in Iconiumby both the Gentiles and the Jews,together with their leaders,to attack and stone Paul and Barnabas.They realized it,and fled to the Lycaonian cities of Lystra and Derbeand to the surrounding countryside,where they continued to proclaim the Good News.At Lystra there was a crippled man, lame from birth,who had never walked. He listened to Paul speaking, who looked intently at him,saw that he had the faith to be healed,and called out in a loud voice, ""Stand up straight on your feet.""He jumped up and began to walk about.When the crowds saw what Paul had done,they cried out in Lycaonian,""The gods have come down to us in human form."" They called Barnabas ""Zeus"" and Paul ""Hermes,""because he was the chief speaker.And the priest of Zeus, whose temple was at the entrance to the city,brought oxen and garlands to the gates,for he together with the people intended to offer sacrifice.The Apostles Barnabas and Paul tore their garmentswhen they heard this and rushed out into the crowd, shouting,""Men, why are you doing this? We are of the same nature as you, human beings. We proclaim to you good newsthat you should turn from these idols to the living God,who made heaven and earth and sea and all that is in them.In past generations he allowed all Gentiles to go their own ways;yet, in bestowing his goodness,he did not leave himself without witness,for he gave you rains from heaven and fruitful seasons,and filled you with nourishment and gladness for your hearts.""Even with these words, they scarcely restrained the crowdsfrom offering sacrifice to them.","R. Not to us, O Lord, but to your name give the glory.or:R. Alleluia.Not to us, O LORD, not to usbut to your name give glorybecause of your mercy, because of your truth.Why should the pagans say,""Where is their God?""R. Not to us, O Lord, but to your name give the glory.or:R. Alleluia.Our God is in heaven;whatever he wills, he does.Their idols are silver and gold,the handiwork of men.R. Not to us, O Lord, but to your name give the glory.or:R. Alleluia.May you be blessed by the LORD,who made heaven and earth.Heaven is the heaven of the LORD,but the earth he has given to the children of men.R. Not to us, O Lord, but to your name give the glory.or:R. Alleluia.","R. Alleluia, alleluia.The Holy Spirit will teach you everythingand remind you of all I told you.R. Alleluia, alleluia.","Jesus said to his disciples:""Whoever has my commandments and observes themis the one who loves me.Whoever loves me will be loved by my Father,and I will love him and reveal myself to him.""Judas, not the Iscariot, said to him,""Master, then what happened that you will reveal yourself to usand not to the world?""Jesus answered and said to him,""Whoever loves me will keep my word,and my Father will love him,and we will come to him and make our dwelling with him.Whoever does not love me does not keep my words;yet the word you hear is not minebut that of the Father who sent me.""I have told you this while I am with you.The Advocate, the Holy Spiritwhom the Father will send in my name--he will teach you everythingand remind you of all that I told you."" For the readings of the Optional Memorial of Saint Bernardine of Siena, please go here."
2019-05-19,Sunday,"After Paul and Barnabas had proclaimed the good newsto that cityand made a considerable number of disciples,they returned to Lystra and to Iconium and to Antioch.They strengthened the spirits of the disciplesand exhorted them to persevere in the faith, saying,""It is necessary for us to undergo many hardshipsto enter the kingdom of God.""They appointed elders for them in each church and,with prayer and fasting, commended them to the Lordin whom they had put their faith.Then they traveled through Pisidia and reached Pamphylia.After proclaiming the word at Perga they went down to Attalia.From there they sailed to Antioch,where they had been commended to the grace of Godfor the work they had now accomplished. And when they arrived, they called the church togetherand reported what God had done with themand how he had opened the door of faith to the Gentiles.","R.  I will praise your name for ever, my king and my God.or:R. Alleluia.The LORD is gracious and merciful,slow to anger and of great kindness.The LORD is good to alland compassionate toward all his works.R. I will praise your name for ever, my king and my God.or:R. Alleluia.Let all your works give you thanks, O LORD,and let your faithful ones bless you.Let them discourse of the glory of your kingdom and speak of your might.R. I will praise your name for ever, my king and my God.or:R. Alleluia.Let them make known your might to the children of Adam,and the glorious splendor of your kingdom.Your kingdom is a kingdom for all ages,and your dominion endures through all generations.R. I will praise your name for ever, my king and my God.or:R. Alleluia.","Then I, John, saw a new heaven and a new earth.The former heaven and the former earth had passed away,and the sea was no more.I also saw the holy city, a new Jerusalem,coming down out of heaven from God,prepared as a bride adorned for her husband.I heard a loud voice from the throne saying,""Behold, God's dwelling is with the human race.He will dwell with them and they will be his peopleand God himself will always be with them as their God.He will wipe every tear from their eyes,and there shall be no more death or mourning, wailing or pain,for the old order has passed away.""The One who sat on the throne said,""Behold, I make all things new.""Alleluia Jn 13:34R. Alleluia, alleluia.I give you a new commandment, says the Lord:love one another as I have loved you.R. Alleluia, alleluia.","When Judas had left them, Jesus said,""Now is the Son of Man glorified, and God is glorified in him.If God is glorified in him,God will also glorify him in himself,and God will glorify him at once.My children, I will be with you only a little while longer.I give you a new commandment: love one another.As I have loved you, so you also should love one another.This is how all will know that you are my disciples,if you have love for one another."""
2019-05-18,Saturday,"On the following sabbathalmost the whole citygathered to hear the word of the Lord. When the Jews saw the crowds, they were filled with jealousyand with violent abuse contradicted what Paul said. Both Paul and Barnabas spoke out boldly and said,""It was necessary that the word of God be spoken to you first,but since you reject itand condemn yourselves as unworthy of eternal life,we now turn to the Gentiles. For so the Lord has commanded us,I have made you a light to the Gentiles,that you may be an instrument of salvationto the ends of the earth.""The Gentiles were delighted when they heard thisand glorified the word of the Lord. All who were destined for eternal life came to believe,and the word of the Lord continued to spreadthrough the whole region. The Jews, however, incited the women of prominence who were worshipersand the leading men of the city,stirred up a persecution against Paul and Barnabas,and expelled them from their territory. So they shook the dust from their feet in protest against themand went to Iconium. The disciples were filled with joy and the Holy Spirit.","R. All the ends of the earth have seen the saving power of God.or:R. Alleluia.Sing to the LORD a new song,for he has done wondrous deeds;His right hand has won victory for him,his holy arm.R. All the ends of the earth have seen the saving power of God.or:R. Alleluia.The LORD has made his salvation known:in the sight of the nations he has revealed his justice.He has remembered his kindness and his faithfulnesstoward the house of Israel.R. All the ends of the earth have seen the saving power of God.or:R. Alleluia.All the ends of the earth have seenthe salvation by our God.Sing joyfully to the LORD, all you lands;break into song; sing praise.R. All the ends of the earth have seen the saving power of God.or:R. Alleluia.","R. Alleluia, alleluia.If you remain in my word, you will truly be my disciples,and you will know the truth, says the Lord.R. Alleluia, alleluia.","Jesus said to his disciples: ""If you know me, then you will also know my Father. From now on you do know him and have seen him."" Philip said to Jesus, ""Master, show us the Father, and that will be enough for us."" Jesus said to him, ""Have I been with you for so long a timeand you still do not know me, Philip? Whoever has seen me has seen the Father. How can you say, 'Show us the Father'? Do you not believe that I am in the Father and the Father is in me? The words that I speak to you I do not speak on my own. The Father who dwells in me is doing his works. Believe me that I am in the Father and the Father is in me,or else, believe because of the works themselves. Amen, amen, I say to you,whoever believes in me will do the works that I do,and will do greater ones than these,because I am going to the Father. And whatever you ask in my name, I will do,so that the Father may be glorified in the Son. If you ask anything of me in my name, I will do it.""For the readings of the Optional Memorial of Saint John I, please go here."
2019-05-17,Friday,"When Paul came to Antioch in Pisidia, he said in the synagogue:""My brothers, children of the family of Abraham,and those others among you who are God-fearing,to us this word of salvation has been sent. The inhabitants of Jerusalem and their leaders failed to recognize him,and by condemning him they fulfilled the oracles of the prophetsthat are read sabbath after sabbath. For even though they found no grounds for a death sentence,they asked Pilate to have him put to death,and when they had accomplished all that was written about him,they took him down from the tree and placed him in a tomb. But God raised him from the dead,and for many days he appeared to thosewho had come up with him from Galilee to Jerusalem. These are now his witnesses before the people.We ourselves are proclaiming this good news to youthat what God promised our fathershe has brought to fulfillment for us, their children, by raising up Jesus,as it is written in the second psalm,You are my Son; this day I have begotten you.""","R. You are my Son; this day I have begotten you.or:R. Alleluia.""I myself have set up my kingon Zion, my holy mountain.""I will proclaim the decree of the LORD:The LORD said to me, ""You are my Son;this day I have begotten you.""R. You are my Son; this day I have begotten you.or:R.  Alleluia.""Ask of me and I will give youthe nations for an inheritanceand the ends of the earth for your possession.You shall rule them with an iron rod;you shall shatter them like an earthen dish.""R. You are my Son; this day I have begotten you.or:R. Alleluia.And now, O kings, give heed;take warning, you rulers of the earth.Serve the LORD with fear, and rejoice before him;with trembling rejoice.R. You are my Son; this day I have begotten you.or:R. Alleluia.","R. Alleluia, alleluia.I am the way and the truth and the life, says the Lord;no one comes to the Father except through me.R. Alleluia, alleluia.","Jesus said to his disciples:""Do not let your hearts be troubled. You have faith in God; have faith also in me. In my Father's house there are many dwelling places.If there were not,would I have told you that I am going to prepare a place for you?And if I go and prepare a place for you,I will come back again and take you to myself,so that where I am you also may be.Where I am going you know the way."" Thomas said to him, ""Master, we do not know where you are going;how can we know the way?"" Jesus said to him, ""I am the way and the truth and the life. No one comes to the Father except through me."""
2019-05-16,Thursday,"From Paphos, Paul and his companionsset sail and arrived at Perga in Pamphylia. But John left them and returned to Jerusalem. They continued on from Perga and reached Antioch in Pisidia. On the sabbath they entered into the synagogue and took their seats. After the reading of the law and the prophets,the synagogue officials sent word to them,""My brothers, if one of you has a word of exhortationfor the people, please speak.""So Paul got up, motioned with his hand, and said,""Fellow children of Israel and you others who are God-fearing, listen.The God of this people Israel chose our ancestorsand exalted the people during their sojourn in the land of Egypt. With uplifted arm he led them out,and for about forty years he put up with them in the desert.When he had destroyed seven nations in the land of Canaan,he gave them their land as an inheritanceat the end of about four hundred and fifty years.After these things he provided judges up to Samuel the prophet. Then they asked for a king.God gave them Saul, son of Kish,a man from the tribe of Benjamin, for forty years. Then he removed him and raised up David as their king;of him he testified,I have found David, son of Jesse, a man after my own heart;he will carry out my every wish.From this man's descendants God, according to his promise,has brought to Israel a savior, Jesus. John heralded his coming by proclaiming a baptism of repentanceto all the people of Israel;and as John was completing his course, he would say,'What do you suppose that I am? I am not he.Behold, one is coming after me;I am not worthy to unfasten the sandals of his feet.'""","R. For ever I will sing the goodness of the Lord.or:R. Alleluia.The favors of the LORD I will sing forever;through all generations my mouth shall proclaim your faithfulness.For you have said, ""My kindness is established forever"";in heaven you have confirmed your faithfulness.R. For ever I will sing the goodness of the Lord.or:R. Alleluia.""I have found David, my servant;with my holy oil I have anointed him,That my hand may be always with him,and that my arm may make him strong.""R. For ever I will sing the goodness of the Lord.or:R. Alleluia.""My faithfulness and my mercy shall be with him,and through my name shall his horn be exalted.He shall say of me, 'You are my father,my God, the Rock, my savior.'""R. For ever I will sing the goodness of the Lord.or:R. Alleluia.","R. Alleluia, alleluia.Jesus Christ, you are the faithful witness,the firstborn of the dead,you have loved us and freed us from our sins by your Blood.R. Alleluia, alleluia","When Jesus had washed the disciples' feet, he said to them:""Amen, amen, I say to you, no slave is greater than his masternor any messenger greater than the one who sent him.If you understand this, blessed are you if you do it.I am not speaking of all of you.I know those whom I have chosen.But so that the Scripture might be fulfilled,The one who ate my food has raised his heel against me.From now on I am telling you before it happens,so that when it happens you may believe that I AM. Amen, amen, I say to you, whoever receives the one I sendreceives me, and whoever receives me receives the one who sent me."""
2019-05-15,Wednesday,"The word of God continued to spread and grow. After Barnabas and Saul completed their relief mission,they returned to Jerusalem,taking with them John, who is called Mark. Now there were in the Church at Antioch prophets and teachers:Barnabas, Symeon who was called Niger, Lucius of Cyrene,Manaen who was a close friend of Herod the tetrarch, and Saul. While they were worshiping the Lord and fasting, the Holy Spirit said,""Set apart for me Barnabas and Saulfor the work to which I have called them."" Then, completing their fasting and prayer,they laid hands on them and sent them off.So they, sent forth by the Holy Spirit,went down to Seleuciaand from there sailed to Cyprus. When they arrived in Salamis,they proclaimed the word of God in the Jewish synagogues. ","R. O God, let all the nations praise you!or:R. Alleluia.May God have pity on us and bless us;may he let his face shine upon us.So may your way be known upon earth;among all nations, your salvation.R. O God, let all the nations praise you!or:R. Alleluia.May the nations be glad and exultbecause you rule the peoples in equity;the nations on the earth you guide.R. O God, let all the nations praise you!or:R. Alleluia.May the peoples praise you, O God;may all the peoples praise you!May God bless us,and may all the ends of the earth fear him!R. O God, let all the nations praise you!or:R. Alleluia.","R. Alleluia, alleluia.I am the light of the world, says the Lord;whoever follows me will have the light of life.R. Alleluia, alleluia.","Jesus cried out and said,“Whoever believes in me believes not only in mebut also in the one who sent me,and whoever sees me sees the one who sent me.I came into the world as light,so that everyone who believes in me might not remain in darkness. And if anyone hears my words and does not observe them,I do not condemn him,for I did not come to condemn the world but to save the world. Whoever rejects me and does not accept my wordshas something to judge him: the word that I spoke,it will condemn him on the last day,because I did not speak on my own,but the Father who sent me commanded me what to say and speak. And I know that his commandment is eternal life. So what I say, I say as the Father told me.”"
2019-05-14,Tuesday,"Peter stood up in the midst of the brothers and sisters.He said, ""My brothers and sisters,the Scripture had to be fulfilledwhich the Holy Spirit spoke beforehandthrough the mouth of David, concerning Judas,who was the guide for those who arrested Jesus.Judas was numbered among usand was allotted a share in this ministry.For it is written in the Book of Psalms:Let his encampment become desolate,and may no one dwell in it.and:May another take his office.Therefore, it is necessary that one of the men who accompanied us the whole time the Lord Jesus came and went among us,beginning from the baptism of Johnuntil the day on which he was taken up from us,become with us a witness to his resurrection.""So they proposed two, Joseph called Barsabbas,who was also known as Justus, and Matthias.Then they prayed,""You, Lord, who know the hearts of all,show which one of these two you have chosento take the place in this apostolic ministryfrom which Judas turned away to go to his own place.""Then they gave lots to them, and the lot fell upon Matthias,and he was counted with the Eleven Apostles.","R. The Lord will give him a seat with the leaders of his people.or:R. Alleluia.Praise, you servants of the LORD,praise the name of the LORD.Blessed be the name of the LORDboth now and forever.R. The Lord will give him a seat with the leaders of his people.or:R. Alleluia.From the rising to the setting of the sunis the name of the LORD to be praised.High above all nations is the LORD;above the heavens is his glory.R. The Lord will give him a seat with the leaders of his people.or:R. Alleluia.Who is like the LORD, our God, who is enthroned on highand looks upon the heavens and the earth below?R. The Lord will give him a seat with the leaders of his people.or:R. Alleluia.He raises up the lowly from the dust;from the dunghill he lifts up the poorTo seat them with princes,with the princes of his own people.R. The Lord will give him a seat with the leaders of his people.or:R. Alleluia.","R. Alleluia, alleluia.I chose you from the world,to go and bear fruit that will last, says the Lord.R. Alleluia, alleluia.","Jesus said to his disciples:""As the Father loves me, so I also love you.Remain in my love.If you keep my commandments, you will remain in my love,just as I have kept my Father's commandmentsand remain in his love.""I have told you this so that my joy might be in youand your joy might be complete.This is my commandment: love one another as I love you.No one has greater love than this,to lay down one's life for one's friends.You are my friends if you do what I command you.I no longer call you slaves,because a slave does not know what his master is doing.I have called you friends,because I have told you everything I have heard from my Father.It was not you who chose me, but I who chose youand appointed you to go and bear fruit that will remain,so that whatever you ask the Father in my name he may give you.This I command you:  love one another."""
2019-05-13,Monday,"The Apostles and the brothers who were in Judeaheard that the Gentiles too had accepted the word of God. So when Peter went up to Jerusalemthe circumcised believers confronted him, saying,'You entered the house of uncircumcised people and ate with them."" Peter began and explained it to them step by step, saying,""I was at prayer in the city of Joppawhen in a trance I had a vision,something resembling a large sheet coming down,lowered from the sky by its four corners, and it came to me. Looking intently into it,I observed and saw the four-legged animals of the earth,the wild beasts, the reptiles, and the birds of the sky. I also heard a voice say to me, 'Get up, Peter. Slaughter and eat.' But I said, 'Certainly not, sir,because nothing profane or unclean has ever entered my mouth.' But a second time a voice from heaven answered,'What God has made clean, you are not to call profane.' This happened three times,and then everything was drawn up again into the sky.Just then three men appeared at the house where we were,who had been sent to me from Caesarea. The Spirit told me to accompany them without discriminating. These six brothers also went with me,and we entered the man's house. He related to us how he had seen the angel standing in his house, saying,'Send someone to Joppa and summon Simon, who is called Peter,who will speak words to you by which you and all your household will be saved.' As I began to speak, the Holy Spirit fell upon themas it had upon us at the beginning,and I remembered the word of the Lord, how he had said,'John baptized with waterbut you will be baptized with the Holy Spirit.' If then God gave them the same gift he gave to uswhen we came to believe in the Lord Jesus Christ,who was I to be able to hinder God?""When they heard this,they stopped objecting and glorified God, saying,""God has then granted life-giving repentance to the Gentiles too.""","R. Athirst is my soul for the living God.or:R. Alleluia.As the hind longs for the running waters,so my soul longs for you, O God.Athirst is my soul for God, the living God.When shall I go and behold the face of God?R. Athirst is my soul for the living God.or:R. Alleluia.Send forth your light and your fidelity;they shall lead me onAnd bring me to your holy mountain,to your dwelling-place.R. Athirst is my soul for the living God.or:R. Alleluia.Then will I go in to the altar of God,the God of my gladness and joy;Then will I give you thanks upon the harp,O God, my God!R. Athirst is my soul for the living God.or:R. Alleluia.","R. Alleluia, alleluia.I am the good shepherd, says the Lord;I know my sheep, and mine know me.R. Alleluia, alleluia.","Jesus said:""Amen, amen, I say to you,whoever does not enter a sheepfold through the gatebut climbs over elsewhere is a thief and a robber.But whoever enters through the gate is the shepherd of the sheep.The gatekeeper opens it for him, and the sheep hear his voice,as he calls his own sheep by name and leads them out.When he has driven out all his own,he walks ahead of them, and the sheep follow him,because they recognize his voice.But they will not follow a stranger;they will run away from him,because they do not recognize the voice of strangers.""Although Jesus used this figure of speech,they did not realize what he was trying to tell them.So Jesus said again, ""Amen, amen, I say to you,I am the gate for the sheep.All who came before me are thieves and robbers,but the sheep did not listen to them.I am the gate.Whoever enters through me will be saved,and will come in and go out and find pasture.A thief comes only to steal and slaughter and destroy;I came so that they might have life and have it more abundantly."""
