,Dzień tygodnia,Pierwsze czytanie,Psalm_ref,Psalm,Drugie czytanie,Werset przed Ewangelią,Ewangelia
2019-05-22,Wednesday,"W Antiochii niektórzy przybysze z Judei nauczali braci: „Jeżeli się nie poddacie obrzezaniu według zwyczaju Mojżeszowego, nie możecie być zbawieni”. Kiedy doszło do niemałych sporów i zatargów między nimi a Pawłem i Barnabą, postanowiono, że Paweł i Barnaba i jeszcze kilku spośród nich udadzą się w sprawie tego sporu do Jerozolimy, do apostołów i starszych. Wysłani przez Kościół szli przez Fenicję i Samarię, sprawiając wielką radość braciom opowiadaniem o nawróceniu pogan. Kiedy przybyli do Jerozolimy, zostali przyjęci przez Kościół, apostołów i starszych. Opowiedzieli też, jak wielkich rzeczy Bóg przez nich dokonał. Lecz niektórzy nawróceni ze stronnictwa faryzeuszów oświadczyli: „Trzeba ich obrzezać i zobowiązać do przestrzegania Prawa Mojżeszowego”. Zebrali się więc apostołowie i starsi, aby rozpatrzyć tę sprawę.", Idźmy z radością na spotkanie Pana,"Ucieszyłem się, gdy mi powiedziano: „Pójdziemy do domu Pana”. Już stoją nasze stopy w twoich bramach, Jeruzalem.Do niego wstępują pokolenia Pańskie, aby zgodnie z prawem Izraela wielbić imię Pana. Tam ustawiono trony sędziowskie, trony domu Dawida.",None,"  Trwajcie we Mnie, a Ja w was trwał będę. Kto trwa we Mnie, przynosi owoc obfity.","Jezus powiedział do swoich uczniów: „Ja jestem prawdziwym krzewem winnym, a Ojciec mój jest tym, który uprawia. Każdą latorośl, która we Mnie nie przynosi owocu, odcina, a każdą, która przynosi owoc, oczyszcza, aby przynosiła owoc obfitszy. Wy już jesteście czyści dzięki słowu, które wypowiedziałem do was. Trwajcie we Mnie, a Ja w was trwać będę. Podobnie jak latorośl nie może przynosić owocu sama z siebie, o ile nie trwa w winnym krzewie, tak samo i wy, jeżeli we Mnie trwać nie będziecie. Ja jestem krzewem winnym, wy - latoroślami. Kto trwa we Mnie, a Ja w nim, ten przynosi owoc obfity, ponieważ beze Mnie nic nie możecie uczynić. Ten, kto we Mnie nie trwa, zostanie wyrzucony, jak winna latorośl i uschnie. I zbiera się ją i wrzuca do ognia i płonie. Jeżeli we Mnie trwać będziecie, a słowa moje w was, poproście, o cokolwiek chcecie, a to wam się spełni. Ojciec mój przez to dozna chwały, że owoc obfity przyniesiecie i staniecie się moimi uczniami”."
2019-05-21,Tuesday,"Do Listry nadeszli żydzi z Antiochii i z Ikonium. Podburzyli tłum, ukamienowali Pawła i wywlekli go za miasto, sądząc, że nie żyje. Kiedy go jednak otoczyli uczniowie, podniósł się i wszedł do miasta, a następnego dnia udał się razem z Barnabą do Derbe. W tym mieście głosili Ewangelię i pozyskali wielu uczniów, po czym wrócili do Listry, do Ikonium i do Antiochii, Umacniając dusze uczniów, zachęcając do wytrwania w wierze, bo przez wiele ucisków trzeba nam wejść do królestwa Bożego. Kiedy w każdym Kościele wśród modlitw i postów ustanowili im starszych, polecili ich Panu, w którego uwierzyli. Potem przeszli przez Pizydię i przybyli do Pamfilii. Nauczali w Perge, zeszli do Attalii, a stąd odpłynęli do Antiochii, gdzie za łaską Bożą zostali przeznaczeni do dzieła, które wykonali. Kiedy przybyli i zebrali miejscowy Kościół, opowiedzieli, jak wiele Bóg przez nich zdziałał i jak otworzył poganom podwoje wiary. I dość długi czas spędzili wśród uczniów.", Niech wierni Twoi głoszą Twe królestwo,"Niech Cię wielbią, Panie, wszystkie Twoje dzieła i niech Cię błogosławią Twoi święci. Niech mówią o chwale Twojego królestwa i niech głoszą Twoją potęgę.Aby synom ludzkim oznajmić Twoją potęgę i wspaniałość chwały Twojego królestwa. Królestwo Twoje królestwem wszystkich wieków, przez wszystkie pokolenia Twoje panowanie.Pan jest wierny we wszystkich swoich słowach i we wszystkich dziełach swoich święty. Niech usta moje głoszą chwałę Pana, a Jego święte imię niech wielbi wszystko, co żyje.",None,"  Trzeba, by wywyższono Syna Człowieczego, aby każdy, kto w Niego wierzy, miał życie wieczne.","Jezus powiedział do swoich uczniów: „Pokój zostawiam wam, pokój mój daję wam. Nie tak jak daje świat, Ja wam daję. Niech się nie trwoży serce wasze ani się nie lęka. Słyszeliście, że wam powiedziałem: Odchodzę i przyjdę znów do was. Gdybyście Mnie miłowali, rozradowalibyście się, że idę do Ojca, bo Ojciec większy jest ode Mnie. A teraz powiedziałem wam o tym, zanim to nastąpi, abyście uwierzyli, gdy się to stanie. Już nie będę z wami wiele mówił, nadchodzi bowiem władca tego świata. Nie ma on jednak nic swego we Mnie. Ale niech świat się dowie, że Ja miłuję Ojca i że tak czynię, jak Mi Ojciec nakazał”."
2019-05-20,Monday,"Gdy Paweł i Barnaba dowiedzieli się w Ikonium, że poganie i Żydzi wraz ze swymi władzami zamierzają ich znieważyć i ukamienować, uciekli do miast Likaonii: do Listry i Derbe oraz w ich okolice, i tam głosili Ewangelię. W Listrze mieszkał pewien człowiek o bezwładnych nogach, kaleka od urodzenia, który nigdy nie chodził. Słuchał on przemówienia Pawła; ten spojrzał na niego uważnie i widząc, że ma wiarę potrzebną do uzdrowienia, zawołał głośno: „Stań prosto na nogach!” A on zerwał się i zaczął chodzić. Na widok tego, co uczynił Paweł, tłumy zaczęły wołać po likaońsku: „Bogowie przybrali postać ludzi i zstąpili do nas!” Barnabę nazywali Zeusem, a Pawła Hermesem, gdyż głównie on przemawiał. A kapłan Zeusa, który miał świątynię przed miastem, przywiódł przed bramę woły i przyniósł wieńce i chciał razem z tłumem złożyć ofiarę. Na wieść o tym apostołowie Barnaba i Paweł rozdarli swe szaty i rzucili się w tłum, krzycząc: „Ludzie, dlaczego to robicie! My także jesteśmy ludźmi, podobnie jak wy podlegamy cierpieniom. Nauczamy was, abyście odwrócili się od tych marności do Boga żywego, który stworzył niebo i ziemię, i morze, i wszystko, co w nich się znajduje. Pozwolił On w dawnych czasach, że każdy naród chodził własnymi drogami, ale nie przestawał dawać o sobie świadectwa czyniąc dobrze. Zsyłał wam deszcz z nieba i urodzajne lata, karmił was i radością napełniał wasze serca”. Tymi słowami ledwie powstrzymali tłumy od złożenia im ofiary."," Nie nam daj chwałę, lecz Twemu imieniu","Nie nam, Panie, nie nam, lecz Twemu imieniu daj chwałę za łaskę Twoją i wierność. Dlaczego mają pytać poganie: „Gdzie się ich Bóg znajduje”?Nasz Bóg jest w niebie, czyni wszystko, co zechce. Ich bożki są ze srebra i złota, dzieło rąk ludzkich.Błogosławieni jesteście przez Pana, który stworzył niebo i ziemię. Niebo jest niebem Pana, ziemię zaś dał synom ludzkim.",None,"  Duch Święty was wszystkiego nauczy; przypomni wam wszystko, co wam powiedziałem.","Jezus powiedział do swoich uczniów: „Kto ma przykazania moje i zachowuje je, ten Mnie miłuje. Kto zaś Mnie miłuje, ten będzie umiłowany przez Ojca mego, a również Ja będę go miłował i objawię mu siebie”. Rzekł do Niego Juda, ale nie Iskariota: „Panie, cóż się stało, że nam się masz objawić, a nie światu?” W odpowiedzi rzekł do niego Jezus: „Jeśli Mnie kto miłuje, będzie zachowywał moją naukę, a Ojciec mój umiłuje go, i przyjdziemy do niego, i będziemy w nim przebywać. Kto Mnie nie miłuje, ten nie zachowuje słów moich. A nauka, którą słyszycie, nie jest moja, ale Tego, który Mnie posłał, Ojca. To wam powiedziałem przebywając wśród was. A Pocieszyciel, Duch Święty, którego Ojciec pośle w moim imieniu, On was wszystkiego nauczy i przypomni wam wszystko, co Ja wam powiedziałem”."
2019-05-19,Sunday,"Paweł i Barnaba wrócili do Listry, do Ikonium i do Antiochii, umacniając dusze uczniów, zachęcając do wytrwania w wierze, bo przez wiele ucisków trzeba nam wejść do królestwa Bożego. Kiedy w każdym Kościele wśród modlitw i postów ustanowili im starszych, polecili ich Panu, w którego uwierzyli. Potem przeszli przez Pizydię i przybyli do Pamfilii. Nauczali w Perge, zeszli do Attalii, a stąd odpłynęli do Antiochii, gdzie za łaską Bożą zostali przeznaczeni do dzieła, które wykonali. Kiedy przybyli i zebrali miejscowy Kościół, opowiedzieli, jak wiele Bóg przez nich zdziałał i jak otworzył poganom podwoje wiary."," Będę Cię wielbił, Boże mój i Królu","Pan jest łagodny i miłosierny, nieskory do gniewu i bardzo łaskawy. Pan jest dobry dla wszystkich, a Jego miłosierdzie nad wszystkim, co stworzył.Niech Cię wielbią, Panie, wszystkie Twoje dzieła i niech Cię błogosławią Twoi wyznawcy. Niech mówią o chwale Twojego królestwa i niech głoszą Twoją potęgę.Aby synom ludzkim oznajmić Twoją potęgę i wspaniałość chwały Twojego królestwa. Królestwo Twoje królestwem wszystkich wieków, przez wszystkie pokolenia Twoje panowanie.","Ja, Jan, ujrzałem niebo nowe i ziemię nową, bo pierwsze niebo i pierwsza ziemia przeminęły, i morza już nie ma. I Miasto Święte – Jeruzalem Nowe ujrzałem zstępujące z nieba od Boga, przystrojone jak oblubienica zdobna w klejnoty dla swego męża. I usłyszałem donośny głos mówiący od tronu: ""Oto przybytek Boga z ludźmi: i zamieszka wraz z nimi, i będą oni Jego ludem, a On będzie „Bogiem z nimi”. I otrze z ich oczu wszelką łzę, a śmierci już nie będzie. Ani żałoby, ni krzyku, ni trudu już nie będzie, bo pierwsze rzeczy przeminęły"". I rzekł Zasiadający na tronie: ""Oto czynię wszystko nowe"".","  Daję wam przykazanie nowe, abyście się wzajemnie miłowali, tak jak Ja was umiłowałem.","Po wyjściu Judasza z wieczernika Jezus powiedział: ”Syn Człowieczy został teraz uwielbiony, a w Nim został Bóg uwielbiony. Jeżeli Bóg został w Nim uwielbiony, to Bóg uwielbi Go także w sobie samym, i zaraz Go uwielbi. Dzieci, jeszcze krótko - jestem z wami. Będziecie Mnie szukać, ale - jak to Żydom powiedziałem, tak i teraz wam mówię - dokąd Ja idę, wy pójść nie możecie. Daję wam przykazanie nowe, abyście się wzajemnie miłowali, tak jak Ja was umiłowałem; żebyście i wy tak się miłowali wzajemnie. Po tym wszyscy poznają, żeście uczniami moimi, jeśli będziecie się wzajemnie miłowali”."
2019-05-18,Saturday,"W następny szabat po kazaniu Pawła w synagodze w Antiochii Pizydyjskiej zebrało się niemal całe miasto, aby słuchać słowa Bożego. Gdy Żydzi zobaczyli tłumy, ogarnęła ich zazdrość, i bluźniąc sprzeciwiali się temu, co mówił Paweł. Wtedy Paweł i Barnaba powiedzieli odważnie: „Należało głosić słowo Boże najpierw wam. Skoro jednak odrzucacie je i sami uznajecie się za niegodnych życia wiecznego, zwracamy się do pogan. Tak bowiem nakazał nam Pan: ""Ustanowiłem cię światłością dla pogan, abyś był zbawieniem aż po krańce ziemi”. Poganie słysząc to radowali się i uwielbiali słowo Pańskie, a wszyscy, przeznaczeni do życia wiecznego, uwierzyli. Słowo Pańskie rozszerzało się po całym kraju. Ale Żydzi podburzyli pobożne a wpływowe kobiety i znaczniejszych obywateli, wzniecili prześladowanie Pawła i Barnaby i wyrzucili ich ze swych granic. A oni otrząsnąwszy na nich pył z nóg, przyszli do Ikonium, a uczniów napełniało wesele i Duch Święty.", Ziemia ujrzała swego Zbawiciela,"Śpiewajcie Panu pieśń nową, albowiem uczynił cuda. Zwycięstwo Mu zgotowała Jego prawica i święte ramię Jego.Pan okazał swoje zbawienie, na oczach pogan objawił swoją sprawiedliwość. Wspomniał na dobroć i na wierność swoją dla domu Izraela.Ujrzały wszystkie krańce ziemi zbawienie Boga naszego. Wołaj z radości na cześć Pana, cała ziemio, cieszcie się, weselcie i grajcie.",None,"  Słowa Twoje, Panie, są duchem i życiem, Ty masz słowa życia wiecznego.","Jezus powiedział do swoich uczniów: „Gdybyście Mnie poznali, znalibyście i mojego Ojca. Ale teraz już Go znacie i zobaczyliście”. Rzekł do Niego Filip: „Panie, pokaż nam Ojca, a to nam wy starczy”. Odpowiedział mu Jezus: „Filipie, tak długo jestem z wami, a jeszcze Mnie nie poznałeś? Kto Mnie zobaczył, zobaczył także i Ojca. Dlaczego więc mówisz: ""Pokaż nam Ojca?"" Czy nie wierzysz, że Ja jestem w Ojcu, a Ojciec we Mnie? Słów tych, które wam mówię, nie wypowiadam od siebie. Ojciec, który trwa we Mnie, On sam dokonuje tych dzieł. Wierzcie Mi, że Ja jestem w Ojcu, a Ojciec we Mnie. Jeżeli zaś nie, wierzcie przynajmniej ze względu na same dzieła. Zaprawdę, zaprawdę powiadam wam: Kto we Mnie wierzy, będzie także dokonywał tych dzieł, których Ja dokonuję, owszem i większe od tych uczyni, bo Ja idę do Ojca. A o cokolwiek prosić będziecie w imię moje, to uczynię, aby Ojciec był otoczony chwałą w Synu. O cokolwiek prosić Mnie będziecie w imię moje, Ja to spełnię”."
2019-05-17,Friday,"Kiedy Paweł przybył do Antiochii Pizydyjskiej, przemówił w synagodze: „Bracia, synowie rodu Abrahama i ci spośród was, którzy się boją Boga! Nam została przekazana nauka o tym zbawieniu, bo mieszkańcy Jerozolimy i ich przełożeni nie uznali Jezusa i potępiając Go wypełnili głosy Proroków, odczytywane co szabat. Chociaż nie znaleźli w Nim żadnej winy zasługującej na śmierć, zażądali od Piłata, aby Go stracił. A gdy wykonali wszystko, co o Nim było napisane, zdjęli Go z krzyża i złożyli w grobie. Ale Bóg wskrzesił Go z martwych, a On ukazywał się przez wiele dni tym, którzy z Nim razem poszli z Galilei do Jerozolimy, a teraz dają świadectwo o Nim przed ludem. My właśnie głosimy wam Dobrą Nowinę co do obietnicy danej ojcom: że Bóg spełnił ją wobec nas jako ich dzieci, wskrzesiwszy Jezusa. Tak też jest napisane w psalmie drugim: ""Ty jesteś moim Synem, Jam Ciebie dziś zrodził”."," Tyś moim Synem, Ja Cię dziś zrodziłem","„Przecież to Ja ustanowiłem swojego króla na Syjonie, świętej górze mojej”. Wyrok Pański ogłoszę: On rzekł do Mnie: „Ty jesteś moim Synem, Ja Ciebie dziś zrodziłem.żądaj, a dam Ci w dziedzictwo narody i krańce ziemi w posiadanie Twoje. żelazną rózgą będziesz nimi rządził, jak gliniane naczynie ich skruszysz”.A teraz, królowie, zrozumcie, nauczcie się, sędziowie ziemi. Służcie Panu z bojaźnią, ze drżeniem całujcie Mu stopy.",None,"  Ja jestem drogą i prawdą, i życiem, nikt nie przychodzi do Ojca inaczej, jak tylko przeze Mnie.","Jezus powiedział do swoich uczniów: „Niech się nie trwoży serce wasze. Wierzycie w Boga? I we Mnie wierzcie. W domu Ojca mego jest mieszkań wiele. Gdyby tak nie było, to bym wam powiedział. Idę przecież przygotować wam miejsce. A gdy odejdę i przygotuję wam miejsce, przyjdę powtórnie i zabiorę was do siebie, abyście i wy byli tam, gdzie Ja jestem. Znacie drogę, dokąd Ja idę”. Odezwał się do Niego Tomasz: „Panie, nie wiemy dokąd idziesz. Jak więc możemy znać drogę?” Odpowiedział mu Jezus: „Ja jestem drogą i prawdą, i życiem. Nikt nie przychodzi do Ojca inaczej jak tylko przeze Mnie”."
2019-05-16,Thursday,"Ja, Jan, usłyszałem donośny głos mówiący w niebie: „Teraz nastało zbawienie, potęga i królowanie Boga naszego i władza Jego Pomazańca, bo strącony został oskarżyciel naszych braci, który dniem i nocą oskarża ich przed naszym Bogiem. A oni zwyciężyli dzięki krwi Baranka i dzięki słowu swojego świadectwa i nie umiłowali życia aż do śmierci. Dlatego radujcie się, niebiosa oraz ich mieszkańcy”.", Od wszelkiej trwogi Pan Bóg mnie wyzwolił,"Będę błogosławił Pana po wieczne czasy, Jego chwała będzie zawsze na moich ustach. Dusza moja chlubi się Panem, niech słyszą to pokorni i niech się weselą.Wysławiajcie ze mną Pana, wspólnie wywyższajmy Jego imię. Szukałem pomocy u Pana, a On mnie wysłuchał i wyzwolił od wszelkiej trwogi.Spójrzcie na Niego, a rozpromienicie się radością, oblicza wasze nie zapłoną wstydem. Oto zawołał biedak i Pan go usłyszał, i uwolnił od wszelkiego ucisku.Anioł Pański otacza szańcem bogobojnych, aby ich ocalić. Skosztujcie i zobaczcie, jak Pan jest dobry, szczęśliwy człowiek, który znajduje w Nim ucieczkę.","Upominam was, bracia, w imię Pana naszego Jezusa Chrystusa, abyście byli zgodni i by nie było wśród was rozłamów; byście byli jednego ducha i jednej myśli. Doniesiono mi bowiem o was, bracia moi, przez ludzi Chloe, że zdarzają się między wami spory. Myślę o tym, co każdy z was mówi: „Ja jestem Pawła, a ja Apollosa; ja jestem Kefasa, a ja Chrystusa”. Czyż Chrystus jest podzielony? Czyż Paweł został za was ukrzyżowany? Czyż w imię Pawła zostaliście ochrzczeni? Nie posłał mnie Chrystus, abym chrzcił, lecz abym głosił Ewangelię, i to nie w mądrości słowa, by nie zniweczyć Chrystusowego krzyża. Nauka bowiem krzyża głupstwem jest dla tych, co idą na zatracenie, mocą Bożą zaś dla nas, którzy dostępujemy zbawienia.","  Za nich Ja poświęcam w ofierze samego siebie, aby i oni byli uświęceni w prawdzie.","W czasie ostatniej wieczerzy Jezus, podniósłszy oczy ku niebu, modlił się tymi słowami: „Ojcze Święty, proszę nie tylko za nimi, ale i za tymi, którzy dzięki ich słowu będą wierzyć we Mnie, aby wszyscy stanowili jedno, jak Ty, Ojcze, we Mnie, a Ja w Tobie, aby i oni stanowili jedno w Nas, aby świat uwierzył, żeś Ty Mnie posłał. I także chwałę, którą Mi dałeś, przekazałem im, aby stanowili jedno, tak jak My jedno stanowimy. Ja w nich, a Ty we Mnie. Oby się tak zespolili w jedno, aby świat poznał, żeś Ty Mnie posłał i żeś Ty ich umiłował tak, jak Mnie umiłowałeś. Ojcze, chcę, aby także ci, których Mi dałeś, byli ze Mną tam, gdzie Ja jestem, aby widzieli chwałę moją, którą Mi dałeś, bo umiłowałeś Mnie przed założeniem świata. Ojcze sprawiedliwy! Świat Ciebie nie poznał, lecz Ja Ciebie poznałem i oni poznali, żeś Ty Mnie posłał. Objawiłem im Twoje imię i nadal będę objawiał, aby miłość, którą Ty Mnie umiłowałeś, w nich była i Ja w nich”."
2019-05-15,Wednesday,"Słowo Pańskie rozszerzało się i rosło. Barnaba i Szaweł, wypełniwszy swoje zadania, powrócili z Jerozolimy zabierając ze sobą Jana, zwanego Markiem. W Antiochii, w tamtejszym Kościele, byli prorokami i nauczycielami: Barnaba i Szymon zwany Niger, Lucjusz Cyrenejczyk i Manaen, który wychowywał się razem z Herodem tetrarchą, i Szaweł. Gdy odprawiali publiczne nabożeństwo i pościli, rzekł Duch Święty: „Wyznaczcie mi już Barnabę i Szawła do dzieła, do którego ich powołałem”. Wtedy po poście i modlitwie oraz po włożeniu na nich rąk, wyprawili ich. A oni wysłani przez Ducha Świętego zeszli do Seleucji, a stamtąd odpłynęli na Cypr. Gdy przybyli do Salaminy, głosili słowo Boże w synagogach żydowskich."," Niech wszystkie ludy sławią Ciebie, Boże","Niech Bóg się zmiłuje nad nami i nam błogosławi, niech nam ukaże pogodne oblicze. Aby na ziemi znano Jego drogę, Jego zbawienie wśród wszystkich narodów.Niech Ciebie, Boże, wysławiają ludy, niech wszystkie narody oddają Ci chwałę. Niech się narody cieszą i weselą, że rządzisz ludami sprawiedliwie i kierujesz narodami na ziemi.Niech Ciebie, Boże, wysławiają ludy, niech wszystkie narody oddają Ci chwałę. Niech nam Bóg błogosławi, niech się Go boją wszystkie krańce ziemi.",None,"  Ja jestem światłością świata, kto idzie za Mną, będzie miał światło życia.","Jezus tak wołał: „Ten, kto we Mnie wierzy, wierzy nie we Mnie, lecz w Tego, który Mnie posłał. A kto Mnie widzi, widzi Tego, który Mnie posłał. Ja przyszedłem na świat jako światło, aby każdy, kto we Mnie wierzy, nie pozostawał w ciemności. A jeżeli ktoś posłyszy słowa moje, ale ich nie zachowa, to Ja go nie sądzę. Nie przyszedłem bowiem po to, aby świat sądzić, ale by świat zbawić. Kto gardzi Mną i nie przyjmuje słów moich, ten ma swego sędziego: słowo, które powiedziałem, ono to będzie go sądzić w dniu ostatecznym. Nie mówiłem bowiem sam od siebie, ale Ten, który Mnie posłał, Ojciec, On Mi nakazał, co mam powiedzieć i oznajmić. A wiem, że przykazanie Jego jest życiem wiecznym. To, co mówię, mówię tak, jak Mi Ojciec powiedział”."
2019-05-14,Tuesday,"Piotr w obecności braci, a zebrało się razem około stu dwudziestu osób, tak przemówił: „Bracia, musiało się wypełnić słowo Pisma, które Duch Święty zapowiedział przez usta Dawida o Judaszu. On to wskazał drogę tym, którzy pojmali Jezusa, bo on zaliczał się do nas i miał udział w naszym posługiwaniu. Napisano bowiem w Księdze Psalmów: ""Niech opustoszeje dom jego i niech nikt w nim nie mieszka. A urząd jego niech inny obejmie"". Trzeba więc, aby jeden z tych którzy towarzyszyli nam przez cały czas, kiedy Pan Jezus przebywał z nami, począwszy od chrztu Janowego aż do dnia, w którym został wzięty od nas do nieba, stał się razem z nami świadkiem Jego zmartwychwstania”. Postawiono dwóch: Józefa, zwanego Barsabą, z przydomkiem Justus, i Macieja. I tak się pomodlili: „Ty, Panie, znasz serca wszystkich, wskaż z tych dwóch jednego, którego wybrałeś, by zajął miejsce w tym posługiwaniu i w apostolstwie, któremu sprzeniewierzył się Judasz, aby pójść swoją drogą”. I dali im losy, a los padł na Macieja. I został dołączony do jedenastu apostołów.", Wśród książąt ludu Pan Bóg go posadził,"Chwalcie, słudzy Pańscy, chwalcie imię Pana. Niech imię Pana będzie błogosławione teraz i na wieki.Od wschodu aż do zachodu słońca niech będzie pochwalone imię Pana. Pan jest wywyższony nad wszystkie ludy, ponad niebiosa sięga Jego chwała.Kto jest jak nasz Pan Bóg, co ma siedzibę w górze, co w dół spogląda na niebo i na ziemię?Podnosi z prochu nędzarza i dźwiga z gnoju ubogiego, by go posadzić wśród książąt, wśród książąt swojego ludu.",None,"  Nie wyście Mnie wybrali, ale Ja was wybrałem, abyście szli i owoc przynosili","Jezus powiedział do swoich uczniów: „Jak Mnie umiłował Ojciec, tak i Ja was umiłowałem. Trwajcie w miłości mojej. Jeśli będziecie zachowywać moje przykazania, będziecie trwać w miłości mojej, tak jak Ja zachowałem przykazania Ojca mego i trwam w Jego miłości. To wam powiedziałem, aby radość moja w was była i aby radość wasza była pełna. To jest moje przykazanie, abyście się wzajemnie miłowali, tak jak Ja was umiłowałem. Nikt nie ma większej miłości od tej, gdy kto życie swoje oddaje za przyjaciół swoich. Wy jesteście przyjaciółmi moimi, jeżeli czynicie to, co wam przykazuję. Już was nie nazywam sługami, bo sługa nie wie, co czyni pan jego, ale nazwałem was przyjaciółmi, albowiem oznajmiłem wam wszystko, co usłyszałem od Ojca mego. Nie wyście Mnie wybrali, ale Ja was wybrałem i przeznaczyłem was na to, abyście szli i owoc przynosili i by owoc wasz trwał, aby wszystko dał wam Ojciec, o cokolwiek Go poprosicie w imię moje. To wam przykazuję, abyście się wzajemnie miłowali”."
2019-05-13,Monday,"Apostołowie i bracia, przebywający w Judei, dowiedzieli się, że również poganie przyjęli słowo Boże. Kiedy Piotr przybył do Jerozolimy, ci, którzy byli pochodzenia żydowskiego, robili mu wymówki, mówiąc: „Wszedłeś do ludzi nieobrzezanych i jadłeś z nimi?” Piotr więc zaczął wyjaśniać im po kolei, mówiąc: ""Modliłem się w mieście Jafie i w zachwyceniu ujrzałem jakiś spuszczający się przedmiot, podobny do wielkiego płótna czterema końcami opadającego z nieba, który dotarł aż do mnie. Przyglądając mu się uważnie, zobaczyłem czworonożne zwierzęta domowe i dzikie, płazy i gady. Usłyszałem też głos, który mówił do mnie: ""Zabijaj, Piotrze, i jedz!""  Odpowiedziałem: ""O nie, Panie, bo nigdy nie wziąłem do ust niczego skażonego lub nieczystego"". Ale głos z nieba odezwał się po raz drugi: ""Nie nazywaj nieczystym tego, co Bóg oczyścił"". Powtórzyło się to trzy razy i wszystko zostało wzięte znowu do nieba. Zaraz potem trzech ludzi, wysłanych do mnie z Cezarei, stanęło przed domem, w którym mieszkaliśmy. A Duch powiedział mi, abym bez wahania poszedł z nimi. Razem ze mną poszło też tych sześciu braci. Przybyliśmy do domu owego człowieka. On nam opowiedział, jak zobaczył anioła, który zjawił się w jego domu i rzekł: ""Poślij do Jafy i sprowadź Szymona, zwanego Piotrem. On cię pouczy, jak zbawisz siebie i cały swój dom"". Kiedy zacząłem mówić, Duch Święty zstąpił na nich, jak na nas na początku. Przypomniałem sobie wtedy słowa, które wypowiedział Pan: ""Jan chrzcił wodą, wy zaś ochrzczeni będziecie Duchem Świętym"". Jeżeli więc Bóg udzielił im tego samego daru co nam, którzyśmy uwierzyli w Pana Jezusa Chrystusa, to jakżeż ja mogłem sprzeciwiać się Bogu?” Gdy to usłyszeli, zamilkli. Wielbili Boga i mówili: „A więc i poganom udzielił Bóg łaski nawrócenia, aby żyli”.", Boga żywego pragnie dusza moja,"Jak łania pragnie wody ze strumieni, tak dusza moja pragnie Ciebie, Boże. Dusza moja Boga pragnie, Boga żywego, kiedyż więc przyjdę i ujrzę oblicze Boże?Ześlij światłość i wierność swoją, niech one mnie wiodą. Niech mnie zaprowadzą na Twą górę świętą i do Twoich przybytków.I przystąpię do ołtarza Bożego, do Boga, który jest weselem i radością moją. I będę Cię chwalił przy dźwiękach lutni, Boże mój, Boże.",None,"  Ja jestem dobrym Pasterzem i znam owce moje, a moje Mnie znają","Jezus powiedział: „Ja jestem dobrym pasterzem. Dobry pasterz daje życie swoje za owce. Najemnik zaś i ten, kto nie jest pasterzem, do którego owce nie należą, widząc nadchodzącego wilka, opuszcza owce i ucieka, a wilk je porywa i rozprasza. Najemnik ucieka dlatego, że jest najemnikiem i nie zależy mu na owcach. Ja jestem dobrym pasterzem i znam owce moje, a moje Mnie znają, podobnie jak Mnie zna Ojciec, a Ja znam Ojca. Życie moje oddaję za owce. Mam także inne owce, które nie są z tej owczarni. I te muszę przyprowadzić i będą słuchać głosu mego, i nastanie jedna owczarnia i jeden pasterz. Dlatego miłuje Mnie Ojciec, bo Ja życie moje oddaję, aby je potem znów odzyskać. Nikt mi go nie zabiera, lecz Ja od siebie je oddaję. Mam moc je oddać i mam moc je znów odzyskać. Taki nakaz otrzymałem od mojego Ojca”."
