,Ewangelia
2019-02-03,"When Jesus came to Nazareth, he spoke to the people in the synagogue: ""Today these words of the Scripture that you have heard have come true."" And they all came to Him and marveled at the graces that were flowing from His mouth. And they said, ""Is this not Joseph's son?"" Then he said to them, ""Surely you will tell me this proverb: Doctor, heal yourself, carry out here, in your homeland, what happened, as we heard, in Capernaum."" And he added: ""Verily, I say unto you, No prophet is welcome in his homeland. Really, I say to you: Many widows were in Israel in the days of Elijah, when the sky remained closed for three years and six months, so that great hunger reigned in the whole country, and Elijah was not sent to any of them, only to that widow of Zarephath Sarepta, and many lepers were in Israel as the prophet Elisha, and none of them was cleansed, only the Syrian Naaman. "" Everyone in the synagogue became angry with these words. Having taken refuge from places, they threw him out of the city and led him to the cliff on which the city was built to make him fall. However, he passed through them and departed."
2019-02-02,"When the days of the purification of Mary according to the Mosaic Law were passed, the parents brought Jesus to Jerusalem to present Him to the Lord. For thus it is written in the law of the Lord: ""Every firstborn male child shall be blessed with the Lord."" They were also to sacrifice a pair of turtledoves or two young pigeons, as prescribed by the Law of the Lord. And a man lived in Jerusalem, named Simeon. He was a just and pious man, he waited for Israel's consolation and the Holy Spirit rested on him. To him, the Holy Spirit revealed that he would not see death until he saw the Messiah of the Lord. After the Spirit's inspiration, he came to the temple. And when the Parents brought the Child Jesus to act with Him according to the custom of the Law, he embraced Him, blessed God and said: When the days of the purification of Mary according to the Mosaic Law were passed, the parents brought Jesus to Jerusalem to present Him to the Lord. For thus is it written in the law of the Lord, ""Now, Lord, allow your servant to leave in peace, according to your word, for my eyes have seen your salvation, which you have prepared for all nations: light for enlightenment of the Gentiles and for the glory of your people, Israel."" And his father and mother marveled at what was said about him. Simeon blessed them and said to Mary, his mother: ""This is he who is destined for the fall and rising of many in Israel and a sign that they will oppose. And your soul the sword will penetrate, let the thoughts of many hearts come to light."" There was also a prophetess Anna, daughter of Fanuela from the generation of Asher, she came very close in the years. She lived with her husband for seven years and remained a widow. It was already eighty-four years old. She did not part with the temple, serving God in fasts and prayers day and night. When she arrived at that moment, she praised God and spoke to him about all who were waiting for the liberation of Jerusalem. And when they had fulfilled everything according to the law of the Lord, they returned to Galilee, to their city, Nazareth. And the child grew and grew strong, filled with wisdom, and the grace of God rested upon him."
2019-02-01,"Jesus said to the multitudes: ""The kingdom of God is as if someone puts the seed into the earth, whether he is awake or awake, day and night, the seed sprouts and grows, he does not know how. The earth itself yields, first the blade, then the ear, and then the full grain in the ear, and when the crop matures, the sickle begins to grow, for it is time for harvest. "" He said: ""What are we to compare the kingdom of God with or in what parables we present it?"" It is like a mustard seed, it is the smallest of all seeds on the earth when it is sown in the ground, but sown, grows and becomes larger than other vegetables; large branches, so that the birds of the sky will nest in its shadow. "" In many of these parables, he preached to them as far as they could understand. And without a parable he did not speak to them. He explained everything to his students separately."
2019-01-31,"Jesus said to the people, ""Is this why light is brought in to put it under a bushel or under a bed, not in order to place it on a lampstand?"" For there is nothing hidden that would not come to light. listen, let him listen! "" And he said to them, ""See what you are listening to. The same measure that you measure will measure you out and make it to you, because whoever has it will be added, and whoever does not will deprive him of what he has."""
2019-01-30,"Jesus again began to teach at the lake and a very large crowd gathered with Him. That's why he entered the boat and sat in it, on the lake, and the whole crowd stood on the edge of the lake. He taught them many things in parables and told them in their studies: ""Hear, Behold, the sower went out to sow."" And as he sowed, one seed fell on the road, and the birds came and devoured them. And soon it arose, because it was not deep in the soil, but the sun came down and withered because it had no root, another fell among the thorns, and the thorns grew and drowned them, so that it did not bear fruit, others finally fell fertile and seemed fertile yield, rising and growing, and yielded a crop of thirty-fold, sixty-fold and a hundredfold. "" And he added: ""He who has ears to hear, let him hear!"" And when he was alone, those who were with him, along with the twelve, asked him about the parable. He replied to them: ""You are given the mystery of the kingdom of God, for those who are beyond you, everything happens in parables,"" to look carefully, not to see, listen carefully, and do not understand that they do not repent and are not forgiven them wine. ""And he said to them,"" Do not you understand this parable? How then will you understand other parables? The sower sows the word. And behold, there are those who are on the way: with them the word is sown, and if they hear it, Satan comes in and kidnaps the word sown in them. Similarly, the sowing on the rocky ground are those who, when they hear the word, immediately accept it with joy, but they have no root in them and are unstable. Then when there is oppression or persecution because of a word, they break down immediately. There are others who are sown among the thorns: those who listen to the word, but the concerns of this world, the deceitfulness of wealth and other cravings squeeze in and drown out the word, so that it remains fruitless. Finally, the fertile people planted on the earth are those who listen to the word, accept it and produce a fruit: thirtyfold, sixtyfold and one hundredfold. """
2019-01-29,"The Mother of Jesus came and the brothers, standing outside, sent for him to call him. And a crowd of people sat around him, when they said to him, ""Behold, your mother and brothers are looking for you outside."" He answered them, ""Who is my mother and who are my brothers?"" And looking at those sitting around him, he said, ""Behold my mother and my brethren, for whoever does God's will, he is my brother, my sister and my mother."""
2019-01-28,"The scribes who came from Jerusalem spoke of Jesus: ""He has Beelzebub and casts out evil spirits by the power of the ruler of evil spirits."" Then Jesus called them to them and told them in the parables, ""How can Satan cast out Satan?"" If a kingdom is inwardly quarreled, such a kingdom can not stand, and if a house is divided against itself, then such a house will not be able to stand. therefore Satan stood against himself and is divided against himself, he can not stand, but end with him, no one can enter a strong man's house and rob him, if he does not bind him first, and then he will plunder his house. to you: All sins and blasphemies that would be committed by people will be forgiven them, but whoever would blaspheme against the Holy Spirit will never receive remission, but he must be eternal. "" For they said: ""He has an unclean spirit."""
2019-01-27,"Many have already tried to put together a story about the events that happened among us, just as those who were from the beginning were eyewitnesses and servants of the word. So I decided to investigate everything right from the first moments and describe you one by one, dignified Theophilus, so that you could be convinced of the absolute certainty of the teachings you were given. At that time: Jesus returned with the power of the Spirit to Galilee, and the news of him spread throughout the whole region. He taught in their synagogues, praised by all. He also came to Nazareth, where he grew up. On the Sabbath day, he went to the synagogue with his custom and rose to read. A book of the prophet Isaiah was given to him. He opened the book and found a place where it was written: ""The Spirit of the Lord rests upon me, because he has anointed me and sent me, that I may bring good news to the poor, and let the prisoners read freedom, and send free people to proclaim the year of the Lord's favor."" Wrapping the book, he gave the servant and sat down; and all eyes in the synagogue were fixed on him. So he began to say to them, ""Today these words of the Scripture that you have heard have come true."""
2019-01-26,"Then the Lord appointed another seventy-two, and sent them two by two in front of him to every city and town where he intended to come. He also said to them, ""The harvest is great, but the laborers are few: ask the Lord of the harvest to send out laborers into his harvest. Go, I send you like sheep among the wolves, carry no purse or bag, no sandals, no one When you come to what house you enter, first say: Peace to this house If there is a man who is worthy of peace, your peace will rest on him, if not he will return to you, stay in the same house, eating and drinking what they have: because he deserves his payment, do not go home from home, if you enter and accept you, eat what they give you, heal the sick who are there, and tell them: The kingdom of God has come closer to you."
2019-01-25,"After his resurrection, Jesus appeared to the eleven and said to them, ""Go into all the world and preach the gospel to every creature, whoever believes and receives the baptism will be saved, and whoever will not believe will be condemned. And those who believe will follow these signs. : In my name, the evil spirits will throw away, they will speak in new tongues, they will take snakes into their hands, and if they drink anything of a poison, they will not harm them, they will put their hands on the sick, and they will regain their health. """
